Question	The best evidence that two land areas were once connected is the discovery that both land masses	question
Answer	have similar types of rocks and fossils.	answer
0	land area means land mass	gold
1	if two land masses were once connected then those two landmasses were once a single land mass	gold
2	a type is synonymous with a kind	nongold
3	if two or more continents have similar fossils; rocks then those continents probably once were a single landmass	gold
4	variety means different kinds; different types	nongold
5	fossil means preserved remains of ancient organisms	nongold
6	if two or more continents have similar rocks of similar ages then those continents probably once were a single landmass	nongold
7	a type of something is a kind of property of that something	nongold
8	a land mass is a kind of object	nongold
9	classifying is when one sorts something by kind; type	nongold
10	land is a kind of landform	nongold
11	both means two	nongold
12	environments changing can cause layers of rock that are near each other or on top of each other to have different amounts of fossils; different kinds of rock	nongold
13	an environment means an area	nongold
14	if fossils of an animal or plant are found in a place then that animal or plant used to live in that place	nongold
15	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
16	a landform is a kind of object	nongold
17	a region is similar to an environment	nongold
18	continental land masses are located on Earth	nongold
19	different classes of rocks are formed by different methods	nongold
20	if two things are made from the same objects; material then those two things are similar	nongold
21	landform means surface feature; physical feature; land feature	nongold
22	land is a kind of environment	nongold
23	prehistoric means before 300000000 years ago	nongold
24	An example of a fossil is the bones of an extinct animal	nongold
25	form means kind	nongold
26	area is similar to location	nongold
27	rock is a kind of material	nongold
28	a continent is a kind of large land mass	gold
29	found in means existing in	nongold
30	a landform is a kind of place	nongold
31	a landform is a kind of place	nongold
32	to discover means to make a discovery	nongold
33	nearly all fossils are found in sedimentary rock	nongold
34	an animal is a kind of living thing	nongold
35	plants can be fossilized	nongold
36	a community is made of many types of organisms in an area	nongold
37	once means one time	nongold
38	to belong to a class means to be a kind of something	nongold
39	a rock is a kind of object	nongold
40	if two or more continents seem to fit together like pieces of a puzzle then those continents probably once were a single landmass	nongold
41	preserved means from the past; from long ago	nongold
42	conclusions can be drawn about changes in organisms over time by determining the age of fossils of those organisms	nongold
43	if two objects are similar , then the two objects share properties	nongold
44	a reptile is a kind of animal	nongold
45	a living thing is a kind of object	nongold
46	once-living means dead	nongold
47	class is a measure of how a rock is formed	nongold
48	best means most positive	nongold
49	a landform is a kind of natural formation	nongold
50	to discover means to find	nongold
51	if something is a part of something then that something can be found in that something	nongold
52	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
53	an island is a kind of landform	nongold
54	ancient means a long time in the past	nongold
55	Earth is made of rock	nongold
56	an organism is a living thing	nongold
57	a region is a kind of location	nongold
58	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
59	place means area	nongold
60	answering questions requires information	nongold
61	an animal is a kind of organism	nongold
62	if something used to be in the past then that something  has changed	nongold
63	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
64	fossil fuels; fossils are formed from dead organisms over time	nongold
65	life means living things	nongold
66	to contain something means to have that something	nongold
67	rock is a kind of nonliving thing	nongold
68	index fossils can be used to determine the approximate age of other fossils in that area	nongold
69	a mammal is a kind of animal	nongold
70	an object is made of its parts	nongold
71	bones can be fossilized	nongold
72	different types of matter have different chemical properties	nongold
73	a kind of something is an example of that something	nongold
74	classifying means grouping objects; materials by their properties	nongold
75	composed of means made of	nongold
76	category means kind	nongold
77	contains means located in	nongold
78	a land feature is a kind of physical characteristic	nongold
79	to lack means to not have	nongold
80	no longer means used to be	nongold
81	a population is made of one type of organism in an area	nongold
82	if two or more organisms have similar characteristics then those organisms might share a common ancestor	nongold
83	region means place	nongold
84	index fossils are formed from species that existed for a relatively short time	nongold
85	discovering something usually requires seeing that something	nongold
86	a whole is formed by its parts	nongold
87	a component means a part of	nongold
88	can be means able to be	nongold
89	metamorphosed rock is a kind of rock	nongold
90	a component of something means a part of that something	nongold
91	studying fossils is used to learn about organisms from long ago	nongold
92	rock means stone	nongold
93	made up of means contains; made of	nongold
94	a structure of something is synonymous with a part of that something	nongold
95	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
96	to be found in means to be contained in	nongold
97	to be made of something means to be formed of that something	nongold
98	area; space is a kind of resource	nongold
99	an ocean is a kind of body of water	nongold
