Question	Which of these activities is used to conserve water?	question
Answer	planting crops that survive in droughts	answer
0	drought means available water decreases in an environment	nongold
1	planting crops is a kind of activity	gold
2	if a plant; crop requires less water then that plant; crop will survive in a drought	gold
3	drought is when amount of precipitation decreases	nongold
4	action means activity	nongold
5	planting trees is sometimes a human activity	nongold
6	planting is a kind of human action	nongold
7	a drought is a kind of natural event	nongold
8	planting crops is synonymous with growing crops	nongold
9	planting crops requires growing crops	nongold
10	growing is a kind of activity	nongold
11	crops; farming cause nutrients in the soil to decrease	nongold
12	a plants; living things require water for survival; to grow	nongold
13	conserving water can be used for survival in a dry environment	nongold
14	a drought is a kind of natural disaster	nongold
15	a drought is a kind of slow environmental change	nongold
16	a drought occurs over a period of months; years	nongold
17	an event is a kind of action	nongold
18	a plant requires water to grow	nongold
19	farming is when a human plants crops for food	nongold
20	a farmer farms crops; plants for  food	nongold
21	drought may cause wildfires	nongold
22	water is a kind of natural resource	gold
23	water is a kind of natural resource	nongold
24	conserving resources has a positive impact on the environment	nongold
25	water is a part of an environment	nongold
26	a dry environment is low in availability of water	nongold
27	reproducing is a kind of activity	nongold
28	crops growing well has a positive impact on a farmer's livelihood	nongold
29	water is a renewable resource	nongold
30	a plant requires soil for survival; to grow	nongold
31	crops grow in soil	nongold
32	to reduce means to decrease	nongold
33	to conserve means to not change	nongold
34	producing crops requires using farm land	nongold
35	green plants are a kind of producer	nongold
36	harming something has a  negative impact on; effect on that something	nongold
37	crop rotation renews; protects soil	nongold
38	farming is a kind of process	nongold
39	planting trees has a  positive impact on an ecosystem	nongold
40	as the use of a crop increases , the amount of  crops planted will increase	nongold
41	animals; living things require water for survival	nongold
42	farming is a source of food	nongold
43	farming changes the environment	nongold
44	helping something has a  positive impact on that something	nongold
45	harvesting is a kind of using	nongold
46	a farmer is a kind of human	nongold
47	planting trees is the opposite of cutting down trees	nongold
48	negative impact is the opposite of positive impact	nongold
49	to help; to benefit means to be of use	nongold
50	when available resources decrease in an environment , organisms have to conserve those resources	nongold
51	to lower means to decrease	nongold
52	survival means to survive	nongold
53	a process is a kind of event	nongold
54	adding is a kind of activity	nongold
55	conservation is often conserving natural resources	nongold
56	survive means live	nongold
57	survive means live	nongold
58	using less of a resource means conserving that resource	gold
59	farming happens on a farm	nongold
60	to be used for something means to be required by that something	nongold
61	too much water can cause a plant to not grow	nongold
62	low is similar to decrease	nongold
63	cropland is used for farming by humans	nongold
64	crop rotation has a  positive impact on soil quality	nongold
65	as available water decreases , the population of plants will decrease	nongold
66	adverse effect means negative impact	nongold
67	a motion is a kind of event; action	nongold
68	decreasing something negative has a positive impact on a thing	nongold
69	growing is a kind of process	nongold
70	a crop is a kind of food	nongold
71	plants are a part of the environment	nongold
72	if a plant is planted; growing somewhere then that plant is located there	nongold
73	a plant is a kind of organism	nongold
74	a plant; living thing requires nutrients to grow	nongold
75	a function is an activity	nongold
76	a plant is a kind of living thing	nongold
77	requiring is similar to needing help	nongold
78	crop rotation is when different crops are planted on a field in different years	nongold
79	the function of something is what that something  is used to do	nongold
80	if an organism dies then that organism can not perform its function	nongold
81	crops are a kind of edible plant for eating	nongold
82	if an organism dies then the population of that organism will decrease	nongold
83	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
84	fruit trees are a kind of crop	nongold
85	creating is a kind of activity	nongold
86	water is a kind of nonliving thing	nongold
87	planting native plants has a  positive impact on an ecosystem	nongold
88	a drought can change the color of an environment from green to brown	nongold
89	person is synonymous with human	nongold
90	storing water increases the water available to organisms in a dry environment	nongold
91	growing is a kind of replenishing	nongold
92	to cause an event is similar to being involved in that event	nongold
93	death means to die	nongold
94	decreasing something positive has a negative impact on a thing	nongold
95	conserving water is a kind of characteristic	nongold
96	dry means low in amount of water; wetness; moisture	nongold
97	as dryness increases in an environment , the available water in that environment will decrease	nongold
98	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
99	soil is a renewable resource for growing plants	nongold
