Question	A tuna is an ocean fish that is well adapted to catching small, fast-moving prey. Which of the following adaptations most helps a tuna swim fast to catch its prey?	question
Answer	large fins	answer
0	tuna is a kind of fish	gold
1	large fins can be used to move quickly through water	gold
2	fins are a part of aquatic animals used for moving through water	gold
3	An example of an adaptation is moving fast	nongold
4	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
5	helping something has a  positive impact on that something	gold
6	tuna eat fish	gold
7	a fish is a kind of aquatic animal	gold
8	a living thing is a kind of object	nongold
9	an animal is a kind of living thing	gold
10	an aquatic animal is a kind of animal	gold
11	a fish is a kind of animal	nongold
12	some predators move  quickly to  catch prey	gold
13	well-suited is similar to adapted	nongold
14	adaptations are used for survival	nongold
15	faster means an increase; higher in speed	nongold
16	a fish is a kind of predator	nongold
17	an adaptation is an adaptive feature	nongold
18	fast means quickly	nongold
19	aquatic animal means water animal	nongold
20	if a living thing requires something then that something has a positive impact on that living thing	gold
21	an adaptation is a kind of characteristic	nongold
22	eating prey requires catching prey	nongold
23	an adaptation is a kind of change	nongold
24	floating on water is a kind of adaptation	nongold
25	swimming is when humans; animals can move in water	gold
26	small is the opposite of large	nongold
27	an ocean is a kind of body of water	nongold
28	fast is the opposite of slow	nongold
29	ocean animal is similar to water animal	nongold
30	larger means greater; higher; more; increase in size	nongold
31	if an organism's prey moves quickly then that organism may need to move quickly to catch its prey	gold
32	requiring is similar to needing help	nongold
33	an animal is a kind of organism	nongold
34	to help means to aid	nongold
35	to help; to benefit means to be of use	nongold
36	faster means increased rate	nongold
37	motion; movement means moving; to move	nongold
38	smaller means less; lower in size	nongold
39	a predator is a kind of animal	nongold
40	to be used  for something means to help to do that something	nongold
41	helping means to assist in a change	nongold
42	prey  is a kind of animal	nongold
43	helping means something can be done; completed more easily; better	nongold
44	speed is a measure of how fast an object is moving	nongold
45	a fish is a kind of scaled animal	nongold
46	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
47	adaptation is when an organism develops a trait over time for survival	nongold
48	length is a part of size	nongold
49	water is a kind of object	nongold
50	to slow; to slow down decreases speed	nongold
51	speed is a property of an object and includes values of slow; fast	nongold
52	an organism is a living thing	gold
53	an part of an object is smaller than the entire object	nongold
54	a body of water is a kind of environment	nongold
55	swimming is a kind of skill	nongold
56	adapting is when a living thing responds to a change in an environment	nongold
57	a fish lives in water	nongold
58	larger; bigger is the opposite of smaller	nongold
59	sea means ocean	nongold
60	strong beaks; sharp beaks are a kind of adaptation for catching prey	nongold
61	high speed means fast	nongold
62	food is a kind of object	nongold
63	a human is a kind of animal	nongold
64	an animal; living thing requires nutrients for survival	gold
65	harming something has a  negative impact on; effect on that something	nongold
66	high is similar to increase	nongold
67	a shark is a kind of fish	nongold
68	protecting something means preventing harm to that something	nongold
69	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
70	fishing is when a human kills; catches fish for food	nongold
71	to depend on; to rely on; to need means to require	nongold
72	water is a part of an environment	nongold
73	fastest means greatest in  speed	nongold
74	an increase is a kind of change	nongold
75	animals adapt to their environment	nongold
76	an increase is the opposite of a decrease	nongold
77	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
78	a motion is a kind of event; action	nongold
79	to be used for something means to be required by that something	nongold
80	moving is similar to travelling	nongold
81	life means living things	nongold
82	prey is a kind of food for predators	gold
83	long means great in length	nongold
84	a structure of something is synonymous with a part of that something	nongold
85	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
86	to lower means to decrease	nongold
87	usually means most of the time	nongold
88	to enable is to help	nongold
89	a body part is a kind of object	nongold
90	rate is similar to speed	nongold
91	low is similar to decrease	nongold
92	predators eat prey	nongold
93	a type is synonymous with a kind	nongold
94	greatest means largest; highest; most amount of something	nongold
95	slowest means lowest in  speed	nongold
96	mostly means being the most	nongold
97	a source of something emits; produces; generates; provides that something	nongold
98	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
99	negative impact is the opposite of positive impact	nongold
