Question	Eye color is a physical trait. Which statement best explains why a child has a specific eye color?	question
Answer	Eye color is an inherited trait.	answer
0	eye color is an inherited characteristic	gold
1	color is a kind of physical; visual property	nongold
2	trait is synonymous with characteristic	gold
3	coloration means a thing's color	nongold
4	the colors of parts of an organism are inherited characteristics	gold
5	an inherited characteristic is a kind of characteristic	nongold
6	characteristic means property	nongold
7	an animal is a kind of living thing	nongold
8	the color of; coloration of fur is an inherited characteristic	nongold
9	trait means property	nongold
10	an animal is a kind of organism	gold
11	color is a property of  an object; a material	nongold
12	a human is a kind of animal	gold
13	feature is synonymous with characteristic	nongold
14	eyes are a part of a human for seeing	gold
15	a living thing is a kind of object	nongold
16	an organism is a living thing	nongold
17	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
18	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
19	eyes are usually part of an animal for seeing	nongold
20	to look like means to have the visual properties of	nongold
21	An example of camouflage is when something is; has the same color as its environment	nongold
22	coloration is a kind of adaptation for hiding;camouflage	nongold
23	unique  is the opposite of diverse	nongold
24	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
25	coloration means a pattern of colors	nongold
26	blue eyes is a recessive trait in humans	nongold
27	if an organism passes on its traits then future generations will have those traits	nongold
28	a child is a kind of young human	gold
29	children; young is synonymous with offspring	gold
30	phenotype of an organism means the visible traits of  an organism	nongold
31	person is synonymous with human	nongold
32	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
33	a physical property is a kind of property	nongold
34	a baby is the offspring of a parent	nongold
35	a baby is the offspring of a parent	nongold
36	an organism's environment affects that organism's acquired characteristics	nongold
37	certain is similar to specific	nongold
38	classifying is when one sorts something by kind; type	nongold
39	a part of something means a characteristic of something	nongold
40	genes are able to determine the inherited characteristics of a living thing	nongold
41	an adaptation is a kind of characteristic	nongold
42	a source of something emits; produces; generates; provides that something	nongold
43	inherited characteristics can change over several generations	nongold
44	intelligence is an acquired characteristic	nongold
45	to be characterized by  a property means to have that property	nongold
46	a person is a kind of animal	nongold
47	dark eyes is a dominant trait in human	nongold
48	the color of an environment means the color of the things that environment contains	nongold
49	a mammal is a kind of animal	nongold
50	what an object is made of is a kind of characteristic	nongold
51	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
52	appearance  is a kind of physical property	nongold
53	to reproduce means to have; to produce offspring	nongold
54	personality is an acquired characteristic	nongold
55	if an animal's fur is a color then that animal is that color	nongold
56	affected means changed	nongold
57	colorless means no color	nongold
58	appearance is sometimes a physical property	nongold
59	a face is often a part of an animal	nongold
60	the condition of parts of an organism are acquired characteristics	nongold
61	a human is a kind of mammal	nongold
62	the eyes are part of the head used for seeing	nongold
63	appearance is a property of objects; materials	nongold
64	reproduction produces; produce offspring	nongold
65	physical fitness is an acquired characteristic	nongold
66	identical means copy	nongold
67	best means most positive	nongold
68	a learned characteristic is a kind of acquired characteristic	nongold
69	a type is synonymous with a kind	nongold
70	a kind of something is an example of that something	nongold
71	identical twins have all of the same inherited characteristics	nongold
72	inherited characteristics are a kind of hereditary information	nongold
73	species is an inherited characteristic	nongold
74	white is a kind of color	nongold
75	not is similar to the opposite of	nongold
76	if two things have the same features then those two things are alike	nongold
77	color is an intensive property	nongold
78	a cause of something is a reason for that something	nongold
79	to contain something means to have that something	nongold
80	a father is a kind of male parent	nongold
81	the head is a part of an animal	nongold
82	human is a kind of organism	nongold
83	ability is a kind of characteristic	nongold
84	causing is a kind of affecting	nongold
85	senses are an inherited characteristic	nongold
86	Physical adaptation; structural adaptation is a physical  change in a population over successive generations that  helps individual organisms in that population to  survive; reproduce	nongold
87	producing is similar to causing	nongold
88	the inherited characteristics of the parents can be used to predict inherited characteristics of the offspring	nongold
89	can be means able to be	nongold
90	a behavior is a kind of characteristic	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	organisms are a part of an environment	nongold
93	blood type is an inherited characteristic	nongold
94	variable means able to change	nongold
95	trait is a kind of genetic information	nongold
96	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
97	an object has properties	nongold
98	resemble means similar characteristics	nongold
99	dark means dark in color	nongold
