Question	How do decomposers obtain their food?	question
Answer	absorbing food from dead organisms	answer
0	absorbing is similar to obtaining	nongold
1	a decomposer is a kind of living thing	gold
2	to obtain means to get	nongold
3	if an object is a source of something for something else then that something else can obtain that something from that object	gold
4	dead organisms are the source of nutrients for decomposers	gold
5	a decomposer is usually a bacterium; fungus	nongold
6	obtain is similar to receive	nongold
7	decomposition is when a decomposer breaks down dead organisms	nongold
8	to gain means to obtain	nongold
9	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
10	an organism is a living thing	gold
11	a worm is a kind of decomposer	nongold
12	a bacterium is a kind of decomposer	nongold
13	a microorganism is a kind of decomposer	nongold
14	a food contains nutrients for living things	gold
15	In the food chain process fungi have the role of decomposer	nongold
16	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
17	an animal is a kind of living thing	nongold
18	In the food chain process bacteria have the role of decomposer	nongold
19	if something gains something from something else then that something else is a source of that something	nongold
20	an earthworm is a kind of decomposer	nongold
21	an animal; living thing requires nutrients for survival	nongold
22	an animal is a kind of organism	nongold
23	a fungus is a kind of organism	nongold
24	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
25	to decompose means to decay	nongold
26	living things eat their food source	nongold
27	a fungus is a kind of living thing	nongold
28	if an organism eats something then that something is a source of frood to that organism	nongold
29	if a living thing dies then that living thing is dead	nongold
30	an animal needs to eat food for nutrients	nongold
31	absorbing something harmful has a negative impact on a thing	nongold
32	life means living things	nongold
33	a source of something emits; produces; generates; provides that something	nongold
34	a cell absorbs nutrients	nongold
35	absorption is a kind of process	nongold
36	a living thing is a kind of object	gold
37	to be used for something means to be required by that something	nongold
38	food is what an animal eats	nongold
39	a plant; living thing requires food for survival	nongold
40	to eat means to consume food	nongold
41	absorption is a kind of event	nongold
42	dead plants means dead plant material	nongold
43	if something transfers energy to something else then that something else absorbs that energy	nongold
44	fungi absorb nutrients from decaying tissue	nongold
45	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
46	if a living thing requires something then that something has a positive impact on that living thing	nongold
47	using a raw material sometimes requires absorbing that raw material	nongold
48	a plant is a kind of organism	nongold
49	if a plant dies then that plant will not produce food	nongold
50	a living thing is made of cells	nongold
51	where something  comes from is a source of that something	nongold
52	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
53	if something comes from something else then that something else is a source of that something	nongold
54	if something is a raw material in a process then that something is required for that process	nongold
55	taking in something means receiving; absorbing; getting something	nongold
56	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
57	remains mean parts of a dead organism	nongold
58	if something causes a process then that something is required for that process	nongold
59	organisms are a part of an environment	nongold
60	killing means changing a living thing from alive to dead by harming	nongold
61	to digest means to break down food	nongold
62	remains is similar to dead organisms	nongold
63	if something transfers something else then that something is a source of something else	nongold
64	nonliving; non-living; die is the opposite of living; alive; live	nongold
65	green plants are a kind of producer	nongold
66	death means to die	nongold
67	nutrients are a kind of matter	nongold
68	take in means absorb	nongold
69	a process is a kind of event	nongold
70	receiving sunlight  is synonymous with absorbing sunlight	nongold
71	In the food chain process a  green plant has the role of  producer	nongold
72	an object; material; substance comes from that object or material's source	nongold
73	a plant is a kind of living thing	nongold
74	dead means not alive	nongold
75	a process usually requires all of the stages in that process	nongold
76	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
77	to provide something means to be the source of that something	nongold
78	absorbing is a kind of function	nongold
79	dead organisms decay	nongold
80	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
81	collecting is similar to absorbing	nongold
82	a part of a process means a stage in a process	nongold
83	absorbing something from the air decreases the  amount of  that something in the air	nongold
84	requiring is similar to needing help	nongold
85	a producer produces its own food	nongold
86	an organism eating is a kind of action	nongold
87	if something is a raw material then that something comes directly from a source	nongold
88	helping something has a  positive impact on that something	nongold
89	to decompose means to separate	nongold
90	organisms mean life	nongold
91	harming an organism can cause that organism to die	nongold
92	vegetation means plants	nongold
93	killing means harming something causing death	nongold
94	to receive sunlight means to absorb sunlight	nongold
95	dying is the opposite of living; surviving	nongold
96	nutrients are a kind of material	nongold
97	plants are a part of the environment	nongold
98	food contains carbohydrates	nongold
99	a food web is made of organisms that consume other organisms; that produce their own food	nongold
