Question	NASA's Kepler Mission has collected information about main-sequence stars with characteristics similar to the Sun. What is the most common color of these stars?	question
Answer	yellow	answer
0	main-sequences stars are a kind of star	nongold
1	main-sequence stars are generally yellow	gold
2	yellow is a kind of color	gold
3	a yellow dwarf is a kind of main-sequence star	gold
4	the sun is a kind of yellow dwarf	gold
5	coloration means a thing's color	nongold
6	the Sun is a kind of star	nongold
7	if something requires something else then that something else may be common in that something	nongold
8	in common is similar to the same	nongold
9	stars can be classified by temperature; color; chemical composition; brightness	nongold
10	main sequence is a kind of stage in the life cycle of a star	nongold
11	similar means in common	nongold
12	characteristic means property	gold
13	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
14	coloration means a pattern of colors	nongold
15	blue is a kind of color	nongold
16	color is a property of  an object; a material	nongold
17	green is a kind of color	nongold
18	Alpha Mensae is a kind of main-sequence star	nongold
19	data means information	nongold
20	to collect means to gather	nongold
21	red is a kind of color	nongold
22	to be made of is similar to collection	nongold
23	yellow dwarf is a kind of small star	nongold
24	resemble means similar characteristics	nongold
25	the sun is a source of light; light energy called sunlight	nongold
26	a star produces light and heat	nongold
27	unique  is the opposite of diverse	nongold
28	a star is usually larger than a planet	nongold
29	answering questions requires information	nongold
30	a star is a kind of celestial object; celestial body	nongold
31	to vary means to change	nongold
32	to change means to become different	nongold
33	different is the opposite of the same	nongold
34	trait is synonymous with characteristic	nongold
35	high is similar to increase	nongold
36	red giant stars have greater volume than main sequence stars	nongold
37	to vary means to differ	nongold
38	a planet is a kind of celestial object; body	nongold
39	the properties of something can be used to identify; used to describe that something	nongold
40	the colors of parts of an organism are inherited characteristics	nongold
41	stars spend most of their life cycle in the main sequence stage	nongold
42	bright means bright; light in color	nongold
43	red-dwarf stars are cooler than yellow-dwaf stars	nongold
44	a star's surface temperature causes the star's  color	nongold
45	what an object is made of is a kind of characteristic	nongold
46	a property of something is a feature of that something	nongold
47	purple;violet;magenta is a kind of color	nongold
48	colorless means no color	nongold
49	similarity means the same property	nongold
50	color is an intensive property	nongold
51	mostly means being the most	nongold
52	not is similar to the opposite of	nongold
53	opposite is a kind of different	nongold
54	a type is synonymous with a kind	nongold
55	trait means property	nongold
56	affected means changed	nongold
57	knowing the properties of something means knowing information about that something	nongold
58	the color of an object can be discovered by looking at that object	nongold
59	color is a kind of physical; visual property	gold
60	the color of an environment means the color of the things that environment contains	nongold
61	classifying means grouping objects; materials by their properties	nongold
62	orange is a kind of color	nongold
63	getting information sometimes requires observing; observation	nongold
64	a star's type is determined by the star's mass	nongold
65	a star is a source of light; light energy through nuclear reactions	nongold
66	feature is synonymous with characteristic	nongold
67	dark means dark in color	nongold
68	to observe means to gather information	nongold
69	the Sun has average brightness compared to other stars	nongold
70	a part of something means a characteristic of something	nongold
71	refracting sunlight; light causes sunlight; light to split into different colors	nongold
72	usually means most of the time	nongold
73	brown is a kind of color	nongold
74	spectrum means a range of colors	nongold
75	identical is the opposite of different	nongold
76	certain is similar to specific	nongold
77	stay the same means not changing	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	low is similar to decrease	nongold
80	if two things have the same features then those two things are alike	nongold
81	greatest means largest; highest; most amount of something	nongold
82	pink is a kind of color	nongold
83	white is a kind of color	nongold
84	if something is copied then that something will be the same; similar; identical	nongold
85	variable means able to change	nongold
86	astronomy is the study of celestial (objects, bodies)	nongold
87	least is the opposite of most	nongold
88	information is used to describe something	nongold
89	variation means change	nongold
90	red giant stars burn at cooler temperatures than main sequence stars	nongold
91	classifying is when one sorts something by kind; type	nongold
92	stars change type during their life cycles	nongold
93	form means kind	nongold
94	the sun is average in size for a star in our galaxy	nongold
95	to belong to a class means to be a kind of something	nongold
96	coloration is a kind of adaptation for hiding;camouflage	nongold
97	no longer means used to be	nongold
98	another means different	nongold
99	a property is a kind of information	nongold
