Question	A company plants trees on a bare hillside. Which of these is the BEST reason for planting the trees?	question
Answer	The trees prevent soil from washing away.	answer
0	washing out means being moved from  by water	nongold
1	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
2	to wash away is a kind of movement by moving water	gold
3	protecting something means preventing harm to that something	nongold
4	pouring water onto soil causes that soil to wash away	nongold
5	to keep something from happening means to prevent that something	nongold
6	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
7	if a plant is planted; growing somewhere then that plant is located there	nongold
8	erosion of soil has a  negative impact on the environment; soil quality	gold
9	planting trees is the opposite of cutting down trees	nongold
10	a plant requires soil for survival; to grow	nongold
11	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
12	harming something has a  negative impact on; effect on that something	nongold
13	best means most positive	gold
14	soil erosion means soil loss through wind;water; animals	nongold
15	soil is usually part of an environment	nongold
16	An example of movement is washing away	nongold
17	a tree is a kind of plant	gold
18	helping something has a  positive impact on that something	nongold
19	to prevent the occurence of an event means to decrease the occurence of the event	nongold
20	saving money has a positive impact on a person; a company	nongold
21	damage means harm	nongold
22	if something required for a process is not produced then that process is prevented from occurring; cannot occur	nongold
23	erosion usually causes harm to the environment	nongold
24	planting trees has a  positive impact on an ecosystem	nongold
25	In the erosion process roots of plants are an inhibitor	gold
26	to prevent means to make it not happen	nongold
27	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
28	a plants; living things require water for survival; to grow	nongold
29	harming an environment causes harm to the living things; to the organisms in that environment	nongold
30	often soil is found in an environment	nongold
31	avoiding is similar to preventing	nongold
32	tree roots reduce soil erosion	nongold
33	protection means resistance to damage increases	nongold
34	negative impact is the opposite of positive impact	gold
35	adverse effect means negative impact	nongold
36	plants are a part of the environment	nongold
37	pollution has a negative impact on the environment; air quality; water quality; society	nongold
38	planting trees is sometimes a human activity	nongold
39	something harmful can cause harm	nongold
40	to inhibit means to prevent	gold
41	planting is a kind of human action	nongold
42	preventing something decreases the amount of that something	nongold
43	when water falls from the sky , that water usually returns to the soil	nongold
44	roots are a part of a plant; tree	gold
45	a tree is a kind of living thing	nongold
46	soil loss causes an area decrease in size	nongold
47	a negative impact is a kind of consequence; risk	nongold
48	when a river floods , that river deposits soil; sediment in flood plains	nongold
49	destroying something causes harm to that something	nongold
50	damage has a negative impact on a thing	nongold
51	air pollution; rain can cause the pH of soil to decrease	nongold
52	inhibitor means something that prevents something from happening	nongold
53	to help; to benefit means to be of use	nongold
54	under water means covered by water; in water	nongold
55	water is a part of an environment	nongold
56	soil erosion is a kind of slow; natural process	nongold
57	a plant is a kind of living thing	nongold
58	wind carries; transports sand; dirt from one place to another place	nongold
59	a hill is a kind of place	nongold
60	protecting nature has a positive impact on the environment	nongold
61	a positive impact is a helpful effect	nongold
62	planting native plants has a  positive impact on an ecosystem	nongold
63	decreasing something negative has a positive impact on a thing	nongold
64	impact means effect	nongold
65	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
66	something dangerous can cause harm	nongold
67	green plants are a kind of producer	nongold
68	requiring is similar to needing help	nongold
69	too much water has a  negative impact on the growth of a plant	nongold
70	removing an inhibitor of a process causes that process	nongold
71	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
72	a plant is a kind of organism	nongold
73	place is synonymous with location	nongold
74	soil contains nutrients for plants	nongold
75	good means positive	nongold
76	soil contains water; humus; weathered rocks; organic matter	nongold
77	to reduce means to decrease	nongold
78	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
79	if too much water is removed from a location then the water may become used up	nongold
80	decreasing something positive has a negative impact on a thing	nongold
81	an environment is a kind of place	nongold
82	death means to die	nongold
83	planting crops is synonymous with growing crops	nongold
84	if a living thing requires something then that something has a positive impact on that living thing	nongold
85	rain causes erosion	nongold
86	helping means something can be done; completed more easily; better	nongold
87	solution is similar to a positive impact	nongold
88	person is synonymous with human	nongold
89	a positive impact is  a benefit	nongold
90	soil is a renewable resource for growing plants	nongold
91	take away means decreasing	nongold
92	something hard; something strong can be used for protection	nongold
93	wind and rain; storms cause erosion	nongold
94	to be used  for something means to help to do that something	nongold
95	if something is required for a process then that something positively impacts that process	nongold
96	roots hold soil in place	nongold
97	too much water can cause a plant to not grow	nongold
98	a body of water is a kind of environment	nongold
99	place means area	nongold
