Question	A flowing stream contains water at 18°C. Cans of soft drinks at 28°C are lowered into the stream. Which of the following will most likely occur?	question
Answer	The cans will cool until their temperature is the same as the stream's.	answer
0	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
1	a can is a kind of container	nongold
2	a container contains objects; material; substances	nongold
3	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
4	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
5	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
6	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	gold
7	a stream is a kind of body of water	gold
8	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
9	to be lowered into a substance means to be placed into that substance	gold
10	cooling means temperature decreases	nongold
11	if a container contains something then that container touches that something	nongold
12	a river is a kind of flowing body of water	nongold
13	temperature is a measure of heat energy	nongold
14	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
15	colder; cooler means lower in temperature	nongold
16	water is a kind of liquid at room temperature	nongold
17	water is an thermal; thermal energy conductor	nongold
18	a body of water contains water	nongold
19	heat means temperature increases	nongold
20	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
21	a can is a kind of object	gold
22	warm means medium heat energy; temperature	nongold
23	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
24	to add means to increase	nongold
25	adding heat means increasing temperature	nongold
26	to happen means to occur	nongold
27	an increase is a kind of change	nongold
28	soft drink means soda	nongold
29	a beverage is a kind of liquid	nongold
30	heat means heat energy	nongold
31	lowering is a kind of motion	nongold
32	hot means high in heat energy; temperature	nongold
33	when a cooler object touches a warmer object , thermal conduction occurs	nongold
34	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
35	heat energy is synonymous with thermal energy	nongold
36	moisture means liquid; liquid water	nongold
37	to lower means to decrease	nongold
38	cool means cold	nongold
39	something that contains water is similar to a body of water	nongold
40	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
41	humans drink beverages	nongold
42	to reduce means to decrease	nongold
43	the heat energy in the cooler object increases in thermal conduction	nongold
44	a container is a kind of object	nongold
45	an increase is the opposite of a decrease	nongold
46	warm is the opposite of cool	nongold
47	a decrease is a kind of change	nongold
48	warmer means greater; higher in temperature; warmth	nongold
49	if something is dropped into a container of something else then that something is touching that something else	nongold
50	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
51	water is a kind of substance	gold
52	flowing is a kind of motion	nongold
53	high is similar to increase	nongold
54	a phase change is a kind of physical change	nongold
55	temperature changing can cause phase changes	nongold
56	a liquid is a kind of fluid	nongold
57	heating is the opposite of cooling	nongold
58	thermal conduction is when heat flows from warmer object to cooler object	nongold
59	a liquid is a kind of substance	nongold
60	keeping cool means not increasing temperature	nongold
61	a beverage is a kind of food	nongold
62	stay the same means not changing	nongold
63	as the specific heat of a material decreases , the temperature of the material will increase given the same amount of energy	nongold
64	warm up means increase temperature	nongold
65	a hot; warm something is a source of heat	nongold
66	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
67	to a  human a air; environment temperature of 10 C to 21 C is considered cool	nongold
68	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
69	heating means adding heat	nongold
70	water is a kind of matter	nongold
71	evaporating is a kind of phase change	nongold
72	if something is made of something; a material then that something contains that something; that material	nongold
73	if heat is absorbed from a source then that heat source will cool	nongold
74	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
75	cooler means colder	nongold
76	heat means the transfer of thermal energy	nongold
77	if one surface; one substance; one object touches something then one is exposed to that something	nongold
78	same means identical; equal in value; amount; number; quantity	nongold
79	if two objects of different temperature are touching , then the final temperature will be between the temperature of those two objects	nongold
80	liquid is a kind of state of matter	nongold
81	air temperature is a kind of temperature	nongold
82	temperature changing can cause volume of the object to change	nongold
83	if heat is added to a substance then that substance absorbs that heat	nongold
84	to a  human a air; environment temperature of 50 F to 70 F is considered cool	nongold
85	water vapor;steam cooling causes that water vapor;steam to condense	nongold
86	low is similar to decrease	nongold
87	a waterfall contains water	nongold
88	if a container contains a substance  with less density than air then that container may move upward	nongold
89	as the temperature of a liquid increases , the rate of evaporation of that liquid will increase	nongold
90	events occur at a specific place; at a specific time; with a specific frequency	nongold
91	different is the opposite of the same	nongold
92	air is usually a thermal; thermal energy insulator	nongold
93	boiling is when liquids are heated above their boiling point	nongold
94	if heat is transferred to the air , then the temperature of the air will increase	nongold
95	increasing heat causes thermal expansion	nongold
96	flowing is similar to pouring	nongold
97	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
98	to raise means to add	nongold
99	temperature drop means temperature decrease	nongold
