Question	When carbon and oxygen combine chemically, the mass of the product is	question
Answer	equal to the mass of the carbon plus the mass of the oxygen	answer
0	when two or more elements; molecules combine chemically , the mass of the product is equal to the combined masses of the elements or molecules	gold
1	combining; mixing two substances chemically causes chemical reactions	nongold
2	plus means to combine	gold
3	mass; weight is a property of matter; objects; materials	nongold
4	to add means to combine	nongold
5	oxygen  is a kind of element	gold
6	carbon is a kind of element	gold
7	a product is a kind of object	nongold
8	mass is a property of objects; matter	nongold
9	oxygen gas is made of only  oxygen element	nongold
10	hydrogen is a kind of element	nongold
11	oxygen is a kind of gas at room temperature	nongold
12	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
13	mass is similar to size	nongold
14	same means identical; equal in value; amount; number; quantity	nongold
15	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
16	a molecule is made of atoms chemically combined; bonded	nongold
17	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
18	products are formed; are produced; are created	nongold
19	a compound is made of two or more elements that have been chemically combined	nongold
20	mass is a measure of the amount of matter in an object	nongold
21	both means two	nongold
22	hydrogen is a kind of gas at room temperature	nongold
23	chemical reactions cause new substances; different substances to form	nongold
24	to be made of something means to be formed of that something	nongold
25	chemical reactions cause chemical change	nongold
26	if gases are released by a chemical reaction then the total mass of the product will be less than the total mass of the reactants	nongold
27	hydrogen contains chemical energy	nongold
28	a  gas is a kind of  element	nongold
29	a compound can be chemically separated into the elements that it is made of	nongold
30	an atom is a kind of object	nongold
31	chemical change is a kind of chemical reaction	nongold
32	the  chemical symbol for oxygen is O	nongold
33	an atom is the smallest particle; unit that has the properties of an element	nongold
34	substances are made of matter	nongold
35	an  element is a kind of atom	nongold
36	high is similar to increase	nongold
37	substances are made of elements	nongold
38	combustion is a kind of chemical change	nongold
39	oxygenated means having oxygen	nongold
40	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
41	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
42	to add means to increase	nongold
43	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
44	matter; materials; substances are made of atoms; particles	nongold
45	an element is made of one kind of atoms	nongold
46	chemical reaction means chemical bonds change	nongold
47	gas is a kind of substance	nongold
48	made up of means contains; made of	nongold
49	the  elements in the chemical reaction stays the same after the reaction	nongold
50	to fuse means to combine	nongold
51	mass; weight is an extensive property	nongold
52	to be a combination of means to be made of	nongold
53	oxygen is a part of many organic molecules	nongold
54	product means result	nongold
55	water is made of hydrogen and oxygen	nongold
56	chemical reactions do not cause the total number of atoms to change	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	O is the chemical symbol for oxygen	nongold
60	substances have chemical properties	nongold
61	the basic unit of matter is atom	nongold
62	compound is a kind of chemical	nongold
63	composed of means made of	nongold
64	photosynthesis is a source of oxygen	nongold
65	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
66	to be formed by is similar to being produced by	nongold
67	matter is made of molecules	nongold
68	an increase is a kind of change	nongold
69	mass is a kind of physical property	nongold
70	the chemistry of something is similar to what that something is made of	nongold
71	can be means able to be	nongold
72	chemical compounds contain chemical bonds between atoms; between elements	nongold
73	affected means changed	nongold
74	all elements are a kind of pure substance	nongold
75	plants are a source of oxygen through photosynthesis	nongold
76	sugar is made of carbon, hydrogen, oxygen	nongold
77	substances are made of molecules	nongold
78	a pure substance is made of only one kind of atom; molecule	nongold
79	In the photosynthesis process oxygen has the role of  waste product	nongold
80	different is the opposite of the same	nongold
81	objects are made of materials; substances; matter	nongold
82	if something is made of something; a material then that something contains that something; that material	nongold
83	gas is a kind of material	nongold
84	different types of matter have different chemical properties	nongold
85	materials are made of matter	nongold
86	An example of a chemical property is how a material reacts chemically	nongold
87	most chemical reactions release or absorb heat energy	nongold
88	substances contain chemical bond energy	nongold
89	an mixture is formed by two or more substances combined together physically	nongold
90	mass; weight are the same on Earth	nongold
91	atom cannot be divided into smaller substances	nongold
92	greater means higher; more in value	nongold
93	if an object undergoes chemical change then that object will have new chemical properties	nongold
94	made of is similar to contains	nongold
95	carbon has the property of catenation to form a carbon chain	nongold
96	an element is a kind of  substance	nongold
97	if something is given off of something , then something is the product of something	nongold
98	most of the mass of an atom is located in the nucleus	nongold
99	identical is the opposite of different	nongold
