Question	Which of these provide the best evidence that life could develop on Mars?	question
Answer	its ice and organic molecules	answer
0	Mars contains ice	nongold
1	living things are made of organic molecules	gold
2	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
3	developing means creating; inventing	nongold
4	Mars is a kind of planet	gold
5	an organism is made of organic matter	nongold
6	developing means growing	nongold
7	if a planet contains liquid water , then life can develop on that planet	nongold
8	an organism is a source of organic matter	nongold
9	Mars is a kind of inner planet	nongold
10	ice is a kind of solid	nongold
11	substances are made of molecules	nongold
12	ice is a kind of food	nongold
13	developing means making	nongold
14	life means living things	gold
15	oxygen is a part of many organic molecules	nongold
16	a molecule is a kind of object	nongold
17	plant and animal matter means organic matter	nongold
18	organisms mean life	nongold
19	ice is a kind of object	nongold
20	an organism is a source of organic material	nongold
21	an organism is a living thing	nongold
22	a molecule is exceptionally small in size	nongold
23	organisms are made of organic compounds	nongold
24	biotic means living	nongold
25	ice is colder than water in temperature	nongold
26	best means most positive	nongold
27	provide is similar to give; make	nongold
28	water is a kind of substance	nongold
29	organic is similar to natural	nongold
30	composed of means made of	nongold
31	icy means made of ice	nongold
32	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
33	water is a kind of matter	nongold
34	a molecule is the smallest particle; unit that has the properties of a compound	nongold
35	matter is made of molecules	nongold
36	develop is similar to form	nongold
37	water is a kind of liquid at room temperature	nongold
38	living organisms require organic compounds to survive	nongold
39	a living thing is a kind of object	nongold
40	containing something is similar to providing that something	nongold
41	a molecule is made of atoms chemically combined; bonded	nongold
42	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
43	ice crystals means  ice	nongold
44	being used for is similar to providing	nongold
45	to be made of something means to be formed of that something	nongold
46	the Mars Rover is a kind of vehicle	nongold
47	ice is a kind of water phase	nongold
48	a pure substance is made of only one kind of atom; molecule	nongold
49	organisms are made of carbon	nongold
50	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
51	made of is similar to contains	nongold
52	development is similar to production	nongold
53	an animal is a kind of living thing	nongold
54	temperature is a measure of heat energy	nongold
55	a molecule is a kind of particle	nongold
56	An example of growth is an organism developing a new part	nongold
57	water is a kind of compound	nongold
58	a source of something emits; produces; generates; provides that something	nongold
59	to provide something means to be the source of that something	nongold
60	a living thing is made of cells	nongold
61	to be formed by is similar to being produced by	nongold
62	DNA is a kind of molecule	nongold
63	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
64	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
65	water is a kind of object	nongold
66	providing something means making;delivering something	nongold
67	hydrocarbon molecules can be large in size	nongold
68	can be means able to be	nongold
69	Mars is the planet that is fourth closest to the  Sun	nongold
70	form means kind	nongold
71	a result of something is evidence of that something	nongold
72	a producer is a kind of living thing	nongold
73	to contain means to have inside	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	ice is cold in temperature	nongold
76	to produce means to provide	nongold
77	made up of means contains; made of	nongold
78	a liquid is a kind of substance	nongold
79	biomass contains organic matter	nongold
80	an animal is a kind of eukaryote	nongold
81	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
82	Earth contains water; ice; (steam, water vapor)	nongold
83	to give is similar to to cause	nongold
84	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
85	Earth is greater in mass than Mars	nongold
86	make means produce	nongold
87	high is similar to increase	nongold
88	the chemistry of something is similar to what that something is made of	nongold
89	nonliving; non-living; die is the opposite of living; alive; live	nongold
90	survive means live	nongold
91	survive means live	nongold
92	all living things have life cycles	nongold
93	a sign of something is evidence of that something	nongold
94	if something contains something , then something is able to provide something	nongold
95	soil contains water; humus; weathered rocks; organic matter	nongold
96	frozen means solid	nongold
97	affected means changed	nongold
98	a glacier is made of ice	nongold
99	better means good	nongold
