Question	Large amounts of metals like iron and aluminum are found in	question
Answer	oil wells	answer
0	to be found in means to be contained in	nongold
1	if something is a part of something then that something can be found in that something	nongold
2	if something is located  in somewhere , then something can be found in somewhere	nongold
3	found in means existing in	nongold
4	a lot means large in amount; quantity	nongold
5	if something is located in some place , then the presence of that something can be found in that location	nongold
6	aluminum is a kind of metal	gold
7	aluminum is a kind of element	nongold
8	iron is a kind of metal	gold
9	rocks often contain large amounts of metal	gold
10	a metal is a kind of element	nongold
11	iron is a kind of solid	nongold
12	iron is a kind of element	nongold
13	steel is a kind of metal	nongold
14	usually something can be found  near a source in greater concentrations	nongold
15	metals are made of metal	nongold
16	oil is a kind of liquid	nongold
17	oil is a kind of liquid	nongold
18	zinc is a kind of metal	nongold
19	rocks sometimes contain aluminum	gold
20	metal is a kind of substance	nongold
21	iron is a kind of mineral	nongold
22	oil is a kind of substance; matter	nongold
23	metal is a kind of material	nongold
24	small is the opposite of large	nongold
25	a well is a vehicle for removing water from an aquifer	nongold
26	quantity means amount	nongold
27	aluminum is a nonrenewable resource	nongold
28	a metal is usually a solid at room temperature	nongold
29	groundwater is located under ground	nongold
30	greatest means largest; highest; most amount of something	nongold
31	metal is a kind of natural resource	nongold
32	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
33	substances are made of elements	nongold
34	metal is a nonrenewable resource	nongold
35	most means over 50% of something	nongold
36	iron oxide; rust; Fe2O3 is made of iron and oxygen	nongold
37	oil is a nonrenewable resource	nongold
38	if something does not move then that something can be found in the same location	nongold
39	an element is a kind of material	nongold
40	tungsten is a kind of metal	nongold
41	lead is a kind of element	nongold
42	aluminum is recyclable	nongold
43	larger means greater; higher; more; increase in size	nongold
44	ferrous metals contain iron	nongold
45	silver is a kind of metal	nongold
46	oil is  insoluble in water	nongold
47	rocks sometimes contain iron	gold
48	sinkholes; caves are formed by precipitation; infiltration	nongold
49	if fossils of a water animal or plant are found in a place then that place used to be covered by water in the past	nongold
50	largest amount means most	nongold
51	made up of means contains; made of	nongold
52	accumulation means increase	nongold
53	aluminum is a kind of matter	nongold
54	nickel is a kind of metal	nongold
55	smaller means less; lower in size	nongold
56	copper is a kind of metal	nongold
57	copper is a kind of element	nongold
58	objects are made of materials; substances; matter	nongold
59	high is similar to increase	nongold
60	amount is similar to abundance	nongold
61	soft iron; iron is always ferromagnetic; magnetic	nongold
62	answering questions requires information	nongold
63	if something required by something else is in a place then that something else may be in that place	nongold
64	chemical weathering causes iron in rock to oxidize	nongold
65	iron is always magnetic	nongold
66	zinc is a kind of mineral	nongold
67	concentration means amount	nongold
68	sodium is a kind of metal	nongold
69	an element is a kind of  substance	nongold
70	composed of means made of	nongold
71	minerals are a nonrenewable resource	nongold
72	metal is sometimes magnetic	nongold
73	high means a lot of something	nongold
74	carbon is a kind of element	nongold
75	groundwater is a kind of water	nongold
76	a mineral is a kind of solid; natural material	nongold
77	iron is more dense than water	nongold
78	all elements are a kind of pure substance	nongold
79	sodium is a kind of element	nongold
80	an increase is a kind of change	nongold
81	mercury  is a kind of metal	nongold
82	objects in an environment are a part of that environment	nongold
83	can be means able to be	nongold
84	magnesium is a kind of alkaline earth metal	nongold
85	if the population of an animal decreases then that animal may no longer be found in that place	nongold
86	increase means more	nongold
87	area is similar to location	nongold
88	gold is a kind of metal	nongold
89	metal is an  electrical; electrical energy conductor	nongold
90	if an object is made of a material then that object has the properties of that material	nongold
91	sample is similar to small amount of substance; matter	nongold
92	as the amount; size of something increases , the extensive properties of that something will increase	nongold
93	water is more dense than oil	nongold
94	a component means a part of	nongold
95	where something  comes from is a source of that something	nongold
96	made of is similar to contains	nongold
97	an alkaline earth metal is a kind of element	nongold
98	an environment is a kind of place	nongold
99	aluminum is always nonmagnetic	nongold
