Question	The boiling of water results in a physical change in matter from	question
Answer	liquid to gas.	answer
0	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
1	boiling is a kind of phase change	gold
2	to cause means to result in	nongold
3	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
4	a phase change is a kind of physical change	gold
5	boiling is when liquids are heated above their boiling point	nongold
6	gas is a kind of state of matter	gold
7	temperature is a measure of heat energy	nongold
8	water is a kind of matter	nongold
9	heating means adding heat	nongold
10	physical state means state of matter	nongold
11	to change means to cause a change	nongold
12	liquid is a kind of state of matter	gold
13	state of matter means physical state	nongold
14	water is a kind of liquid at room temperature	gold
15	if something undergoes a physical change then the physical properties of that something will change	nongold
16	chemical change is the opposite of physical change	nongold
17	to produce means to result in	nongold
18	solid is a kind of state of matter	nongold
19	heat means heat energy	nongold
20	if a substance is mixed with another substance then those substances will undergo physical change	nongold
21	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
22	boiling is a kind of event	nongold
23	heat energy can change the state of matter	nongold
24	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
25	gas is a kind of substance	nongold
26	water is a kind of substance	nongold
27	an increase is a kind of change	nongold
28	to add means to increase	nongold
29	evaporating is a kind of phase change	nongold
30	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
31	mass has no impact on boiling; melting; freezing point	nongold
32	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
33	a physical reaction is a kind of process	nongold
34	melting is a kind of phase change	nongold
35	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
36	to give off means to be the source of	nongold
37	gas is a kind of material	nongold
38	combustion is a kind of chemical change	nongold
39	particles in objects are a kind of matter	nongold
40	chemical reactions cause chemical change	nongold
41	adding heat means increasing temperature	nongold
42	gaseous means of gas	nongold
43	temperature changing can cause phase changes	nongold
44	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
45	vapor is synonymous with gas	nongold
46	phase means state	nongold
47	a liquid is a kind of substance	nongold
48	substances are made of matter	nongold
49	a decrease is a kind of change	nongold
50	a  gas is a kind of  element	nongold
51	boiling means the volume of a liquid decreases	nongold
52	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
53	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
54	the boiling point of water is 212F; 100C; 373K	nongold
55	combining; mixing two substances chemically causes chemical reactions	nongold
56	matter; materials; substances are made of atoms; particles	nongold
57	chemical change is a kind of chemical reaction	nongold
58	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
59	gas is a kind of nonmetal	nongold
60	water is an thermal; thermal energy conductor	nongold
61	to be a source of something means to cause that something	nongold
62	if the component of something changed , then the whole thing will change	nongold
63	heat means temperature increases	nongold
64	hydrogen is a kind of gas at room temperature	nongold
65	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
66	state of matter at room temperature is a kind of physical property	nongold
67	state of matter is a kind of physical property	nongold
68	combustion is a kind of exergonic reaction	nongold
69	if liquid is boiling then that liquid is hot	nongold
70	material means substance	nongold
71	to lower means to decrease	nongold
72	to turn means to change	nongold
73	a solid is a kind of substance	nongold
74	reducing is a kind of change	nongold
75	change is a kind of process	nongold
76	gas is a kind of object	nongold
77	increase means more	nongold
78	moisture means liquid; liquid water	nongold
79	melting is when solids are heated above their melting point	nongold
80	variable means able to change	nongold
81	to give is similar to to cause	nongold
82	solution is a kind of liquid	nongold
83	adding heat to an object sometimes causes chemical reactions	nongold
84	oxygen is a kind of gas at room temperature	nongold
85	chemical reactions cause new substances; different substances to form	nongold
86	liquid; solid means nongaseous	nongold
87	formation of a state of matter is a kind of process	nongold
88	state means form	nongold
89	volume has no impact on boiling; melting; freezing point	nongold
90	ability to undergo a phase change is a property of a substance; material	nongold
91	a source of something emits; produces; generates; provides that something	nongold
92	evaporation; boiling can be used for separating a solution by allowing the solvent to evaporate	nongold
93	a reaction is a kind of process	nongold
94	a change is a kind of event	nongold
95	to convert means to change	nongold
96	forming something is a kind of change	nongold
97	condensing is a kind of  phase change	nongold
98	to change means to have an effect	nongold
99	to be formed by is to be the result of	nongold
