Question	Typically, sedimentary rocks are formed	question
Answer	from materials that settle.	answer
0	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	gold
1	sedimentary rocks are formed by deposition; cementation	nongold
2	sedimentary is a kind of rock	nongold
3	typically means usually	nongold
4	sediment is formed from rock	nongold
5	sedimentary rocks are made of small particles	nongold
6	to be made of something means to be formed of that something	nongold
7	generally means usually	nongold
8	nearly all fossils are found in sedimentary rock	nongold
9	limestone is a kind of sedimentary rock	nongold
10	rock is a kind of material	nongold
11	sandstone is a kind of sedimentary rock	nongold
12	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
13	sink down is similar to settle	nongold
14	extreme heat and pressure compact sediment into sedimentary rock	nongold
15	metamorphosed rock is a kind of rock	nongold
16	sediment is formed by weathering	nongold
17	bedrock is a kind of rock	nongold
18	settling is a kind of action	nongold
19	metamorphic rock is a kind of rock	nongold
20	all minerals are formed by natural geological processes	nongold
21	breaking down is a kind of forming	nongold
22	composed of means made of	nongold
23	material means substance	nongold
24	to cause the formation of means to form	nongold
25	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	nongold
26	metamorphic is a kind of rock	nongold
27	to be made of means to consist of	nongold
28	shale is a kind of sedimentary rock	nongold
29	sediment is a kind of matter	nongold
30	form means kind	nongold
31	made up of means contains; made of	nongold
32	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
33	igneous intrusion is a kind of geologic process	nongold
34	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
35	rock is made of minerals	nongold
36	made of is similar to contains	nongold
37	sand in water settles to the bottom of water	nongold
38	composition means the (materials, substances) of which something is composed	nongold
39	class is a measure of how a rock is formed	nongold
40	to change into means to form	nongold
41	if something is made of something; a material then that something contains that something; that material	nongold
42	the crust is a layer of the Earth	nongold
43	granite is a kind of igneous rock	nongold
44	the continental crust is made of rock	nongold
45	to make means to form	nongold
46	if something is made of something else then that something can be broken down into that something else	nongold
47	an element is a kind of material	nongold
48	no longer means used to be	nongold
49	a structure of something is synonymous with a part of that something	nongold
50	sand  is a kind of material	nongold
51	if something is made of something else then the formation of that something requires that something else	nongold
52	objects are made of materials; substances; matter	nongold
53	a rock is usually a solid	nongold
54	rock means stone	nongold
55	forming something is a kind of change	nongold
56	to be formed means to be originated	nongold
57	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
58	a component of something means a part of that something	nongold
59	different classes of rocks are formed by different methods	nongold
60	to be formed by is similar to being produced by	nongold
61	organisms can be preserved in sedimentary rock	nongold
62	mechanical weathering is when rocks are broken down by mechanical means	nongold
63	composition is a property of an object; matter	nongold
64	a component means a part of	nongold
65	becoming is similar to forming	nongold
66	settling in a liquid is the opposite of staying suspended in a liquid	nongold
67	Earth is made of rock	nongold
68	usually means most of the time	nongold
69	the formation of rock is a kind of process	nongold
70	landform means surface feature; physical feature; land feature	nongold
71	a whole is formed by its parts	nongold
72	state means form	nongold
73	an object; material; substance comes from that object or material's source	nongold
74	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
75	settle below is the opposite of float on	nongold
76	if something comes from something else then that something else is a source of that something	nongold
77	to form means to create	nongold
78	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
79	a rock is a kind of object	nongold
80	forming is similar to converting	nongold
81	metamorphosis is a kind of process	nongold
82	sediment falls to the bottom of bodies of water	nongold
83	can be means able to be	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	products are formed; are produced; are created	nongold
86	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	nongold
87	decomposing is similar to separating	nongold
88	to settle below is similar to to flow underneath	nongold
89	stalactites are formed by deposition	nongold
90	where something  comes from is a source of that something	nongold
91	to lower means to decrease	nongold
92	granite is a kind of nonmetal	nongold
93	if something is made of something else , then that something else will be the component of that something	nongold
94	a surface is a part of a material	nongold
95	to add means to increase	nongold
96	a solid is a kind of substance	nongold
97	pebbles are a kind of material	nongold
98	affected means changed	nongold
99	the mantle is located just below Earth's crust	nongold
