Question	What tool would be used to examine a fingerprint?	question
Answer	a hand lens	answer
0	a hand lens; a magnifying lens is synonymous with a magnifying glass	gold
1	inspect; observe means examine	gold
2	a finger is a part of a hand	nongold
3	instrument means tool	nongold
4	to study means to examine	nongold
5	device means tool	nongold
6	a hand is a kind of object	nongold
7	examining sometimes requires measuring	nongold
8	a tool is a kind of object	nongold
9	a magnifying glass is a kind of tool for observing small things	gold
10	identifying sometimes requires examining	nongold
11	a fingerprint is small in size	gold
12	a device is a kind of object	nongold
13	instrument means device	nongold
14	a living thing is a kind of object	nongold
15	magnifying glass is used to see  small things by making objects appear bigger	gold
16	lenses are a kind of object	nongold
17	a human is a kind of animal	nongold
18	fingerprints are usually unique	nongold
19	an instrument is a piece of equipment	nongold
20	an animal is a kind of living thing	nongold
21	an animal is a kind of organism	nongold
22	some lenses are made of plastic	nongold
23	a hand is a part of the body	nongold
24	some lenses are made of glass	nongold
25	magnifying makes seeing small things easier through using a magnifying glass; using a microscope	nongold
26	objects are made of materials; substances; matter	nongold
27	answering questions requires information	nongold
28	the function of something is what that something  is used to do	nongold
29	an part of an object is smaller than the entire object	nongold
30	examining is a kind of process	nongold
31	material means substance	nongold
32	An example of biometric authentication is using fingerprints for identification	nongold
33	an eyeglass lens is a kind of object	nongold
34	a lens is a part of a telescope	nongold
35	a convex lens causes light to refract and concentrate to magnify distant objects	nongold
36	optical tools are used for observing materials up close; in greater detail	nongold
37	can be means able to be	nongold
38	investigating sometimes requires measuring	nongold
39	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
40	if an object is made of a material then that object has the properties of that material	nongold
41	a human hand is large enough to be visible	nongold
42	technology is similar to tool	nongold
43	an invention is a kind of tool	nongold
44	a camera is a kind of tool for recording images	nongold
45	an organism is a living thing	nongold
46	biometric authentication is a kind of  technology	nongold
47	observe means see	nongold
48	human is a kind of organism	nongold
49	look at means observe	nongold
50	something is used for that something's purpose	nongold
51	studying is similar to investigating	nongold
52	an eyeglass lens is often made of glass	nongold
53	a component of something means a part of that something	nongold
54	investigation sometimes requires experimentation	nongold
55	an object is made of its parts	nongold
56	metal is reflective	nongold
57	to be used for something means to be required by that something	nongold
58	studying  something usually requires seeing that something	nongold
59	an object has properties	nongold
60	the properties of something can be used to identify; used to describe that something	nongold
61	a mirror is a kind of reflective object	nongold
62	an object; material; substance comes from that object or material's source	nongold
63	biometric authentication has a positive impact on the protection of private information	nongold
64	an event is a kind of action	nongold
65	a machine is a kind of  device	nongold
66	a component means a part of	nongold
67	identical means copy	nongold
68	refraction is when light passes from one medium to another medium	nongold
69	a type is synonymous with a kind	nongold
70	a simple machine is a kind of tool	nongold
71	a structure of something is synonymous with a part of that something	nongold
72	substances are made of matter	nongold
73	a surface is a part of an object	nongold
74	knowing the properties of something means knowing information about that something	nongold
75	form means kind	nongold
76	determining often requires measuring; observing	nongold
77	observable means visible	nongold
78	a surface is a part of a material	nongold
79	a convex lens is used in camera	nongold
80	person is synonymous with human	nongold
81	a convex lens is a kind of lenses	nongold
82	if an object is made of something then the parts of that object are made of that something	nongold
83	a part of something means a characteristic of something	nongold
84	an object is an item	nongold
85	refraction causes something to appear; to look different	nongold
86	a plant is a kind of living thing	nongold
87	length is a measure of distance from one end of an object to the other end of that object	nongold
88	refraction is a kind of process	nongold
89	high is similar to increase	nongold
90	high-quality means positive	nongold
91	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
92	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
93	if something is a part of something then that something can be found in that something	nongold
94	feeling is when an living thing senses through touch	nongold
95	a face is often a part of an animal	nongold
96	particles in objects are a kind of matter	nongold
97	a sign of something is evidence of that something	nongold
98	refraction is a property of light	nongold
99	lenses are a part of eyeglasses	nongold
