Question	Astronomers have determined the surface temperature of stars by studying their colors. What color emission represents stars with the hottest temperatures?	question
Answer	blue	answer
0	blue stars have the hottest temperature	gold
1	a star is very hot in temperature	nongold
2	stars are some of the hottest objects	nongold
3	blue is a kind of color	gold
4	a star's surface temperature causes the star's  color	gold
5	hot means high in heat energy; temperature	nongold
6	stars can be classified by temperature; color; chemical composition; brightness	nongold
7	determining often requires measuring; observing	nongold
8	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
9	temperature is a measure of heat energy	nongold
10	a star produces light and heat	nongold
11	astronomy is the study of celestial (objects, bodies)	nongold
12	color is a kind of physical; visual property	nongold
13	a star is a kind of celestial object; celestial body	nongold
14	a hot; warm something is a source of heat	nongold
15	the sun is average in temperature  for a star in our galaxy	nongold
16	colder; cooler means lower in temperature	nongold
17	warm means medium heat energy; temperature	nongold
18	astronomy is a kind of branch of science	nongold
19	red is a kind of color	nongold
20	green is a kind of color	nongold
21	the Sun is a kind of star	nongold
22	an increase is the opposite of a decrease	nongold
23	according to is similar to be determined by	nongold
24	warm is similar to hot	nongold
25	the surface of the sun is extremely hot in temperature with values as high as 20 000 000 ° C	nongold
26	high is similar to increase	nongold
27	heat means temperature increases	nongold
28	determine is similar to cause	nongold
29	the sun is a source of radiation; heat called sunlight	nongold
30	a star's type is determined by the star's mass	nongold
31	heat means heat energy	nongold
32	temperature changing does not cause color to change	nongold
33	the sky is blue in color	nongold
34	hot is the opposite of  cold	nongold
35	low is similar to decrease	nongold
36	a decrease is a kind of change	nongold
37	an increase is a kind of change	nongold
38	color is a property of  an object; a material	nongold
39	to a  human a air; environment temperature of 35 C to 50000000 C is considered very hot	nongold
40	the emission of something is when something is added into the atmosphere	nongold
41	air temperature is a kind of temperature	nongold
42	to a  human a air; environment temperature of 95 F to 50000000 F is considered very hot	nongold
43	white is a kind of color	nongold
44	cold means low in temperature	nongold
45	to a  human a air; environment temperature of 28 C to 35 C is considered hot	nongold
46	a star is made of gases	nongold
47	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
48	to a  human a air; environment temperature of 82 F to 95 F is considered hot	nongold
49	if an object is hot then the surfaces of that object are hot	nongold
50	red-dwarf stars are cooler than yellow-dwaf stars	nongold
51	to lower means to decrease	nongold
52	the sun is a kind of yellow dwarf	nongold
53	warmer means greater; higher in temperature; warmth	nongold
54	yellow is a kind of color	nongold
55	if a star runs out of hydrogen , it becomes hotter; more luminous	nongold
56	red giant stars burn at cooler temperatures than main sequence stars	nongold
57	purple;violet;magenta is a kind of color	nongold
58	sunlight produces heat	nongold
59	bright means bright; light in color	nongold
60	cooler means colder	nongold
61	a star is a source of light; light energy through nuclear reactions	nongold
62	temperature is an intensive property	nongold
63	little is similar to decrease	nongold
64	astronomical body means celestial body	nongold
65	less is similar to decrease	nongold
66	warm means warm temperature	nongold
67	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
68	if an object is blue then that object reflects only blue light	nongold
69	color is an intensive property	nongold
70	if a planet cannot hold heat then that planet will have a large range of temperatures	nongold
71	a star requires energy	nongold
72	a source of something emits; produces; generates; provides that something	nongold
73	warm up means increase temperature	nongold
74	a star is formed by collapsing clouds of gas and dust	nongold
75	studying  something usually requires seeing that something	nongold
76	stellar means related to stars	nongold
77	the color of an object can be discovered by looking at that object	nongold
78	binary stars can be used to determine a star's mass	nongold
79	main-sequence stars are generally yellow	nongold
80	adding heat means increasing temperature	nongold
81	increase means more	nongold
82	cooling means temperature decreases	nongold
83	a hot substance is a source of heat	nongold
84	spectrum means a range of colors	nongold
85	the properties of something are used for describing that something	nongold
86	summer has hot temperatures; weather	nongold
87	coloration means a thing's color	nongold
88	black is a kind of color	nongold
89	worldwide temperature means atmospheric temperature	nongold
90	as the cause of something decreases , that something will decrease	nongold
91	cool means cold	nongold
92	studying is similar to observing	nongold
93	liquid is a kind of state of matter	nongold
94	as the sun sets , the temperature will decrease	nongold
95	warm is the opposite of cool	nongold
96	stars generally have the same chemical composition	nongold
97	gas is a kind of state of matter	nongold
98	orange is a kind of color	nongold
99	the sun is a source of light; light energy called sunlight	nongold
