Question	Organisms that consume wastes to obtain the nutrients they need to survive are classified as	question
Answer	decomposers	answer
0	a decomposer is a kind of living thing	gold
1	an animal; living thing requires nutrients for survival	gold
2	a decomposer is usually a bacterium; fungus	nongold
3	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
4	decomposition is when a decomposer breaks down dead organisms	nongold
5	dead organisms are the source of nutrients for decomposers	gold
6	a bacterium is a kind of decomposer	nongold
7	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
8	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
9	to depend on; to rely on; to need means to require	nongold
10	to decompose means to decay	nongold
11	a kind of something is classified as that something	nongold
12	a microorganism is a kind of decomposer	nongold
13	an organism is a living thing	nongold
14	to obtain means to get	nongold
15	a worm is a kind of decomposer	nongold
16	In the food chain process bacteria have the role of decomposer	nongold
17	a plant; living thing requires food for survival	nongold
18	an animal is a kind of organism	nongold
19	requiring something means needing that something	nongold
20	In the food chain process fungi have the role of decomposer	nongold
21	dead organisms are a kind of waste	gold
22	an earthworm is a kind of decomposer	nongold
23	an animal needs to eat food for nutrients	nongold
24	an animal is a kind of living thing	nongold
25	classifying is when one sorts something by kind; type	nongold
26	a food contains nutrients for living things	nongold
27	to decompose means to separate	nongold
28	life means living things	nongold
29	category means kind	nongold
30	a type is synonymous with a kind	nongold
31	consumption means use	nongold
32	survive means live	nongold
33	survive means live	nongold
34	obtain is similar to receive	nongold
35	all living things eliminate waste	nongold
36	to eat means to consume food	gold
37	classifying means grouping objects; materials by their properties	nongold
38	to belong to a class means to be a kind of something	nongold
39	survival means to survive	nongold
40	human is a kind of organism	nongold
41	a human is a kind of animal	nongold
42	deplete is similar to decrease	nongold
43	classify is similar to characterize	nongold
44	if something causes a process then that something is required for that process	nongold
45	a plant is a kind of organism	nongold
46	to be used for something means to be required by that something	nongold
47	to gain means to obtain	gold
48	absorbing is similar to obtaining	nongold
49	death means to die	nongold
50	organisms mean life	nongold
51	organisms are a part of an environment	nongold
52	dying is the opposite of living; surviving	nongold
53	nonliving; non-living; die is the opposite of living; alive; live	nongold
54	decomposing is similar to separating	nongold
55	if an object is a source of something for something else then that something else can obtain that something from that object	nongold
56	nutrients are a kind of substance	nongold
57	if a human discards an object then that object will become waste	nongold
58	classification is a kind of process	nongold
59	overuse is similar to depletion	nongold
60	an animal requires enough nutrients to maintain good health; survive	nongold
61	eating;digestion is when an organism takes in nutrients from food into itself by eating	gold
62	a living thing is a kind of object	nongold
63	nutrients are a kind of material	nongold
64	nutrients are a kind of resource	nongold
65	an animal; bacterium requires oxygen for survival; to breathe	nongold
66	garbage means waste	nongold
67	excretion  is when  the excretory system removes waste from the body	nongold
68	waste has a  negative impact on the environment	nongold
69	answering questions requires information	nongold
70	living things all require energy for survival	nongold
71	a plant is a kind of living thing	nongold
72	a bacterium is a kind of organism	nongold
73	remains mean parts of a dead organism	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	if something is a raw material in a process then that something is required for that process	nongold
76	a fungus is a kind of organism	nongold
77	to be required means to be necessary	nongold
78	dehydrating food is used for preserving food	nongold
79	nutrients are a kind of matter	nongold
80	if something is required for a process then that something positively impacts that process	nongold
81	if something required by an organism is depleted then that organism must replenish that something	nongold
82	the waste of an animal contains nitrogen	nongold
83	to categorize means to classify	nongold
84	if a living thing requires something then that something has a positive impact on that living thing	nongold
85	material means substance	nongold
86	biotic means living	nongold
87	a nutrient is a kind of object	nongold
88	consumers eat other organisms	nongold
89	processes sometimes produce waste products	nongold
90	producing is similar to discharging	nongold
91	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
92	a domain is the broadest group into which organisms can be classified	nongold
93	bacteria is a kind of living thing	nongold
94	if a living thing dies then that living thing is dead	nongold
95	an ecosystem contains a large community of; large numbers of living organisms	nongold
96	living things eat their food source	nongold
97	a fungus is a kind of living thing	nongold
98	recycling means reusing	nongold
99	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
