Question	A volcano under the ocean slowly releases lava over time. As the lava is released, it cools and hardens on the ocean floor. Which feature will most likely form from the release and cooling of the lava on the ocean floor over time?	question
Answer	an island	answer
0	an island is formed by lava being released; cooling on the ocean floor over time	gold
1	a volcano is a kind of landform	nongold
2	a volcano is a source of magma; lava	nongold
3	landform means surface feature; physical feature; land feature	gold
4	volcanoes are often found under oceans	nongold
5	a body of water is a kind of land feature	nongold
6	an island is a kind of landform	gold
7	if lava is on Earth's surface then that lava will cool	nongold
8	an ocean is a kind of body of water	nongold
9	a land feature is a kind of physical characteristic	nongold
10	a structure is a kind of feature	nongold
11	a mountain is a kind of land feature	nongold
12	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
13	a body of water is a kind of environment	nongold
14	new land can be formed by volcanoes erupting by lava cooling	nongold
15	feature is synonymous with characteristic	nongold
16	ground means floor	nongold
17	a volcano is a kind of geological event	nongold
18	a volcanic eruption is a kind of change	nongold
19	bodies of water are located on Earth's surface	nongold
20	land is a kind of landform	nongold
21	lava is found above the ground	nongold
22	cooling is a kind of process	nongold
23	volcanoes are most common along tectonic plate boundaries	nongold
24	a shore is the land found at the edge of a body of water	nongold
25	temperature is a measure of heat energy	nongold
26	the floor is a kind of object	nongold
27	a body of water is a source of water	nongold
28	cooling means temperature decreases	nongold
29	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
30	form means kind	nongold
31	seafloor spreading causes cooled magma to form on the edges of tectonic plates on Earth	nongold
32	a structure of something is synonymous with a part of that something	nongold
33	lava is a kind of matter	nongold
34	under water means covered by water; in water	nongold
35	a property of something is a feature of that something	nongold
36	to add means to increase	nongold
37	a body of water contains water	nongold
38	to lower means to decrease	nongold
39	increase means more	nongold
40	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
41	heat means temperature increases	nongold
42	sea means ocean	nongold
43	heating is the opposite of cooling	nongold
44	state means form	nongold
45	heat means heat energy	nongold
46	a landform is a kind of place	nongold
47	a landform is a kind of place	nongold
48	an ocean contains waves	nongold
49	to make means to form	nongold
50	a volcanic eruption is a kind of quick process	nongold
51	a continent is a kind of large land mass	nongold
52	upwelling is when the water from deep ocean; the ocean floor rises to the ocean's surface	nongold
53	a planet is a kind of place	nongold
54	to reduce means to decrease	nongold
55	high is similar to increase	nongold
56	a continent is a kind of location	nongold
57	an environment is a kind of place	nongold
58	an increase is a kind of change	nongold
59	an environment means an area	nongold
60	oceans cover 70% of the surface of the earth	nongold
61	oceans are located on Earth	nongold
62	an increase is the opposite of a decrease	nongold
63	a plateau  is formed by a buildup of cooled lava	nongold
64	if something releases something else then that something is the source of that something else	nongold
65	the ocean transfers more heat than the continent	nongold
66	cooling is a kind of condition	nongold
67	a planet is a kind of location	nongold
68	a desert is a kind of land feature	nongold
69	an object is made of its parts	nongold
70	liquid water cooling causes that liquid water to freeze	nongold
71	to be made of something means to be formed of that something	nongold
72	a coast is where land meets the edge of a body of water	nongold
73	if something releases something else then that something else decreases in that something	nongold
74	if something required by something else is in a place then that something else may be in that place	nongold
75	a volcano changes the environment around it by covering the environment in ash	nongold
76	the surface of the Earth is made of 70% ocean	nongold
77	land is a kind of environment	nongold
78	rock is hard	nongold
79	to emit means to release	nongold
80	colder; cooler means lower in temperature	nongold
81	breaking down is a kind of forming	nongold
82	to form means to create	nongold
83	if something returns to a place then that something increases in that place	nongold
84	a cavern is a kind of land form	nongold
85	oceans contains most of  earth's water	nongold
86	the Arctic Ocean is a kind of ocean	nongold
87	where something  comes from is a source of that something	nongold
88	ocean temperatures change slowly	nongold
89	Earth is a kind of planet	nongold
90	heating means adding heat	nongold
91	a decrease is a kind of change	nongold
92	magma is found below the ground	nongold
93	to increase is similar to to create	nongold
94	a whole is formed by its parts	nongold
95	gradual means slow; over time	nongold
96	to give off means to be the source of	nongold
97	something that contains water is similar to a body of water	nongold
98	a cloud of dust and gas is a kind of feature	nongold
99	rising is a kind of motion	nongold
