Question	Temperature is the measurement of which type of energy?	question
Answer	kinetic	answer
0	temperature is a measure of kinetic energy of molecules	gold
1	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
2	kinetic energy is a kind of mechanical energy	nongold
3	motion is a source of kinetic energy in an object	nongold
4	a type is synonymous with a kind	nongold
5	temperature is a measure of heat energy	nongold
6	An example of an object with kinetic energy is an object in motion	nongold
7	changes potential energy into kinetic energy through motion	nongold
8	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
9	heat is a kind of energy	nongold
10	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
11	speed is a measure of how fast an object is moving	nongold
12	motion; movement means moving; to move	nongold
13	form means kind	nongold
14	as the kinetic energy of a molecule increases , the temperature will increase	nongold
15	comet striking a planet converts kinetic energy into thermal energy	nongold
16	property is similar to measurement	nongold
17	can be means able to be	nongold
18	heat means heat energy	nongold
19	a motion is a kind of event; action	nongold
20	particles in a liquid have more kinetic energy than particles in a solid	nongold
21	as an object moves faster , the kinetic energy of that object will increase	nongold
22	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
23	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
24	rate is similar to speed	nongold
25	particles in a gas have more kinetic energy than particles in a liquid	nongold
26	stopping a moving object changes kinetic energy into potential energy	nongold
27	variable means able to change	nongold
28	speed is a property of an object and includes values of slow; fast	nongold
29	an increase is a kind of change	nongold
30	to add means to increase	nongold
31	a measurement is a kind of data	nongold
32	mechanical energy is a kind of energy	nongold
33	calculation means measurement	nongold
34	as kinetic energy increases , the potential energy will decrease	nongold
35	energy transformation means one kind of energy changes into another kind of energy	nongold
36	a process is a kind of event	nongold
37	movement is a kind of change	nongold
38	potential energy is a kind of energy	nongold
39	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
40	affected means changed	nongold
41	as the kinetic energy of particles increases , the particles will move faster	nongold
42	chemical energy is a kind of potential energy	nongold
43	transfer is a kind of change	nongold
44	objects are made of materials; substances; matter	nongold
45	a change is a kind of event	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	to convert means to change	nongold
48	high is similar to increase	nongold
49	seconds are a kind of unit for measuring time	nongold
50	water is a kind of matter	nongold
51	convert is similar to transfer	nongold
52	a generator converts kinetic energy into electrical energy; electricity	nongold
53	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
54	matter; materials; substances are made of atoms; particles	nongold
55	heating means adding heat	nongold
56	a kind of something is an example of that something	nongold
57	as kinetic energy of an object increases , that object will travel faster	nongold
58	change is a kind of process	nongold
59	thermal energy is a kind of energy	nongold
60	to slow; to slow down decreases speed	nongold
61	emit means produce	nongold
62	running is a kind of movement	nongold
63	flowing is a kind of motion	nongold
64	a meter is a kind of unit for measuring distance; measuring length	nongold
65	water is a kind of liquid at room temperature	nongold
66	a reaction is a kind of process	nongold
67	water is a kind of substance	nongold
68	a liquid is a kind of substance	nongold
69	hydropower converts kinetic energy into electric energy	nongold
70	an event is a kind of action	nongold
71	pulling is a kind of motion	nongold
72	particles in objects are a kind of matter	nongold
73	chemical energy is a kind of energy	nongold
74	water is a kind of object	nongold
75	something that happens is a kind of event	nongold
76	heat means temperature increases	nongold
77	answering questions requires information	nongold
78	substances are made of matter	nongold
79	a machine is a kind of object	nongold
80	events occur at a specific place; at a specific time; with a specific frequency	nongold
81	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
82	level is similar to amount; quantity	nongold
83	potential energy means stored energy	nongold
84	to change means to cause a change	nongold
85	revolving is a kind of motion	nongold
86	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
87	buildup means increase	nongold
88	composed of means made of	nongold
89	to turn means to change	nongold
90	speed up means increase	nongold
91	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
92	adding heat means increasing temperature	nongold
93	make means produce	nongold
94	seconds are used to measure time	nongold
95	if something generates energy for something else then that something powers that something else	nongold
96	to be formed by is similar to being produced by	nongold
97	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
98	a component means a part of	nongold
99	system means a set of objects	nongold
