Question	Which is a nonrenewable natural resource that is used to make electrical energy?	question
Answer	coal	answer
0	coal is a nonrenewable resource	gold
1	natural gas is a nonrenewable resource	nongold
2	coal is used to produce electricity by burning in coal-fire power stations	gold
3	coal is a kind of fossil fuel	gold
4	fossil fuels are a nonrenewable resource	nongold
5	renewable is the opposite of nonrenewable	nongold
6	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
7	coal is used for generating heat by burning	nongold
8	electricity means electrical energy	gold
9	using coal requires burning coal	nongold
10	producing renewable electric energy requires renewable resources	nongold
11	natural gas is used for generating electricity by burning in a power plant	nongold
12	natural gas is a kind of fossil fuel	nongold
13	make means produce	gold
14	a fossil fuel is a kind of natural resource	gold
15	a nonrenewable resource is limited in supply	nongold
16	oil is a nonrenewable resource	nongold
17	resources sometimes are used for energy	nongold
18	electrical energy is a kind of energy	nongold
19	a renewable resource is a kind of natural resource	nongold
20	coal is a kind of fuel	nongold
21	to be used for something means to be required by that something	nongold
22	fossil fuels are a kind of energy resource	nongold
23	producing electricity sometimes requires burning oil	nongold
24	oil is used for producing electricity	nongold
25	to create means to make	nongold
26	metal is a nonrenewable resource	nongold
27	oil is a kind of fossil fuel	nongold
28	forming coal; fossil fuels requires decaying vegetation	nongold
29	to cause means to make	nongold
30	making something requires resources	nongold
31	petroleum is a kind of fossil fuel	nongold
32	fossil fuel contains chemical energy	nongold
33	an energy source is a kind of resource	nongold
34	electricity is used as an energy source by electrical devices	nongold
35	nature is the source of natural resources	nongold
36	if something is a raw material in a process then that something is required for that process	nongold
37	coal is a kind of rock	nongold
38	if something is a raw material then that something comes directly from a source	nongold
39	creating means making	nongold
40	wood is a kind of energy resource	nongold
41	to produce means to create	nongold
42	where something  comes from is a source of that something	nongold
43	minerals are a nonrenewable resource	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	electrical devices convert from electrical energy; electricity into other forms of energy	nongold
46	emit means produce	nongold
47	natural resources are found in nature	nongold
48	metal is a kind of natural resource	nongold
49	to power means to provide energy for	nongold
50	coal is a kind of object	nongold
51	renewable resources are often available for many years	nongold
52	wood is a renewable resource	nongold
53	if something is powered by something else then that something requires a source of that something else	nongold
54	synthesize means to make	nongold
55	something is used for that something's purpose	nongold
56	to make means to invent	nongold
57	manufacturing means making	nongold
58	to produce means to provide	nongold
59	nonrenewable resources will eventually be depleted	nongold
60	the function of something is what that something  is used to do	nongold
61	products are formed; are produced; are created	nongold
62	oil is a kind of energy resource	nongold
63	generate means produce	nongold
64	aluminum is a nonrenewable resource	nongold
65	production is similar to making	nongold
66	to make means to build	nongold
67	to generate means to create	nongold
68	answering questions requires information	nongold
69	burning coal is a source of air pollution	nongold
70	a natural resource is a kind of environmental factor	nongold
71	wood is a kind of resource	nongold
72	coal; uranium is acquired by mining the lithosphere	nongold
73	natural gas is a source of heat by burning	nongold
74	fossil fuels have high potential energy	nongold
75	solar energy is a kind of energy	nongold
76	if something converts a resource into energy it doesn't use then that something is not using that resource efficiently	nongold
77	biofuel is used to produce electricity by burning	nongold
78	a process is a kind of event	nongold
79	to provide something means to be the source of that something	nongold
80	water is a kind of natural resource	nongold
81	water is a kind of natural resource	nongold
82	processes sometimes produce waste products	nongold
83	a coal mine is a source of coal under the ground	nongold
84	if use of a nonrenewable resources increases then the nonrenewable resource will be depleted	nongold
85	a producer is a source of energy for consumers	nongold
86	to form means to create	nongold
87	manufacture means make	nongold
88	metal is an  electrical; electrical energy conductor	nongold
89	plants are a kind of resource	nongold
90	materials are used for making products by manufacturers	nongold
91	converting is similar to producing	nongold
92	if something causes a process then that something is required for that process	nongold
93	green plants are a kind of producer	nongold
94	to make means to form	nongold
95	a producer is a kind of living thing	nongold
96	a power plant converts chemical energy from energy source into electricity	nongold
97	a material is a kind of resource	nongold
98	fossil fuels burning causes pollution	nongold
99	electricity sometimes is used for heating buildings; substances	nongold
