Question	The length of daylight changes as the seasons change during the year. What causes these changes in daylight?	question
Answer	Earth's tilt on its axis	answer
0	Earth's tilt on its rotating axis causes seasons to change; to occur	gold
1	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
2	when the season changes , the amount of daylight will change	gold
3	amount of daylight means length of daylight	nongold
4	the Earth being tilted on its rotating axis causes seasons	nongold
5	daylight means sunlight	nongold
6	daylight occurs during the day	nongold
7	length of time means period of time	gold
8	Earth's angle of tilt causes the length of day and night to vary	nongold
9	the sunlight occurs during the day	nongold
10	length is a measure of distance from one end of an object to the other end of that object	nongold
11	period of daylight is synonymous with amount of daylight	gold
12	sunlight is a kind of light	nongold
13	the Earth rotates on its axis	nongold
14	length is a part of size	nongold
15	the amount of daylight is greatest in the summer	gold
16	long means great in length	nongold
17	to change means to cause a change	nongold
18	daylight hours means time during which there is daylight	nongold
19	when the seasons change from the summer to the fall , the amount of daylight will decrease	nongold
20	summer is a kind of season	nongold
21	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
22	daylight is when the sun shines on a location	nongold
23	the sun is a source of light; light energy called sunlight	nongold
24	an increase is a kind of change	nongold
25	daytime means day	nongold
26	length is a property of the shape of an object	nongold
27	the amount of daylight is greatest on the summer solstice	nongold
28	seasons cause change to the environment	nongold
29	season is a major yearly temperature change	nongold
30	Earth orbiting the Sun causes seasons to change	nongold
31	the amount of daylight is least on the winter solstice	nongold
32	summer is when a hemisphere is tilted towards the sun	nongold
33	longest means greatest in length	nongold
34	the amount of daylight is least in the winter	gold
35	to cause means to have an effect	nongold
36	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
37	years are a kind of unit for measuring time	nongold
38	intensity of sunlight is similar to amount of sunlight	nongold
39	Earth is a kind of planet	nongold
40	winter is a kind of season	nongold
41	sunlight means solar energy	nongold
42	different seasons occur during different times of the year	nongold
43	a measure of time is a length of time	nongold
44	meters;centimeters;kilometers are used to describe distance; describe length	nongold
45	winter is when a hemisphere is tilted away from the sun	nongold
46	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
47	sunlight is a kind of solar energy	nongold
48	sunshine means sunlight	nongold
49	Earth rotating on its axis occurs once per day	nongold
50	light years ( ly ) are a  astronomy unit used for measuring length; distance generally used for values between 1.0 and 27000000000.0	nongold
51	to add means to increase	nongold
52	to change means to have an effect	nongold
53	high is similar to increase	nongold
54	a decrease is a kind of change	nongold
55	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
56	an increase is the opposite of a decrease	nongold
57	affected means changed	nongold
58	each season occurs once per year	gold
59	as the distance of a location from the North Pole becomes smaller; closer , the  amount of daylight received by that location will increase during the summer	nongold
60	a meter is a kind of unit for measuring distance; measuring length	nongold
61	every summer  is a kind of period of time	nongold
62	shorter means decreased length	nongold
63	hours are a kind of unit for measuring time	nongold
64	years ( y ) are a  metric unit used for measuring time generally used for values between 1.0 and 14000000000.0	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	the Earth being tilted on its axis causes one side of the Earth; one hemisphere to receive less energy from the Sun than the other side	nongold
67	to cause means to make	nongold
68	motion is when moves an object; something to a direction	nongold
69	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
70	winter is a part of the year	nongold
71	a seasonal change is a kind of environmental change	nongold
72	to turn means to change	nongold
73	days are a kind of unit for measuring time	nongold
74	spring is a kind of season	nongold
75	the sun is the source of solar energy called sunlight	nongold
76	if the component of something changed , then the whole thing will change	nongold
77	causing means influencing	nongold
78	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
79	light year is a measure of the distance light travels in one year	nongold
80	the day time is part of one day	nongold
81	to give is similar to to cause	nongold
82	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
83	as the distance of a location from the North Pole becomes smaller; closer , the amount of daylight received by that location will decrease during the winter	nongold
84	adding something is a kind of change	nongold
85	weather changes from seasons to seasons	nongold
86	winter is the opposite of summer	nongold
87	receiving sunlight  is synonymous with absorbing sunlight	nongold
88	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
89	to shorten means to make shorter	nongold
90	the afternoon is  a part of the day	nongold
91	Autumn is a kind of season	nongold
92	causing is a kind of affecting	nongold
93	to slow; to slow down decreases speed	nongold
94	annual means once per year	nongold
95	the moon rotates on its axis	nongold
96	the sun rising and setting causes cycles of day and night	nongold
97	1 day is equal to 24 hours	nongold
98	variable means able to change	nongold
99	shortest means least; smallest in length	nongold
