Question	A pan of soup is being heated on an electric stove. A metal spoon is used to occasionally stir the soup. Which of the following is an example of heat being transferred by convection?	question
Answer	heating the soup	answer
0	a pan;frying pan;pot is used for cooking food by heating food in it on a stove	gold
1	convection is when a liquid is heated by hotter material rising to the top of the liquid	gold
2	if a spoon; an object is used to stir a liquid; mixture then that spoon; that object is touching that liquid; that mixture	gold
3	a pan;frying pan is a kind of container for cooking; food	nongold
4	pot;pan;frying pan is made of metal for cooking	nongold
5	a pan is a kind of object	nongold
6	being  on something; placed in something; placed over something means touching  that something	nongold
7	soup is a kind of liquid	gold
8	a spoon sometimes is made of metal	nongold
9	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
10	a stove generates heat for cooking usually	gold
11	metal is a thermal; thermal energy conductor	nongold
12	an electric stove changes electrical energy into heat energy	nongold
13	a stove is used for cooking by generating heat	nongold
14	a spoon is a kind of object	nongold
15	soup is a kind of food	nongold
16	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
17	to conduct is similar to to transfer	nongold
18	heating means adding heat	nongold
19	when a cooler object touches a warmer object , thermal conduction occurs	gold
20	heat means the transfer of thermal energy	gold
21	convert is similar to transfer	nongold
22	convection is a kind of process	nongold
23	if one surface; one substance; one object touches something then one is exposed to that something	nongold
24	a stove is a kind of machine	nongold
25	a thermal conductor is made of materials that conduct thermal energy	nongold
26	metal is an  electrical; electrical energy conductor	nongold
27	thermal conduction is when heat flows from warmer object to cooler object	nongold
28	a kind of something is an example of that something	nongold
29	an oven is a kind of electrical device	nongold
30	stirring is when something moves an object in a circular motion for mixing	nongold
31	heat energy is synonymous with thermal energy	gold
32	water is an thermal; thermal energy conductor	nongold
33	stirring is a kind of first-	nongold
34	a container is a kind of object	nongold
35	an oven is a source of heat	nongold
36	temperature is a measure of heat energy	nongold
37	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
38	metal is a kind of material	nongold
39	convection is when the heated part of gas rises	nongold
40	a bowl is a kind of container	nongold
41	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
42	a hot; warm something is a source of heat	nongold
43	a container contains objects; material; substances	nongold
44	if something transfers something else then that something is a source of something else	nongold
45	to add means to increase	nongold
46	if an object is made of a material then that object has the properties of that material	nongold
47	heating elements are usually a part of an oven	nongold
48	pots are used for cooking liquid food usually	nongold
49	a hot plate is a source of heat	nongold
50	the heat energy in the cooler object increases in thermal conduction	nongold
51	if a container contains something then that container touches that something	nongold
52	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
53	a source of heat can be used to heat something	nongold
54	a source of heat can be used to heat something	nongold
55	conductivity is a property of a material; substance	nongold
56	a pot is used for cooking food	nongold
57	a surface is a part of a material	nongold
58	absorbing energy causes objects; materials; substances to heat	nongold
59	being in something means touching that something	nongold
60	a hot plate is a kind of instrument	nongold
61	metal is a kind of substance	nongold
62	an insulator is the opposite of a conductor	nongold
63	adding heat means increasing temperature	nongold
64	heat means heat energy	gold
65	a burner is a part of a  stove	nongold
66	a pot is a kind of container	nongold
67	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
68	air is usually a thermal; thermal energy insulator	nongold
69	a hot substance is a source of heat	nongold
70	a liquid is a kind of substance	nongold
71	thermal energy is a kind of energy	nongold
72	transfer is a kind of change	nongold
73	a plastic spoon is made of plastic	nongold
74	a source of something emits; produces; generates; provides that something	nongold
75	a metal is usually a solid at room temperature	nongold
76	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
77	to flow is similar to to transfer	nongold
78	a liquid is a kind of fluid	nongold
79	electricity means electrical energy	nongold
80	objects are made of materials; substances; matter	nongold
81	if something is places over a heat source then that something is exposed to that heat source	nongold
82	boiling is a kind of phase change	nongold
83	warm means medium heat energy; temperature	nongold
84	a pot is a kind of object	nongold
85	if heat is added to a substance then that substance absorbs that heat	nongold
86	boiling is when liquids are heated above their boiling point	nongold
87	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
88	hot means high in heat energy; temperature	nongold
89	transferring is similar to adding	nongold
90	if heat is conducted to an object then that object will become hot	nongold
91	conductivity is a measure of how easily electricity travels through a material	nongold
92	food is a kind of object	nongold
93	an insulator is a kind of material	nongold
94	evaporating is a kind of phase change	nongold
95	liquid is a kind of state of matter	nongold
96	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
97	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
98	a surface is a part of an object	nongold
99	a tool is a kind of object	nongold
