Question	Which measurement tool is used to find the volume of a small piece of granite?	question
Answer	graduated cylinder	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	a graduated cylinder is a kind of container	nongold
3	the volume of an object can be used to describe  the size of that object	nongold
4	instrument means tool	gold
5	to discover means to find	nongold
6	size; amount of space means volume	nongold
7	to detect means to find	nongold
8	instrument means device	nongold
9	device means tool	nongold
10	a tool is a kind of object	nongold
11	rock means stone	nongold
12	a piece of something is a kind of object	nongold
13	volume is a property of matter	nongold
14	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
15	a rock is a kind of object	gold
16	to identify means to discover	nongold
17	objects are made of materials; substances; matter	nongold
18	finding something means locating that something	nongold
19	an instrument is a piece of equipment	nongold
20	measuring requires reading a measurement	nongold
21	measuring is used for describing an object	nongold
22	a piece of an object is smaller in size than the whole object	nongold
23	to discover means to make a discovery	nongold
24	length is a part of size	nongold
25	property is similar to measurement	nongold
26	granite is a kind of nonmetal	nongold
27	determining often requires measuring; observing	nongold
28	density is a measure of mass of an object over volume; divided by volume	nongold
29	calculation means measurement	nongold
30	materials are made of matter	nongold
31	rock is a kind of material	nongold
32	search for means seek to find	nongold
33	a device is a kind of object	nongold
34	seeking something means trying to find; searching for something	nongold
35	milliliters is a kind of unit for measuring volume of liquids	nongold
36	a piece is a part of a whole	nongold
37	to measure means to calculate	nongold
38	an object is made of its parts	nongold
39	a rain gauge is a kind of graduated cylinder	nongold
40	size is a property of objects and includes ordered values of microscopic; tiny; small; medium; large	nongold
41	mass is a measure of the amount of matter in an object	nongold
42	a container is a kind of object	nongold
43	measuring is a kind of observing	nongold
44	marble is a kind of object; material	nongold
45	finding something requires sensing that something	nongold
46	a container contains objects; material; substances	nongold
47	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
48	length is a measure of distance from one end of an object to the other end of that object	nongold
49	Matter in the solid phase has definite volume	nongold
50	discovering something usually requires seeing that something	nongold
51	variability of shape; variability of volume is a kind of physical property	nongold
52	quantity means amount	nongold
53	to be found in means to be contained in	nongold
54	to be used for something means to be required by that something	nongold
55	a measuring cup is a kind of tool for measuring the volume of substances	nongold
56	Matter in the liquid phase has definite volume	nongold
57	larger means greater; higher; more; increase in size	nongold
58	an part of an object is smaller than the entire object	nongold
59	mass; weight is a property of matter; objects; materials	nongold
60	the shape  of an object can be discovered through feeling that object; touching that object	nongold
61	measuring sometimes requires  recording; learning an amount	nongold
62	a mineral is a kind of object	nongold
63	height is a property of the size of an object	nongold
64	a simple machine is a kind of tool	nongold
65	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
66	a surface is a part of an object	nongold
67	answering questions requires information	nongold
68	height is a measure of length from the top of an object to the bottom of an object	nongold
69	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
70	small is the opposite of large	nongold
71	granite is a kind of igneous rock	gold
72	matter; materials; substances are made of atoms; particles	nongold
73	Matter in the gas phase has variable volume	nongold
74	milliliters ( mL ) is a metric unit used for measuring volume generally used for values between 1.0 and 1000.0	nongold
75	a machine is a kind of  device	nongold
76	smaller means less; lower in size	nongold
77	a measurement is a kind of data	nongold
78	level is similar to amount; quantity	nongold
79	material means substance	nongold
80	phase means state	nongold
81	examining sometimes requires measuring	nongold
82	meters;centimeters;kilometers are used to describe distance; describe length	nongold
83	length is a property of the shape of an object	nongold
84	affected means changed	nongold
85	a rock is usually a solid	nongold
86	substances are made of matter	nongold
87	a measuring cup is used for measuring the volume of substances	nongold
88	classifying means grouping objects; materials by their properties	nongold
89	a machine is a kind of object	nongold
90	depth is a property of the shape of an object	nongold
91	the function of something is what that something  is used to do	nongold
92	the properties of something can be used to identify; used to describe that something	nongold
93	higher means greater; above in value; amount; number	nongold
94	a surface is a kind of object	nongold
95	investigating sometimes requires measuring	nongold
96	a mineral is a kind of solid; natural material	nongold
97	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
98	can be means able to be	nongold
99	a meter is a kind of unit for measuring distance; measuring length	nongold
