Question	Windy, cloudy, rainy, and cold are words that help describe	question
Answer	weather	answer
0	windy is a kind of weather	nongold
1	rainy is a kind of weather	nongold
2	cloudy is a kind of  weather	nongold
3	An example of stormy weather is rain	nongold
4	a warm front causes cloudy and rainy weather	nongold
5	rainy means often raining	gold
6	precipitation is a kind of weather	gold
7	cold is a kind of weather	nongold
8	cloudy means the presence  of clouds in the sky	gold
9	windy means high wind speeds	gold
10	a cloud is a kind of weather	gold
11	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
12	clear weather means sunny; not cloudy; not rainy weather	nongold
13	storm is a kind of weather; weather event	nongold
14	precipitation is a property of weather	nongold
15	sunny is a kind of weather	nongold
16	rain; snow falls	nongold
17	rain is a kind of precipitation	gold
18	climate is the usual kind of weather in a location over a period of time	nongold
19	the properties of something are used for describing that something	gold
20	rainfall means precipitation	nongold
21	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
22	temperature is a property of weather	gold
23	precipitation is when water falls from the sky	nongold
24	winter has cold temperatures;weather	nongold
25	cold means low in temperature	gold
26	helping means to assist in a change	nongold
27	dry means low in amount of water; wetness; moisture	nongold
28	cloudy is a kind of sky condition	nongold
29	a climate is synonymous with an environment	nongold
30	weather is a property of a environment	nongold
31	to be used  for something means to help to do that something	nongold
32	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
33	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
34	helping something has a  positive impact on that something	nongold
35	colder; cooler means lower in temperature	nongold
36	a cloudy day has little sunlight	nongold
37	to help; to benefit means to be of use	nongold
38	a weather report describes weather	nongold
39	weather  usually happens in troposphere	nongold
40	if weather is stormy then there is a greater chance of rain	nongold
41	precipitation is a kind of natural occurrence; cause	nongold
42	rainfall means the amount of precipitation	nongold
43	a description sometimes provides information	nongold
44	rain is a kind of water	nongold
45	a storm is a source of precipitation	nongold
46	to help means to aid	nongold
47	storms;rain cause bodies of water to increase amount of water they contain	nongold
48	something in a cold place becomes cold	nongold
49	cool means cold	nongold
50	weather changes from seasons to seasons	nongold
51	summer has hot temperatures; weather	nongold
52	weather is  a measure of the condition of the air in a place at a certain time	nongold
53	cloudy conditions cause a low-pressure weather system	nongold
54	sky conditions are a property of weather	nongold
55	cooler means colder	nongold
56	snowstorm is a kind of weather	nongold
57	clouds produce precipitation	nongold
58	a cloud is a kind of object	nongold
59	a storm is usually a source of strong winds	nongold
60	requiring is similar to needing help	nongold
61	helping means something can be done; completed more easily; better	nongold
62	wet is the opposite of dry	nongold
63	answering questions requires information	nongold
64	cold fronts cause thunderstorms as they pass by	nongold
65	to be helpful means to help to do	nongold
66	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
67	winter is when a hemisphere is tilted away from the sun	nongold
68	freezing means cold temperatures	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	high is similar to increase	nongold
71	wind means moving air	nongold
72	weather is a source of wind and water for the weathering process	nongold
73	the location of an object can be used to describe that object	nongold
74	spring has warm temperatures; weather	nongold
75	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
76	clouds produce rain	nongold
77	a type is synonymous with a kind	nongold
78	rainfall is the amount of rain an area receives	nongold
79	clouds are usually found in the sky	nongold
80	winter means environmental; outdoor temperature decreases	nongold
81	become cold means get cold	nongold
82	snow is a kind of precipitation	nongold
83	to lower means to decrease	nongold
84	low is similar to decrease	nongold
85	measuring is used for describing an object	nongold
86	form means kind	nongold
87	rain is a source of water	nongold
88	rainstorm means rain storm	nongold
89	to reduce means to decrease	nongold
90	heat has a great impact on weather	nongold
91	affected means changed	nongold
92	winter is a kind of season	nongold
93	can be means able to be	nongold
94	to add means to increase	nongold
95	information is used to describe something	nongold
96	to enable is to help	nongold
97	a thunderstorm is a kind of storm	nongold
98	precipitation is a kind of  natural process	nongold
99	air temperature is a kind of temperature	nongold
