Question	Which is a quick process that can form new land near an ocean?	question
Answer	volcano erupting	answer
0	new land can be formed by volcanoes erupting by lava cooling	gold
1	a volcanic eruption is a kind of quick process	gold
2	a volcano is a kind of landform	nongold
3	volcanoes are often found under oceans	gold
4	a volcano is a source of magma; lava	nongold
5	near means local	nongold
6	near means close	nongold
7	a volcano is a kind of geological event	nongold
8	volcanoes are most common along tectonic plate boundaries	nongold
9	an ocean is a kind of body of water	nongold
10	a volcanic eruption is a kind of change	nongold
11	an earthquake is a kind of natural; geological event	nongold
12	near; close is the opposite of far; away	nongold
13	a process is a kind of event	nongold
14	land is a kind of landform	nongold
15	land is a kind of environment	nongold
16	a volcano changes the environment around it by covering the environment in ash	nongold
17	the movement of tectonic plates causes volcanic eruptions	nongold
18	an erupting volcano releases sulfur gas and ash into the atmosphere	nongold
19	a cycle is a kind of process	nongold
20	volcanic eruptions early on Earth maybe caused a large proportion of the matter in hydrosphere	nongold
21	a body of water is a kind of environment	nongold
22	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
23	the formation of something is a kind of process	nongold
24	to cause the formation of means to form	nongold
25	new means different from the former one	nongold
26	to form means to create	nongold
27	sea means ocean	nongold
28	faster means an increase; higher in speed	nongold
29	fast means quickly	nongold
30	quickly means in a short period of time	nongold
31	form means kind	nongold
32	to make means to form	nongold
33	usually something can be found  near a source in greater concentrations	nongold
34	to be made of something means to be formed of that something	nongold
35	lava is a kind of matter	nongold
36	a part of a process means a stage in a process	nongold
37	change is a kind of process	nongold
38	oceans are located on Earth	nongold
39	a process usually requires all of the stages in that process	nongold
40	an environment means an area	nongold
41	high is similar to increase	nongold
42	an event is a kind of action	nongold
43	to increase is similar to to create	nongold
44	oceans contains most of  earth's water	nongold
45	events occur at a specific place; at a specific time; with a specific frequency	nongold
46	to happen means to occur	nongold
47	a landform is a kind of place	nongold
48	a landform is a kind of place	nongold
49	a step in a process means a stage in a process	nongold
50	a body of water is a source of water	nongold
51	an environment is a kind of place	nongold
52	an island is formed by lava being released; cooling on the ocean floor over time	nongold
53	breaking down is a kind of forming	nongold
54	buildup means increase	nongold
55	attracting something to a location causes that something  to be near that location	nongold
56	develop is similar to form	nongold
57	the formation of rock is a kind of process	nongold
58	an island is a kind of landform	nongold
59	if something causes a process then that something is required for that process	nongold
60	weathering is a kind of process	nongold
61	increase means more	nongold
62	if something required by something else is in a place then that something else may be in that place	nongold
63	a shore is the land found at the edge of a body of water	nongold
64	state means form	nongold
65	a landform is a kind of natural formation	nongold
66	intense means extreme	nongold
67	a body of water contains water	nongold
68	forming is a kind of action	nongold
69	can be means able to be	nongold
70	becoming is similar to forming	nongold
71	faster means increased rate	nongold
72	igneous is a kind of rock	nongold
73	to be formed by is similar to being produced by	nongold
74	a reaction is a kind of process	nongold
75	a motion is a kind of event; action	nongold
76	an increase is a kind of change	nongold
77	to give off means to be the source of	nongold
78	land is a kind of resource	nongold
79	to change into means to form	nongold
80	forming something is a kind of change	nongold
81	spreading is a kind of motion	nongold
82	magma is a kind of hot rock	nongold
83	to be formed by is to be the result of	nongold
84	toward is the opposite of away	nongold
85	water is a part of an environment	nongold
86	oceans cover 70% of the surface of the earth	nongold
87	to cause an event is similar to being involved in that event	nongold
88	lava is found above the ground	nongold
89	an ocean is a kind of habitat	nongold
90	a region is similar to an environment	nongold
91	if something returns to a place then that something increases in that place	nongold
92	land area means land mass	nongold
93	landscape is similar to land	nongold
94	answering questions requires information	nongold
95	a component means a part of	nongold
96	to lower means to decrease	nongold
97	a coast is where land meets the edge of a body of water	nongold
98	creating is similar to causing	nongold
99	a component of something means a part of that something	nongold
