Question	A mixture of powdered iron and sulfur is heated. What will be formed?	question
Answer	an alloy	answer
0	iron sulfide can be formed by heating a mixture of powdered iron and sulfur	gold
1	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
2	an alloy is made of two or more metals	nongold
3	an element is not an alloy	nongold
4	alloy is a kind of mixture	nongold
5	sulfur is a kind of element	gold
6	iron is a kind of metal	nongold
7	a mixture is a kind of substance	nongold
8	iron is a kind of solid	nongold
9	iron is a kind of element	gold
10	iron sulfide is made of iron and sulfur	gold
11	a solution is a kind of mixture	nongold
12	an mixture is formed by two or more substances combined together physically	nongold
13	a powder mix is a kind of substance	nongold
14	sulfur is a kind of mineral	nongold
15	chemical reactions cause new substances; different substances to form	nongold
16	metal is a kind of substance	nongold
17	steel is a kind of metal	nongold
18	to be made of something means to be formed of that something	nongold
19	metals are made of metal	nongold
20	a metal is a kind of element	nongold
21	form means kind	nongold
22	substances are made of elements	nongold
23	metal is a kind of material	nongold
24	state means form	nongold
25	an alkaline earth metal is a kind of element	nongold
26	combining; mixing two substances chemically causes chemical reactions	nongold
27	an element is a kind of material	nongold
28	brass is a kind of alloy	nongold
29	iron is a kind of mineral	nongold
30	heating means adding heat	nongold
31	a solution is formed by one substance being dissolved in another substance	nongold
32	an element is a kind of  substance	nongold
33	a metal is usually a solid at room temperature	nongold
34	a liquid is a kind of substance	nongold
35	products are formed; are produced; are created	nongold
36	to be formed by is similar to being produced by	nongold
37	substances have chemical properties	nongold
38	to make means to form	nongold
39	material means substance	nongold
40	zinc is a kind of metal	nongold
41	all elements are a kind of pure substance	nongold
42	bronze is a kind of alloy	nongold
43	to cause the formation of means to form	nongold
44	magnesium is a kind of alkaline earth metal	nongold
45	ferrous metals contain iron	nongold
46	sodium is a kind of metal	nongold
47	a compound is a kind of material	nongold
48	temperature is a measure of heat energy	nongold
49	the chemistry of something is similar to what that something is made of	nongold
50	rocks sometimes contain iron	nongold
51	a solution is made of one substance dissolved in another substance	nongold
52	heat means heat energy	nongold
53	a compound is made of two or more elements that have been chemically combined	gold
54	copper is a kind of element	nongold
55	carbon is a kind of element	nongold
56	if a substance is made of one element , then the substance is called an element	nongold
57	combustion is a kind of chemical change	nongold
58	chemical reactions cause chemical change	nongold
59	copper is a kind of metal	nongold
60	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
61	a compound is a kind of substance	nongold
62	An example of a chemical property is the elements a compound is made of	nongold
63	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
64	soft iron; iron is always ferromagnetic; magnetic	nongold
65	a solid is a kind of substance	nongold
66	formation of a state of matter is a kind of process	nongold
67	compound is a kind of chemical	nongold
68	if an object is made of a material then that object has the properties of that material	nongold
69	An example of a chemical property is how a material reacts chemically	nongold
70	materials are made of matter	nongold
71	tungsten is a kind of metal	nongold
72	hot means high in heat energy; temperature	nongold
73	argon is a kind of element	nongold
74	sodium is a kind of element	nongold
75	the chemical symbol for iron is Fe	nongold
76	a chemical compound is a kind of compound	nongold
77	a nonmetal is a kind of element	nongold
78	substances are made of matter	nongold
79	strong means high in strength	nongold
80	salt is a kind of solid	nongold
81	composed of means made of	nongold
82	a compound can be chemically separated into the elements that it is made of	nongold
83	both means two	nongold
84	to be used for something means to be required by that something	nongold
85	metal is a thermal; thermal energy conductor	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	to add means to increase	nongold
88	to form means to create	nongold
89	sulfur is yellow in color	nongold
90	manganese is a kind of metal	nongold
91	to change into means to form	nongold
92	brass is made of copper and zinc	nongold
93	make means produce	nongold
94	liquid is a kind of state of matter	nongold
95	conductivity is a property of a material; substance	nongold
96	emit means produce	nongold
97	material composition is a kind of chemical property	nongold
98	lead is a kind of element	nongold
99	adding heat to an object sometimes causes chemical reactions	nongold
