Question	Why do areas in the middle of a large continent generally have more extreme differences in temperature than areas near the coastline?	question
Answer	Oceans change temperature slowly and regulate the temperature of nearby land.	answer
0	oceans regulate the temperature of nearby land	gold
1	ocean temperatures change slowly	gold
2	gradual means slow; over time	nongold
3	near means local	nongold
4	a coastal area is a kind of environment	nongold
5	a coast is where land meets the edge of a body of water	gold
6	near means close	nongold
7	a coast is a coastal area	nongold
8	a continent is a kind of location	nongold
9	coastline means coast	gold
10	a coast is a kind of environment	nongold
11	heat means temperature increases	nongold
12	maritime means close to the ocean	nongold
13	near; close is the opposite of far; away	nongold
14	extreme means very high in value	nongold
15	cooling means temperature decreases	nongold
16	an ocean is a kind of body of water	gold
17	an environment means an area	nongold
18	a body of water is a kind of environment	nongold
19	an increase is a kind of change	nongold
20	a decrease is a kind of change	nongold
21	land is a kind of environment	nongold
22	an increase is the opposite of a decrease	gold
23	increase means more	gold
24	to reduce means to decrease	nongold
25	sea means ocean	nongold
26	temperature is a measure of heat energy	nongold
27	area is similar to location	nongold
28	a region is a kind of location	nongold
29	a shore is the land found at the edge of a body of water	nongold
30	a region is similar to an environment	nongold
31	to lower means to decrease	nongold
32	quickly means in a short period of time	nongold
33	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
34	to vary means to change	nongold
35	a body of water is a source of water	nongold
36	affected means changed	nongold
37	usually a body of water is located outside	nongold
38	a continent is a kind of large land mass	gold
39	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
40	to limit means to decrease	nongold
41	ocean currents change the world climate by transferring heat to and from various regions	nongold
42	attracting something to a location causes that something  to be near that location	nongold
43	to vary means to differ	nongold
44	a climate is synonymous with an environment	nongold
45	less is similar to decrease	nongold
46	adding heat means increasing temperature	nongold
47	the ocean transfers more heat than the continent	nongold
48	a source of something increases the amount of that something	nongold
49	high is similar to increase	nongold
50	as distance to an ocean decreases , the temperature will decrease	nongold
51	water is a part of an environment	nongold
52	being around something means surrounding  that something	nongold
53	worldwide temperature means atmospheric temperature	nongold
54	a hemisphere is a kind of place	nongold
55	global warming is when worldwide temperature increases	nongold
56	temperature is a property of weather	nongold
57	fast is the opposite of slow	nongold
58	temperature  rise means temperature increase	nongold
59	the ocean   stores more heat than the continent	nongold
60	generally means usually	nongold
61	rapidly means quickly	nongold
62	change is a kind of impact	nongold
63	colder; cooler means lower in temperature	nongold
64	air temperature is a kind of temperature	nongold
65	climate is the usual kind of weather in a location over a period of time	nongold
66	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
67	regulating is a kind of function	nongold
68	heat means heat energy	nongold
69	causing is a kind of affecting	nongold
70	variable means able to change	nongold
71	an environment is a kind of place	nongold
72	an aquatic animal is a kind of animal	nongold
73	as the cause of something decreases , that something will decrease	nongold
74	as temperature in the environment increases , the body temperature  of a reptile in that environment will increase	nongold
75	a body of water contains water	nongold
76	warm up means increase temperature	nongold
77	usually something can be found  near a source in greater concentrations	nongold
78	as temperature during the day increases , the temperature in an environment will increase	nongold
79	land is a kind of landform	nongold
80	Africa is a kind of continent	nongold
81	cold means low in temperature	nongold
82	a landform is a kind of place	nongold
83	a landform is a kind of place	nongold
84	reducing is a kind of change	nongold
85	larger is a kind of difference	nongold
86	the Arctic Ocean is a kind of ocean	nongold
87	less is the opposite of more	nongold
88	a change is a kind of difference	nongold
89	a body of water is a kind of land feature	nongold
90	far is the opposite of close	nongold
91	warmer means greater; higher in temperature; warmth	nongold
92	intense means extreme	nongold
93	to impact means to affect	nongold
94	to change means to cause a change	nongold
95	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
96	oceans contains most of  earth's water	nongold
97	oceans cover 70% of the surface of the earth	nongold
98	bodies of water are located on Earth's surface	nongold
99	aquatic animals; plants live in bodies of water	nongold
