Question	A green tree frog lives in a forest. How does the frog's green color help it to survive?	question
Answer	By making the frog hard to see when sitting on leaves	answer
0	a tree frog is a kind of animal	gold
1	a frog is a kind of animal	nongold
2	a frog is a kind of aquatic animal	nongold
3	a forest environment usually is green in color	gold
4	a frog is a kind of amphibian	nongold
5	a leaf is often green in color	gold
6	green is a kind of color	gold
7	a frog is an adult form of a frog	nongold
8	a forest is a kind of environment	gold
9	a leaf is a kind of object	nongold
10	a tree is a kind of living thing	nongold
11	coloration means a thing's color	gold
12	a leaf is a part of a  green plant	gold
13	seeing small things is difficult	nongold
14	helping something has a  positive impact on that something	gold
15	a forest contains  lots of plants; trees	gold
16	the color of an environment means the color of the things that environment contains	nongold
17	a leaf is a part of a tree	nongold
18	harming something has a  negative impact on; effect on that something	nongold
19	a tree is a kind of plant	nongold
20	hard is the opposite of easy	nongold
21	an increase is the opposite of a decrease	nongold
22	seeing requires light	nongold
23	difficulty seeing means visibility decreases	nongold
24	coloration is a kind of adaptation for hiding;camouflage	gold
25	camouflage is used for protection; hiding by prey; animals against predators; from predators	nongold
26	some animals live in forests	nongold
27	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
28	sitting on something provides warmth to that something	nongold
29	to be used  for something means to help to do that something	nongold
30	an animal is a kind of living thing	nongold
31	a tree is a kind of habitat	nongold
32	a leaf is a kind of plant	nongold
33	harming an environment causes harm to the living things; to the organisms in that environment	nongold
34	an animal; living thing requires nutrients for survival	nongold
35	a living thing is a kind of object	nongold
36	a plant is a kind of living thing	nongold
37	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
38	color is a property of  an object; a material	nongold
39	survive means live	nongold
40	survive means live	nongold
41	a frog eats insects	nongold
42	a plant is a kind of organism	nongold
43	dying is the opposite of living; surviving	nongold
44	changes in an environment cause animals; plants to adapt to survive	nongold
45	survival means to survive	nongold
46	nonliving; non-living; die is the opposite of living; alive; live	nongold
47	an organism is a living thing	nongold
48	a leaf performs photosynthesis; gas exchange	nongold
49	a plant requires a habitat for survival	nongold
50	killing means harming something causing death	nongold
51	low is similar to decrease	nongold
52	death means to die	nongold
53	plants are a part of the environment	nongold
54	an environment means an area	nongold
55	to cause means to make	nongold
56	requiring is similar to needing help	nongold
57	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
58	an animal requires a habitat for survival	nongold
59	if a living thing requires something then that something has a positive impact on that living thing	nongold
60	life means living things	nongold
61	negative impact is the opposite of positive impact	nongold
62	sight means to see	nongold
63	the  mature form of a frog is called a frog	nongold
64	hiding is a kind of protection against predators; from predators	nongold
65	organisms are a part of an environment	nongold
66	harming an animal species causes that animal's population to decrease	nongold
67	a forest is a kind of ecosystem	nongold
68	An example of an environment is a forest; a river; a grassland; an ocean	nongold
69	a leaf is small in size	nongold
70	harming an animal species has a  negative impact on the population size of that species	nongold
71	high is similar to increase	nongold
72	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
73	forest is synonymous with wooded area	nongold
74	the immature form of a frog is called a tadpole	nongold
75	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
76	an animal is a kind of organism	nongold
77	to lower means to decrease	nongold
78	a frog is the mature form of a; adult form of a tadpole	nongold
79	an part of an object is smaller than the entire object	nongold
80	to reduce means to decrease	nongold
81	harming an organism can cause that organism to die	nongold
82	animals; living things live and feed in their habitats; near their habitats	nongold
83	killing means changing a living thing from alive to dead by harming	nongold
84	a plant; living thing requires food for survival	nongold
85	some tree frogs live in the tropical rain forest	nongold
86	to see means to look	nongold
87	organisms; living things live in their habitat; their home	nongold
88	an animal is a member of an animal species	nongold
89	camouflage is a kind of protection against predators; from predators; against consumers	nongold
90	not looking means not seeing	nongold
91	if a living thing dies then that living thing is dead	nongold
92	to slow; to slow down decreases speed	nongold
93	as the ability  to do something decreases , doing that something will be harder	gold
94	hiding means visibility; ability to be seen decreases for camouflage	gold
95	a plant is a member of a plant species	nongold
96	a tadpole is the immature form of a frog	nongold
97	habitat is similar to environment	nongold
98	a surface is a part of an object	nongold
99	better senses have a positive impact on an animal's survival; health; ability to reproduce	nongold
