Question	At night, the Moon is the brightest object in the sky. Where does the Moon's light come from?	question
Answer	The Moon reflects light from the Sun.	answer
0	where something  comes from is a source of that something	gold
1	the sun is a source of light; light energy called sunlight	gold
2	the Sun is a kind of star	nongold
3	a moon is a kind of celestial object; body	nongold
4	the moon reflects sunlight towards the Earth	gold
5	sunlight is a kind of light	nongold
6	reflection is when light is reflected from one object; one place to  another object; another place	nongold
7	if something comes from something else then that something else is a source of that something	nongold
8	the sun is the source of solar energy called sunlight	nongold
9	the Moon is Earth's moon	nongold
10	an object; material; substance comes from that object or material's source	nongold
11	the sun is not a star in the night sky	nongold
12	a star is a kind of celestial object; celestial body	nongold
13	to bounce back means to reflect	nongold
14	planets reflect the light of the sun	nongold
15	the moon is the celestial object that is closest to the  Earth	nongold
16	to reflect light means to scatter light	nongold
17	a living thing is a kind of object	nongold
18	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
19	if it is night then the sun has set	nongold
20	the sun is a source of radiation; heat called sunlight	nongold
21	the stars in the night sky are very far away from the Earth	nongold
22	bright means bright; light in color	nongold
23	bright means a lot of light	nongold
24	darkness occurs at night	nongold
25	a source of something emits; produces; generates; provides that something	nongold
26	an animal is a kind of living thing	nongold
27	a star produces light and heat	nongold
28	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
29	reflecting light; sound is the opposite of absorbing light; sound	nongold
30	a planet is a kind of celestial object; body	nongold
31	to shine means to emit light	nongold
32	night is low in light; in visibility	nongold
33	the Sun is the  star that is closest to Earth	nongold
34	visible light is a kind of  light	nongold
35	light reflecting off of an object causes that object to be visible to the observer	nongold
36	sunlight means solar energy	nongold
37	dark is the opposite of light	nongold
38	if something transfers something else then that something is a source of something else	nongold
39	sunlight is a kind of solar energy	nongold
40	astronomy is the study of celestial (objects, bodies)	nongold
41	light means light energy	nongold
42	reflection is a property of light	nongold
43	Earth is a kind of planet	nongold
44	the sun rising and setting causes cycles of day and night	nongold
45	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
46	the night time is part of one day	nongold
47	brighter means higher; greater in brightness	nongold
48	a human is a kind of animal	nongold
49	the Moon is closer to the Earth than the Sun	nongold
50	a star is a source of light; light energy through nuclear reactions	nongold
51	daytime means day	nongold
52	UV light is a kind of light	nongold
53	nighttime means night	nongold
54	the sun rising; setting occurs once per day	nongold
55	can be means able to be	nongold
56	when the Sun is located directly overhead , it is located at the highest point in the sky	nongold
57	the sunlight occurs during the day	nongold
58	objects are made of materials; substances; matter	nongold
59	all the time means at day and at night	nongold
60	the day time is part of one day	nongold
61	the sun is a kind of yellow dwarf	nongold
62	if an object is in the light then that object is blocking the light	nongold
63	shiny things; objects reflect light	nongold
64	to be in the sun means to be in the sunlight	nongold
65	to receive sunlight means to absorb sunlight	nongold
66	as a source of light becomes closer , that source will appear brighter	nongold
67	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
68	refracting sunlight; light causes sunlight; light to split into different colors	nongold
69	the Earth revolves around the sun	nongold
70	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
71	the moon orbits the Earth	nongold
72	an part of an object is smaller than the entire object	nongold
73	a white object reflects all visible light	nongold
74	a full moon is a kind of phase of the moon	nongold
75	as the light reflected off of an object increases , the object will appear to be brighter	nongold
76	the moon is less bright than the sun	nongold
77	light is made of photons	nongold
78	the sun sets in the west	nongold
79	solar energy is a kind of light	nongold
80	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
81	an event is a kind of action	nongold
82	a landform is a kind of object	nongold
83	the Sun has average brightness compared to other stars	nongold
84	receiving sunlight  is synonymous with absorbing sunlight	nongold
85	emit means produce	nongold
86	cycles of day and night occur once per day	nongold
87	an object is made of its parts	nongold
88	light is a kind of wave	nongold
89	stars make their own light	nongold
90	intensity of sunlight is similar to amount of sunlight	nongold
91	if an object reflects more light then that object is more easily seen	nongold
92	absorbing sunlight causes objects to heat	nongold
93	if an object reflects light toward the eye then that object can be seen	nongold
94	if something is outside during the day then that something will receive sunlight	nongold
95	being in the sun is synonymous with being in the sunlight	nongold
96	sunlight produces heat	nongold
97	dim means a small amount of light	nongold
98	the moon rising occurs once per day	nongold
99	the sun setting is a kind of event	nongold
