Question	Scientists wonder how the Egyptian pyramids were built. They think that the huge blocks of stone may have been put into place by pushing them up a sloping pathway. The pathway is which type of simple machine?	question
Answer	inclined plane	answer
0	an inclined plane is a kind of simple machine	gold
1	inclined means sloping	gold
2	an inclined plane is used for raising; lowering objects	gold
3	an inclined plane increases the distance over which an object travels	nongold
4	a complex machine is made of more than one simple machine	nongold
5	a simple machine is a kind of tool	nongold
6	a pathway is a kind of plane	gold
7	a type is synonymous with a kind	gold
8	a machine is a kind of object	nongold
9	a simple machine requires mechanical energy to function	nongold
10	path is a kind of pathway	nongold
11	up means upward	nongold
12	a machine is a kind of  device	nongold
13	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
14	a scientist is a kind of human	nongold
15	to travel up means to rise	nongold
16	pushing something can cause that something  to move	nongold
17	pushing is a kind of motion	gold
18	a block is a kind of object	gold
19	to lift means to move up	nongold
20	downward means down	nongold
21	a hill is a kind of incline	nongold
22	scientists make observations	nongold
23	massive means giant	nongold
24	a kind of something is an example of that something	nongold
25	upward is the opposite of downward	nongold
26	the bottom is the lowest part of something	nongold
27	a lever is a kind of simple machine	nongold
28	construction means building	nongold
29	rock means stone	nongold
30	form means kind	nongold
31	an inclined plane decreases the force required to move an object to a different altitude	nongold
32	a type of something is a kind of property of that something	nongold
33	massive is similar to large	nongold
34	a rock is a kind of object	nongold
35	a tool is a kind of object	nongold
36	pulling is a kind of motion	nongold
37	upward is a kind of direction	nongold
38	a wheel and axle is a kind of simple machine	nongold
39	downward is a kind of direction	nongold
40	down is a kind of direction	nongold
41	rising means moving upward	nongold
42	pushing an object requires force	nongold
43	objects are made of materials; substances; matter	nongold
44	motion; movement means moving; to move	nongold
45	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
46	massive means great in mass	nongold
47	to make means to build	nongold
48	an object is made of its parts	nongold
49	a motion is a kind of event; action	nongold
50	a hill is a kind of place	nongold
51	the function of something is what that something  is used to do	nongold
52	the ground is at the bottom of an area	nongold
53	place means space	nongold
54	if something is made of something else then that something can be broken down into that something else	nongold
55	low means down	nongold
56	below means lower down	nongold
57	to ascend means to rise	nongold
58	to create means to make	nongold
59	an animal is a kind of living thing	nongold
60	a living thing is a kind of object	nongold
61	distance moved; distance travelled is a measure of how far an object moves	nongold
62	can be means able to be	nongold
63	a human is a kind of animal	nongold
64	Earth is made of rock	nongold
65	a landform is a kind of place	nongold
66	a landform is a kind of place	nongold
67	rock is a kind of material	nongold
68	travel means to move	nongold
69	to make means to form	nongold
70	highest means largest; greatest; most in height	nongold
71	a pulley is a kind of simple machine	nongold
72	a rock is usually a solid	nongold
73	a ramp is a kind of object	nongold
74	Earth's surface is made of rock	nongold
75	to be made of means to consist of	nongold
76	a landform is a kind of object	nongold
77	Egypt is located in the southern hemisphere	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	downhill means down	nongold
80	push is a kind of force; application of force	nongold
81	to produce means to create	nongold
82	at the top of a place means at the highest point of the place	nongold
83	rising is a kind of motion	nongold
84	composed of means made of	nongold
85	greatest means largest; highest; most amount of something	nongold
86	a vehicle is a kind of tool for travel; transport	nongold
87	a process is a kind of event	nongold
88	the Earth rotates on its axis	nongold
89	a screw is a kind of simple machine	nongold
90	the ground is part of the Earth	nongold
91	walking is a kind of motion	nongold
92	to form means to create	nongold
93	an increase is a kind of change	nongold
94	a road is a kind of object	nongold
95	lowering is a kind of motion	gold
96	to be made of something means to be formed of that something	nongold
97	an event is a kind of action	nongold
98	sliding is a kind of motion	nongold
99	a surface is a part of an object	nongold
