Question	A rabbit population has increased noticeably in the past ten years. Which of the following is a reasonable hypothesis for this population growth?	question
Answer	The rabbit's main predator has been eliminated by human development.	answer
0	a rabbit is a kind of prey	nongold
1	a rabbit is a kind of animal	nongold
2	a rabbit is a kind of mammal	nongold
3	a rabbit is a kind of herbivore	nongold
4	eliminate means remove	nongold
5	a predator is a kind of animal	nongold
6	prey  is a kind of animal	nongold
7	as  population of prey decreases , the population of predators will  decrease	nongold
8	as population of predators decreases , the population of prey will increase in an environment	gold
9	as population of predators increases , the population of prey will decrease in an environment	nongold
10	a human is a kind of animal	nongold
11	if something is eliminated then the amount of that something decreases	gold
12	a predator eats other animals for food	nongold
13	killing means harming something causing death	nongold
14	an animal is a kind of living thing	nongold
15	an animal is a kind of organism	nongold
16	remove means decrease	nongold
17	predators eat prey	nongold
18	rabbits eat plants	nongold
19	a predator usually kills its prey to eat it	nongold
20	an animal; living thing requires nutrients for survival	nongold
21	an organism is a living thing	nongold
22	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
23	a mammal is a kind of animal	nongold
24	protecting something means preventing harm to that something	nongold
25	prey is a kind of food for predators	gold
26	a human is a kind of mammal	nongold
27	humans changing an environment causes animal populations to decrease in that environment	nongold
28	human is a kind of organism	nongold
29	to prey on an animal means to eat that animal	nongold
30	a theory is more accepted; tested than a hypothesis	nongold
31	humans changing an environment sometimes causes that environment to be destroyed	nongold
32	most predators live in; live near the same environment as their prey	nongold
33	organisms are a part of an environment	nongold
34	an increase is the opposite of a decrease	nongold
35	if something has a positive impact on an organism's growth then that something increases the population of that organism	nongold
36	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
37	harming an animal species causes that animal's population to decrease	nongold
38	killing a living thing decreases the number; population size of that living thing	nongold
39	reproduction increases the number; population of a living thing	nongold
40	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
41	killing means changing a living thing from alive to dead by harming	nongold
42	a hypothesis is a kind of scientific term	nongold
43	if a habitat is removed then that habitat is destroyed	nongold
44	growth is a kind of change	nongold
45	a predator is a kind of enemy to its prey	nongold
46	an increase is a kind of change	nongold
47	if a living thing requires something then that something has a positive impact on that living thing	nongold
48	avoiding predators has a positive impact on prey's; an organism's survival; health; ability to reproduce	nongold
49	negative impact is the opposite of positive impact	nongold
50	if an animal's; organisms habitat no longer exists; ceases to exist then that animal; that organism will die	nongold
51	destruction means loss	nongold
52	get rid of means eliminate; remove	nongold
53	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
54	a plant; living thing requires food for survival	nongold
55	destroying something decreases the amount of that something	nongold
56	if a new predator begins eating prey then the population of that prey will decrease	nongold
57	if an organism eats something then that something is a source of frood to that organism	nongold
58	population increase means more survive	nongold
59	death means to die	nongold
60	increase means more	nongold
61	An example of growth is an organism developing a new part	nongold
62	high is similar to increase	nongold
63	developing means growing	nongold
64	natural selection occurs over a period of 1 to many generations; centuries which is considered a  very long time to a human	nongold
65	eating an animal; a plant means killing that animal; that plant	nongold
66	a decrease is a kind of change	nongold
67	destroying something causes harm to that something	nongold
68	an animal requires a habitat for survival	nongold
69	a living thing is a kind of object	nongold
70	removing an inhibitor of a process causes that process	nongold
71	years are a kind of unit for measuring time	nongold
72	harming something has a  negative impact on; effect on that something	nongold
73	to wipe out a population means to decrease that population	nongold
74	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
75	become prey means get eaten	nongold
76	growth is a kind of process	nongold
77	a plant is a kind of organism	nongold
78	positive impacts on a species will increase populations of a species	nongold
79	negative impacts on a species will decrease populations of a species	nongold
80	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
81	an environment is similar to an ecosystem	nongold
82	reproduction is a kind of process	nongold
83	disappearing is similar to decreasing	nongold
84	something being destroyed means that something no longer exists	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	survive means live	nongold
87	survive means live	nongold
88	evolution is a kind of process	nongold
89	developing means creating; inventing	nongold
90	a kind of something is an example of that something	nongold
91	as the rate of  reproduction decreases , the population will decrease	nongold
92	if an organism dies then the population of that organism will decrease	nongold
93	destroying animal habitats changes an ecosystem	nongold
94	hypothesis means scientific guess about the cause and effect of an event	nongold
95	a hare is similar to a rabbit	nongold
96	if a living thing is destroyed then the resources used by that living thing will become available	nongold
97	impact means effect	nongold
98	helping something has a  positive impact on that something	nongold
99	an event is a kind of action	nongold
