Question	Which of the following would be more likely to pollute a river?	question
Answer	spreading fertilizer near the river	answer
0	fertilizers have a negative impact on the environment; natural resources	gold
1	near means local	nongold
2	fertilizers are a source of pollution	gold
3	runoff contains chemicals; fertilizer; pollutants; pesticides from cropland	nongold
4	near means close	nongold
5	water is when humans pollute the environment with pollutants	gold
6	polluting means something harmful; something poisonous is added in an environment causes harm in the environment	gold
7	polluting means something poisonous is added to an environment	nongold
8	pollution is a source of pollutants	nongold
9	contaminated means polluted	nongold
10	polluting gasses are a kind of pollution	nongold
11	a pollutant is a kind of substance	nongold
12	fertilizer contains chemicals	nongold
13	a river is a kind of flowing body of water	gold
14	pollutants have a negative impact on the environment; air quality	nongold
15	fertilizers contain nitrogen	nongold
16	living things in a polluted environment often contain pollutants	nongold
17	a source of something emits; produces; generates; provides that something	nongold
18	more likely means increased likelihood	nongold
19	near; close is the opposite of far; away	nongold
20	often is similar to likely	nongold
21	harming something has a  negative impact on; effect on that something	gold
22	to cause an event means to make that event more likely	nongold
23	polluting is a kind of activity	nongold
24	a stream is a kind of body of water	nongold
25	usually something can be found  near a source in greater concentrations	nongold
26	increase means more	nongold
27	pesticides can cause pollution	nongold
28	chemicals can be pollutants	nongold
29	spreading is a kind of motion	nongold
30	to reduce means to decrease	nongold
31	high is similar to increase	nongold
32	a riverbed is a part of a river	nongold
33	an increase is the opposite of a decrease	nongold
34	attracting something to a location causes that something  to be near that location	nongold
35	a negative impact is a kind of consequence; risk	nongold
36	fertilizers have a positive impact on algae growth	nongold
37	negative impact is the opposite of positive impact	nongold
38	less is similar to decrease	nongold
39	material means substance	nongold
40	oil is a kind of pollutant	nongold
41	to be in danger means to be around; to be near something dangerous	nongold
42	an animal is a kind of living thing	nongold
43	humans cause pollution	nongold
44	an event is a kind of action	nongold
45	the Colorado River is a kind of river	nongold
46	a body of water is a kind of environment	gold
47	to be used for something means to be required by that something	nongold
48	impact means effect	nongold
49	a source of something increases the amount of that something	nongold
50	to depend on; to rely on; to need means to require	nongold
51	to lower means to decrease	nongold
52	answering questions requires information	nongold
53	killing means harming something causing death	nongold
54	a plant is a kind of living thing	nongold
55	decreasing something positive has a negative impact on a thing	nongold
56	less means a reduced amount	nongold
57	cleaner means less; lower in pollutants	nongold
58	something harmful can cause harm	nongold
59	decreasing something negative has a positive impact on a thing	nongold
60	eating something that contains pollutants has a negative impact on an organism's survival; health; ability to reproduce	nongold
61	death means to die	nongold
62	an environment means an area	nongold
63	an animal is a kind of organism	nongold
64	to add means to increase	nongold
65	if something is a raw material in a process then that something is required for that process	nongold
66	if something emits something else then that something increases the amount of that something else	nongold
67	low is similar to decrease	nongold
68	damage means harm	nongold
69	a plant is a kind of organism	nongold
70	less is the opposite of more	nongold
71	emit means produce	nongold
72	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
73	an organism is a living thing	nongold
74	adverse effect means negative impact	nongold
75	an increase is a kind of change	nongold
76	to impact means to affect	nongold
77	inhibitor means something that prevents something from happening	nongold
78	if something causes a process then that something is required for that process	nongold
79	pollution has a negative impact on the environment; air quality; water quality; society	nongold
80	preventing something decreases the amount of that something	nongold
81	chance means likelihood	nongold
82	water is a part of an environment	nongold
83	a human is a kind of animal	nongold
84	to prevent the occurence of an event means to decrease the occurence of the event	nongold
85	a concern; a problem is a possible negative impact	nongold
86	an organism is a source of organic matter	nongold
87	protecting something means preventing harm to that something	nongold
88	a decrease is a kind of change	nongold
89	too much is similar to increase	nongold
90	can be means able to be	nongold
91	if something is required for a process then that something positively impacts that process	nongold
92	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
93	a living thing is a kind of object	nongold
94	if something causes an increase in something else then that something produces that something else	nongold
95	solution is similar to a positive impact	nongold
96	a component means a part of	nongold
97	a type is synonymous with a kind	nongold
98	flowing is a kind of action	nongold
99	toxic means poisonous	nongold
