Question	Which of these occurs due to the rotation of Earth?	question
Answer	day and night	answer
0	a planet rotating causes cycles of day and night on that planet	gold
1	rotation is a kind of motion	nongold
2	the Earth rotates on its axis	nongold
3	a rotation is a kind of movement	nongold
4	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
5	cycles of day and night occur once per day	nongold
6	due to means caused by	gold
7	rotate means turn	nongold
8	rotating is similar to moving	nongold
9	Earth rotating on its axis occurs once per day	nongold
10	rotation  is  the  circular movement of an object around a center; axis	nongold
11	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
12	some celestial bodies rotate in space	nongold
13	the Earth revolves around the sun	nongold
14	the moon rotates on its axis	nongold
15	to rotate means to complete a rotation	nongold
16	events occur at a specific place; at a specific time; with a specific frequency	nongold
17	revolving is a kind of motion	nongold
18	a cycle happens; occurs repeatedly	nongold
19	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
20	Earth is a kind of planet	gold
21	to happen means to occur	nongold
22	days are a kind of unit for measuring time	nongold
23	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
24	Earth's rotation causes time zones	nongold
25	rotate is similar to revolve	nongold
26	spin means rotate	nongold
27	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
28	the sun rising and setting causes cycles of day and night	nongold
29	a rotation of the moon takes 1; one month	nongold
30	something that happens is a kind of event	nongold
31	movements of celestial bodies are a kind of event	nongold
32	the day time is part of one day	nongold
33	the sun rising; setting occurs once per day	nongold
34	Earth's revolution is a kind of cycle	nongold
35	Earth's angle of tilt causes the length of day and night to vary	nongold
36	astronomy is the study of celestial (objects, bodies)	nongold
37	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
38	the night time is part of one day	nongold
39	a revolution occurs when something revolves around something else	nongold
40	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
41	hours are a kind of unit for measuring time	nongold
42	motion; movement means moving; to move	nongold
43	a planet is a kind of celestial object; body	nongold
44	a motion is a kind of event; action	nongold
45	all the time means at day and at night	nongold
46	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
47	daytime means day	nongold
48	a change is a kind of event	nongold
49	motion is when moves an object; something to a direction	nongold
50	event is similar to occurrence	nongold
51	a process is a kind of event	nongold
52	revolving  around something means orbiting that something	nongold
53	a moon is a kind of celestial object; body	nongold
54	daily means every day; once per day	nongold
55	shift means move	nongold
56	Earth's tilt on its rotating axis causes seasons to change; to occur	nongold
57	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
58	high is similar to increase	nongold
59	the moon orbits the Earth	nongold
60	a hemisphere is a part of Earth	nongold
61	an orbit is a kind of regular path	nongold
62	hours ( hr ) are a  metric unit used for measuring time generally used for values between 0.25 and 72.0	nongold
63	to add means to increase	nongold
64	the sun setting is a kind of event	nongold
65	the afternoon is  a part of the day	nongold
66	form means kind	nongold
67	approximately means about	nongold
68	noon is a kind of time of day	nongold
69	1 day is equal to 24 hours	nongold
70	each of the moon's phases occurs once per month	nongold
71	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
72	turning is a kind of motion	nongold
73	affected means changed	nongold
74	Earth is a planet that is closer to the  Sun than Jupiter	nongold
75	moving in a circle means moving in a circular motion	nongold
76	a cycle is a kind of process	nongold
77	a star is a kind of celestial object; celestial body	nongold
78	the Moon is Earth's moon	nongold
79	variable means able to change	nongold
80	to pass means to occur	nongold
81	afternoon is a part of day time	nongold
82	the sunlight occurs during the day	nongold
83	can be means able to be	nongold
84	rolling is a kind of motion	nongold
85	once per means every	nongold
86	causing means influencing	nongold
87	revolving is a kind of action	nongold
88	the moon rising occurs once per day	nongold
89	take place means happen	nongold
90	Tuesday is a kind of  time	nongold
91	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
92	vibration is a kind of motion	nongold
93	a type is synonymous with a kind	nongold
94	astronomy is a kind of branch of science	nongold
95	to cause an event is similar to being involved in that event	nongold
96	the sun  is the source of energy for physical cycles on Earth	nongold
97	a unit for measuring time is a kind of time interval	nongold
98	to turn means to change	nongold
99	phase means state	nongold
