Question	Which element is most likely to form an ion with a negative 2 charge?	question
Answer	oxygen	answer
0	oxygen ions usually have a negative 2 charges	gold
1	an ion with positive charge is formed by atom  losing electrons	nongold
2	an ion with negative charge is formed by atom  gaining electrons	gold
3	an electron has a negative charge	nongold
4	an ion has a net positive; net negative charge	nongold
5	an oxygen ion is formed by gaining 2 electrons	gold
6	if a neutral atom loses an electron then an atom with a negative charge will be formed	nongold
7	oxygen  is a kind of element	gold
8	to be made of something means to be formed of that something	nongold
9	hydrogen is a kind of element	nongold
10	an  element is a kind of atom	nongold
11	if an object has a negative net charge then that object contains more electrons than protons	nongold
12	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
13	a nonmetal is a kind of element	nongold
14	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
15	an alkaline earth metal is a kind of element	nongold
16	an element is a kind of  substance	nongold
17	an atom is the smallest particle; unit that has the properties of an element	nongold
18	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
19	an atom is made of protons; neutrons; electrons	nongold
20	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
21	an electron is a kind of charged particle	nongold
22	chlorine is a kind of element	nongold
23	all elements are a kind of pure substance	nongold
24	if a substance is made of one element , then the substance is called an element	nongold
25	the basic unit of matter is atom	nongold
26	substances are made of elements	nongold
27	elements on the left side of the periodic table tends to form ions by losing electrons	nongold
28	form means kind	nongold
29	to change into means to form	nongold
30	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
31	state means form	nongold
32	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
33	to make means to form	nongold
34	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
35	nitrogen is a kind of element	nongold
36	alkaline earth metal elements have two valence electrons	nongold
37	nonmetal means nonmetals	nongold
38	a compound can be chemically separated into the elements that it is made of	nongold
39	the melting point of oxygen is -361.8F; -218.8C; 54.4K	nongold
40	Beryllium is located in alkaline earth metal family; group 2 on the periodic table	nongold
41	hydrogen contains chemical energy	nongold
42	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
43	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
44	to cause the formation of means to form	nongold
45	oxygen is a kind of gas at room temperature	nongold
46	can be means able to be	nongold
47	an element is made of one kind of atoms	gold
48	hydrogen chloride is made of hydrogen and chlorine	nongold
49	An example of a chemical property is the elements a compound is made of	nongold
50	a compound is made of two or more elements that have been chemically combined	nongold
51	a pure substance is made of only one kind of atom; molecule	nongold
52	electron configuration is a property of elements	nongold
53	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
54	nonmetal means not metal	nongold
55	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
56	O2 means oxygen	nongold
57	chromium is a kind of metal	nongold
58	forming is similar to converting	nongold
59	water is made of hydrogen and oxygen	nongold
60	a metal is a kind of element	nongold
61	an atom is a kind of object	nongold
62	helium is a kind of element	nongold
63	oxygen is a part of many organic molecules	nongold
64	composed of means made of	nongold
65	hydrogen is the most common element in stars	nongold
66	alkaline earth metals are highly reactive	nongold
67	to form means to create	nongold
68	made up of means contains; made of	nongold
69	an element is a kind of material	nongold
70	elements in the same group on the Periodic Table of Elements have similar chemical reactivity	nongold
71	often is similar to likely	nongold
72	hydrogen is located on the left side; first column on the periodic table	nongold
73	compound is a kind of chemical	nongold
74	chemical reactions cause new substances; different substances to form	nongold
75	an event is a kind of action	nongold
76	a halogen is a kind of element	nongold
77	carbon is a kind of element	nongold
78	good means positive	nongold
79	to generate means to form	nongold
80	chemical compounds contain chemical bonds between atoms; between elements	nongold
81	substances are made of matter	nongold
82	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
83	magnesium is a kind of alkaline earth metal	nongold
84	oxygen gas is made of only  oxygen element	nongold
85	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
86	atom cannot be divided into smaller substances	nongold
87	a source of something emits; produces; generates; provides that something	nongold
88	hydrogen is a kind of gas at room temperature	nongold
89	a fire requires  oxygen to burn	nongold
90	the alkali metals have one valence electron	nongold
91	elements in oxygen family have six; 6 valence electrons	nongold
92	products are formed; are produced; are created	nongold
93	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
94	reactive is the opposite of unreactive	nongold
95	a compound is a kind of substance	nongold
96	if something is dissolved , then that something is the solute	nongold
97	a chemical compound is a kind of compound	nongold
98	best means most positive	nongold
99	forming something is a kind of change	nongold
