Question	A teacher places an item in a box. The item takes the shape of the entire container. This item is most likely	question
Answer	air.	answer
0	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	gold
1	a box is a kind of object	nongold
2	shape is a property of an object	nongold
3	shape of the parts of something is a property of that something	nongold
4	structure is similar to shape	nongold
5	air is a kind of gas	gold
6	Matter in the gas phase has variable shape	gold
7	shape is a kind of physical property	nongold
8	a container is a kind of object	nongold
9	shape is a property of the appearance of an object	nongold
10	matter with variable shape changes shape in different container	nongold
11	air is a kind of matter	nongold
12	the air is a kind of substance	nongold
13	gas is a kind of object	nongold
14	an object is an item	nongold
15	atmosphere means  air	nongold
16	Matter in the liquid phase has variable shape	nongold
17	a container contains objects; material; substances	nongold
18	gas is a kind of substance	nongold
19	contents means the substance in a container	nongold
20	if something is definite in shape then that something will not change shape easily	nongold
21	Matter in the solid phase has definite shape	nongold
22	a human is a kind of animal	nongold
23	vapor is synonymous with gas	nongold
24	often is similar to likely	nongold
25	gas is a kind of state of matter	nongold
26	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
27	air is a kind of medium for light	nongold
28	the atmosphere contains gases; liquids; solids	nongold
29	an object is made of its parts	nongold
30	circular means having the shape of a circle	nongold
31	an animal is a kind of living thing	nongold
32	a source of something emits; produces; generates; provides that something	nongold
33	air cannot pass through plastic	nongold
34	a living thing is a kind of object	nongold
35	objects are made of materials; substances; matter	nongold
36	if a container contains something then that container touches that something	nongold
37	different containers usually are different in shape	nongold
38	a room is a kind of container	nongold
39	an animal requires air for survival	nongold
40	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
41	to breathe in means to absorb air	nongold
42	gas is a kind of material	nongold
43	air is a vehicle for sound	nongold
44	air is a part of the environment	nongold
45	the shape  of an object can be discovered through feeling that object; touching that object	nongold
46	to place in is similar to to move to	nongold
47	person is synonymous with human	nongold
48	a circle is a kind of shape	nongold
49	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
50	oxygen is a kind of gas at room temperature	nongold
51	breaking down an object changes that object's shape and that object's mass	nongold
52	an part of an object is smaller than the entire object	nongold
53	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
54	air is usually a thermal; thermal energy insulator	nongold
55	an animal; bacterium requires oxygen for survival; to breathe	nongold
56	a liquid is a kind of substance	nongold
57	a balloon is a kind of container	nongold
58	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
59	round means circular in shape	nongold
60	a classroom is a kind of a room	nongold
61	if a container contains a substance  with less density than air then that container may move upward	nongold
62	a  gas is a kind of  element	nongold
63	a person is a kind of animal	nongold
64	definite shape means the shape of an object stays the same when moved to different spot	nongold
65	temperature  is a property of air mass and includes ordered values of cold; warm	nongold
66	if a flexible container is pushed on then that container will change shape	nongold
67	a student is a kind of human	nongold
68	air pressure is a property of air; the atmosphere	nongold
69	heat means heat energy	nongold
70	can be means able to be	nongold
71	atmospheric means of the atmosphere	nongold
72	surface area is a property of shape	nongold
73	moisture is a property of air mass and includes ordered values of dry; humid	nongold
74	if  something is placed in warm air then that something will become warm	nongold
75	humidity is a kind of water vapor	nongold
76	breathing in is when animals inhale air into their lungs	nongold
77	air temperature is a kind of temperature	nongold
78	to a  human a air; environment temperature of 0 C to 10 C is considered cold	nongold
79	to a  human a air; environment temperature of 10 C to 21 C is considered cool	nongold
80	variability of shape; variability of volume is a property of matter and includes values of variable; definite	nongold
81	elliptical is a kind of shape	nongold
82	elliptical is a kind of shape	nongold
83	a landform is a kind of object	nongold
84	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
85	airtight is when air cannot pass through something	nongold
86	air mass means a volume of air	nongold
87	breaking down into pieces is a kind of change in shape	nongold
88	to add means to increase	nongold
89	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
90	straight is a kind of shape	nongold
91	to change into means to form	nongold
92	all animals breathe	nongold
93	form means kind	nongold
94	a whole is formed by its parts	nongold
95	air is a kind of nonliving thing	nongold
96	variable means able to change	nongold
97	sound can travel through air by vibrating air	nongold
98	gaseous means of gas	nongold
99	a solid is more dense than a gas	nongold
