Question	What forms both valleys and canyons?	question
Answer	rivers	answer
0	a canyon is a very deep valley	gold
1	most canyons are formed by flowing rivers through erosion over long periods of time	gold
2	a canyon is made of rock	nongold
3	a valley is formed by a river flowing	gold
4	valley is located between mountains; hills	nongold
5	a canyon is a kind of place	nongold
6	a canyon is a kind of landform	nongold
7	the Grand Canyon is a kind of canyon	nongold
8	a river is a kind of flowing body of water	nongold
9	a canyon forming occurs over a period of millions of years	nongold
10	a stream is a kind of body of water	nongold
11	form means kind	nongold
12	a canyon is a very big crack in the ground	nongold
13	sinkholes; caves are formed by precipitation; infiltration	nongold
14	to form means to create	nongold
15	breaking down is a kind of forming	nongold
16	to cause the formation of means to form	nongold
17	to change into means to form	nongold
18	valley is a kind of location	nongold
19	to make means to form	nongold
20	the Grand Canyon was formed by the Colorado River flowing over long periods of time	nongold
21	state means form	nongold
22	to be made of something means to be formed of that something	nongold
23	flowing is a kind of motion	nongold
24	erosion causes a river to become deeper and wider	nongold
25	weathering is a kind of erosion	nongold
26	forming something is a kind of change	nongold
27	a type is synonymous with a kind	nongold
28	erosion is a kind of process	nongold
29	both means two	nongold
30	the formation of something is a kind of process	nongold
31	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
32	a river is a kind of channel for water	nongold
33	a body of water is a kind of environment	nongold
34	to be formed by is similar to being produced by	nongold
35	composed of means made of	nongold
36	erosion is a kind of change	nongold
37	to generate means to form	nongold
38	when a river floods , that river deposits soil; sediment in flood plains	nongold
39	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
40	a riverbed is a part of a river	nongold
41	weathering; erosion usually occurs over a period of many years	nongold
42	a mountain; mountain range is a kind of environment	nongold
43	mountainside is a part of valley	nongold
44	low means down	nongold
45	greatest means largest; highest; most amount of something	nongold
46	a body of water contains water	nongold
47	high is similar to increase	nongold
48	a structure of something is synonymous with a part of that something	nongold
49	extreme means very high in value	nongold
50	the Colorado River is a kind of river	nongold
51	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
52	becoming is similar to forming	nongold
53	a body of water is a source of water	nongold
54	Virginia contains rivers	nongold
55	to increase is similar to to create	nongold
56	weathering is a kind of process	nongold
57	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
58	to add means to increase	nongold
59	break down means change from a whole into pieces	nongold
60	rising means elevation	nongold
61	affected means changed	nongold
62	a component means a part of	nongold
63	answering questions requires information	nongold
64	a source of something emits; produces; generates; provides that something	nongold
65	something that contains water is similar to a body of water	nongold
66	to produce means to create	nongold
67	wind and rain; storms cause erosion	nongold
68	to lower means to decrease	nongold
69	a whole is formed by its parts	nongold
70	long means great in length	nongold
71	to create means to make	nongold
72	if something is made of something else then the formation of that something requires that something else	nongold
73	water is a kind of water phase	nongold
74	a cavern is a kind of land form	nongold
75	low is similar to decrease	nongold
76	the bottom is the lowest part of something	nongold
77	creating is similar to causing	nongold
78	to turn means to change	nongold
79	low means low in elevation; height; altitude	nongold
80	downhill means down	nongold
81	rising is a kind of motion	nongold
82	made up of means contains; made of	nongold
83	longest means greatest in length	nongold
84	no longer means used to be	nongold
85	erosion; storms can cause a landslide	nongold
86	to split means to break down	nongold
87	rain causes erosion	nongold
88	creating means making	nongold
89	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
90	lowest means least in value; amount; number	nongold
91	a river basin is a kind of land drained by a river and its tributaries	nongold
92	a lake is a kind of body of water	nongold
93	forming is similar to converting	nongold
94	water is a kind of object	nongold
95	valley quail are a kind of quail	nongold
96	develop is similar to form	nongold
97	soil erosion is a kind of slow; natural process	nongold
98	a waterfall contains water	nongold
99	below means lower down	nongold
