Question	Frog eggs hatch into tadpoles, and then tadpoles gradually develop into frogs. This process is known as	question
Answer	metamorphosis.	answer
0	a tadpole changes from  a tadpole into a frog through metamorphosis	gold
1	a tadpole is a kind of young; baby frog	gold
2	a tadpole is the immature form of a frog	nongold
3	a frog is the mature form of a; adult form of a tadpole	nongold
4	the immature form of a frog is called a tadpole	nongold
5	a frog is an adult form of a frog	gold
6	a frog is a kind of animal	nongold
7	a frog is a kind of aquatic animal	nongold
8	a frog is a kind of amphibian	gold
9	when a tadpole changes into an adult frog , that tadpole grows lungs to breath air	nongold
10	the  mature form of a frog is called a frog	nongold
11	metamorphosis means complete metamorphosis	nongold
12	metamorphosis is when an amphibian; insect changes from  an immature form to an adult form	gold
13	a tadpole lives in water	nongold
14	metamorphosis is a kind of process	gold
15	amphibians undergo metamorphosis	gold
16	metamorphosis is a stage in the life cycle process of some animals	nongold
17	amphibians hatch from eggs	nongold
18	a tadpole requires water to breathe	nongold
19	the pupa stage is a stage in the metamorphosis process of some animals	nongold
20	an animal is a kind of living thing	nongold
21	frogs lay eggs	nongold
22	a tree frog is a kind of animal	nongold
23	an amphibian is a kind of animal	gold
24	a frog eats insects	nongold
25	an aquatic animal is a kind of animal	nongold
26	alligators eat frogs; turtles; fish; mice; birds	nongold
27	a process usually requires all of the stages in that process	nongold
28	a living thing is a kind of object	nongold
29	if an animal hatches from an egg then that animal is born	nongold
30	reproduction increases the number; population of a living thing	nongold
31	amphibians lay eggs	nongold
32	an organism is a living thing	nongold
33	if a living thing requires something then that something has a positive impact on that living thing	nongold
34	living things can all reproduce	nongold
35	an animal is a kind of organism	nongold
36	reproduction is a stage in the life cycle process	nongold
37	reproduction is a kind of process	nongold
38	a part of a process means a stage in a process	nongold
39	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
40	an animal is a kind of eukaryote	nongold
41	developing means growing	nongold
42	adaptations are used for survival	nongold
43	a reptile is a kind of animal	nongold
44	an animal; living thing requires nutrients for survival	nongold
45	young amphibians live in water	nongold
46	embryos are a stage in the animal development process	nongold
47	all living things grow	nongold
48	life means living things	nongold
49	developing means making	nongold
50	when a hibernating frog emergest from mud , that frog has ended its hibernation	nongold
51	a process is a kind of event	nongold
52	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
53	evolution is a kind of process	nongold
54	a step in a process means a stage in a process	nongold
55	a living thing is made of cells	nongold
56	develop is similar to form	nongold
57	adaptation is when an organism develops a trait over time for survival	nongold
58	a part of a living thing is a natural structure	nongold
59	change is a kind of process	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	growth is a kind of process	nongold
62	to happen means to occur	nongold
63	adult is similar to mature	nongold
64	high is similar to increase	nongold
65	gradual means slow; over time	nongold
66	living things perform biological processes	nongold
67	a mammal is a kind of animal	nongold
68	a mountain chorus frog is a kind of frog	nongold
69	the formation of something is a kind of process	nongold
70	an increase is a kind of change	nongold
71	An example of reproduction is laying eggs	nongold
72	young means immature	gold
73	reproduction produces; produce offspring	nongold
74	incomplete metamorphosis is when an insect reaches the adult stage without being a pupa	nongold
75	creating is similar to causing	nongold
76	becoming is similar to changing	nongold
77	an event is a kind of action	nongold
78	a reaction is a kind of process	nongold
79	growth is a stage in the life cycle process	nongold
80	a source of something increases the amount of that something	nongold
81	adult amphibians live on land	nongold
82	producing is a kind of process	nongold
83	helping something has a  positive impact on that something	nongold
84	producing is similar to causing	nongold
85	development is similar to production	nongold
86	reptiles produce amniotic eggs	nongold
87	reproduction occurs during adulthood	nongold
88	if something gains something from something else then that something else is a source of that something	nongold
89	some tree frogs live in the tropical rain forest	nongold
90	an egg is a kind of food	nongold
91	panda is a kind of animal	nongold
92	An example of growth is an organism developing a new part	nongold
93	organisms move through the stages of the life cycle	nongold
94	sprouting means germinating	nongold
95	a worm is a kind of living thing	nongold
96	some adult animals lay eggs	nongold
97	increase means more	nongold
98	a type is synonymous with a kind	nongold
99	an animal is a member of an animal species	nongold
