Question	Which of the following is a property of CO2 gas?	question
Answer	It is colorless.	answer
0	colorless means no color	gold
1	color is a property of  an object; a material	nongold
2	CO2 means carbon dioxide	gold
3	coloration means a thing's color	nongold
4	a  chemical property is a kind of  property	nongold
5	CO2 is a kind of chemical formula	nongold
6	carbon dioxide is colorless	gold
7	color is a kind of physical; visual property	gold
8	O2 means oxygen	nongold
9	gas is a kind of substance	nongold
10	air is colorless	nongold
11	gas is a kind of state of matter	nongold
12	color is an intensive property	nongold
13	composition is a property of an object; matter	nongold
14	a  gas is a kind of  element	nongold
15	a type of something is a kind of property of that something	nongold
16	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
17	gas is a kind of object	nongold
18	temperature changing does not cause color to change	nongold
19	gas is a kind of nonmetal	nongold
20	a chemical property is the opposite of a physical property	nongold
21	composed of means made of	nongold
22	substances are made of matter	nongold
23	black is a kind of color	nongold
24	dark means dark in color	nongold
25	to be formed by is similar to being produced by	nongold
26	reaction to light is a kind of chemical property	nongold
27	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
28	gaseous means of gas	nongold
29	state means form	nongold
30	white is a kind of color	nongold
31	to give is similar to to cause	nongold
32	chemical composition is a kind of property	nongold
33	objects are made of materials; substances; matter	nongold
34	gas is a kind of material	nongold
35	can be means able to be	nongold
36	not is similar to the opposite of	nongold
37	if the color of a substance changes then a chemical change may have occurred	nongold
38	particles in objects are a kind of matter	nongold
39	a physical property is a kind of property	nongold
40	the color of an environment means the color of the things that environment contains	nongold
41	made of is similar to contains	nongold
42	the effects of something is a property of that something	nongold
43	to be made of something means to be formed of that something	nongold
44	form means kind	nongold
45	oxygen is a kind of gas at room temperature	nongold
46	substances have chemical properties	nongold
47	coloration means a pattern of colors	nongold
48	a property of something is a feature of that something	nongold
49	liquid is a kind of state of matter	nongold
50	matter; materials; substances are made of atoms; particles	nongold
51	materials are made of matter	nongold
52	solid is a kind of state of matter	nongold
53	state of matter is a kind of physical property	nongold
54	as the state  of matter changes , the color of the object will stay the same	nongold
55	a star's surface temperature causes the star's  color	nongold
56	structure is a property of an object; a material; a substance	nongold
57	if an object is black then that object absorbs all visible light; heat	nongold
58	material composition is a kind of chemical property	nongold
59	black is dark in color	nongold
60	state of matter at room temperature is a kind of physical property	nongold
61	brown is a kind of color	nongold
62	yellow is a kind of color	nongold
63	a molecule is a kind of object	nongold
64	what something needs is a property of that something	nongold
65	blue is a kind of color	nongold
66	hydrogen is a kind of gas at room temperature	nongold
67	orange is a kind of color	nongold
68	material means substance	nongold
69	a living thing is a kind of object	nongold
70	matter is made of molecules	nongold
71	phase means state	nongold
72	an object has properties	nongold
73	composition means the (materials, substances) of which something is composed	nongold
74	appearance is a property of objects; materials	nongold
75	to cause means to make	nongold
76	affected means changed	nongold
77	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
78	water is a kind of matter	nongold
79	H2O means water	nongold
80	cannot is the opposite of  can	nongold
81	as amount; size of something increases , the intensive properties of that something will not change	nongold
82	a liquid is a kind of substance	nongold
83	a structure of something is synonymous with a part of that something	nongold
84	a bonding property is a kind of chemical property	nongold
85	no longer means used to be	nongold
86	red is a kind of color	nongold
87	stars can be classified by temperature; color; chemical composition; brightness	nongold
88	state of matter means physical state	nongold
89	air is a kind of gas	nongold
90	to turn means to change	nongold
91	physical state means state of matter	nongold
92	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
93	provide is similar to give; make	nongold
94	shape of the parts of something is a property of that something	nongold
95	condition means the state of the property	nongold
96	to convert means to change	nongold
97	to contain means to have inside	nongold
98	characteristic means property	nongold
99	make means produce	nongold
