Question	Which is a chemical change?	question
Answer	Element 3 turns a greenish color as it sits in air.	answer
0	chemical reactions cause chemical change	nongold
1	air is a kind of gas	nongold
2	to turn means to change	gold
3	the air is a kind of substance	nongold
4	a  gas is a kind of  element	nongold
5	turns is similar to changes	nongold
6	an element is a kind of  substance	nongold
7	air is a kind of matter	nongold
8	if the color of a substance changes then a chemical change may have occurred	gold
9	chemicals means substances	nongold
10	chemical reactions cause new substances; different substances to form	nongold
11	color is a property of  an object; a material	nongold
12	temperature changing does not cause color to change	nongold
13	converting is similar to turning into	nongold
14	gas is a kind of substance	nongold
15	chemical change is a kind of chemical reaction	nongold
16	atmosphere means  air	nongold
17	gaseous means of gas	nongold
18	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
19	air is colorless	nongold
20	gas is a kind of state of matter	nongold
21	the atmosphere contains gases; liquids; solids	nongold
22	to change means to cause a change	nongold
23	to turn means to convert	nongold
24	substances are made of elements	nongold
25	acid can cause chemical change	nongold
26	coloration means a thing's color	nongold
27	to exhale means to release	nongold
28	combustion is a kind of chemical change	nongold
29	substances have chemical properties	nongold
30	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
31	gas is a kind of object	nongold
32	liquid is a kind of state of matter	nongold
33	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
34	turning is a kind of motion	nongold
35	matter; materials; substances are made of atoms; particles	nongold
36	all elements are a kind of pure substance	nongold
37	to add means to increase	nongold
38	oxygen is a kind of gas at room temperature	nongold
39	chemical reaction means chemical bonds change	nongold
40	propane;C_{3}H_{8} is a kind of gas at room temperature	nongold
41	to be formed by is similar to being produced by	nongold
42	to cause means to make	nongold
43	liquid; solid means nongaseous	nongold
44	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
45	an element is a kind of material	nongold
46	a liquid is a kind of substance	nongold
47	an atom is the smallest particle; unit that has the properties of an element	nongold
48	compound is a kind of chemical	nongold
49	gas is a kind of nonmetal	nongold
50	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
51	an  element is a kind of atom	nongold
52	hydrogen is a kind of gas at room temperature	nongold
53	if a substance is made of one element , then the substance is called an element	nongold
54	gas is a kind of material	nongold
55	to convert means to change	nongold
56	vapor is synonymous with gas	nongold
57	high is similar to increase	nongold
58	as the state  of matter changes , the color of the object will stay the same	nongold
59	a metal is a kind of element	nongold
60	chemical change is the opposite of physical change	nongold
61	if an object undergoes chemical change then that object will have new chemical properties	nongold
62	form means kind	nongold
63	phase means state	nongold
64	temperature is a measure of heat energy	nongold
65	elements in noble gases family are gases at room temperature	nongold
66	becoming is similar to changing	nongold
67	heat means heat energy	nongold
68	to change means to have an effect	nongold
69	an element is made of one kind of atoms	nongold
70	colorless means no color	nongold
71	reducing is a kind of change	nongold
72	carbon dioxide is colorless	nongold
73	to give is similar to to cause	nongold
74	solid is a kind of state of matter	nongold
75	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
76	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
77	the Earth's atmosphere is made of 1.288 percent argon by mass	nongold
78	heat energy can change the state of matter	nongold
79	elements on the right side of the Periodic Table of Elements are gases at room temperature	nongold
80	to cause means to have an effect	nongold
81	air temperature is a kind of temperature	nongold
82	to lower means to decrease	nongold
83	low is similar to decrease	nongold
84	affected means changed	nongold
85	objects are made of materials; substances; matter	nongold
86	oxygen  is a kind of element	nongold
87	hydrogen is a kind of element	nongold
88	forming is similar to converting	nongold
89	a decrease is a kind of change	nongold
90	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
91	An example of a chemical change is acid breaking down substances	nongold
92	composed of means made of	nongold
93	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
94	substances are made of matter	nongold
95	a container contains objects; material; substances	nongold
96	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
97	state means form	nongold
98	air is a part of the environment	nongold
99	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
