Question	Use the information below to answer the question. Each organism on Earth is a part of a complex relationship with other organisms. This relationship is called a food web. The following organisms are part of a food web typically located in and around a reservoir. algae fish rabbit eagle pine tree grass field mouse Which member of the food web is a carnivore?	question
Answer	eagle	answer
0	an eagle is a kind of carnivore	gold
1	a mouse is a kind of animal	nongold
2	a food web is made of organisms that consume other organisms; that produce their own food	nongold
3	food web is synonymous with food chain	nongold
4	a rabbit is a kind of mammal	gold
5	a mouse is a kind of mammal	nongold
6	a rabbit is a kind of animal	nongold
7	a reservoir is a kind of body of water	nongold
8	an eagle is a kind of bird	gold
9	an eagle is a kind of animal	nongold
10	a bird is a kind of living thing	nongold
11	an animal is a member of an animal species	nongold
12	an animal is a kind of living thing	nongold
13	grass is a kind of green plant	nongold
14	a water reservoir contains; stores water	nongold
15	a deer mouse is a kind of mouse	nongold
16	a mouse is a kind of herbivore	nongold
17	a bird is a kind of animal	nongold
18	a pine tree is a kind of tree	nongold
19	mice live in in holes in the ground in fields; in forests	nongold
20	an organism is a living thing	nongold
21	an animal is a kind of organism	nongold
22	an algae is a kind of organism	nongold
23	algae is a kind of living thing	nongold
24	a fish is a kind of animal	gold
25	an aquatic animal is a kind of animal	nongold
26	eagles eat rabbits	gold
27	a fish is a kind of aquatic animal	nongold
28	a rabbit is a kind of herbivore	nongold
29	algae is a kind of plant	nongold
30	an eagle is a kind of predator	nongold
31	a relationship occurs when two or more things interact with one another	nongold
32	a field is a kind of environment	nongold
33	location is a kind of relationship	nongold
34	a worm is a kind of living thing	nongold
35	carnivores; omnivores; herbivores are a kind of animal	nongold
36	a rabbit is a kind of prey	nongold
37	rabbits eat plants	nongold
38	a living thing is a kind of object	nongold
39	a tree is a kind of living thing	nongold
40	aquatic animals; plants live in bodies of water	nongold
41	aquatic animal means water animal	nongold
42	organisms are located on Earth's surface	nongold
43	a tree is a kind of plant	nongold
44	a worm is a kind of animal	nongold
45	located means situated	nongold
46	a fungus is a kind of living thing	nongold
47	a field is a kind of habitat	nongold
48	eagles live in trees	nongold
49	a plant is a kind of living thing	nongold
50	a food contains nutrients for living things	nongold
51	fish have been on Earth for 419000000 years	nongold
52	a plant is a member of a plant species	nongold
53	a fish lives in water	nongold
54	an insect is a kind of animal	nongold
55	predators; carnivores; omnivores eat other animals	gold
56	an ecosystem contains a large community of; large numbers of living organisms	nongold
57	a plant is a kind of organism	nongold
58	carnivores; omnivores are predators	nongold
59	eagles eat fish	gold
60	usually a body of water is located outside	nongold
61	an animal; living thing requires nutrients for survival	nongold
62	Earth is a kind of planet	nongold
63	bodies of water are located on Earth's surface	nongold
64	typically means usually	nongold
65	carnivores only eat animals	nongold
66	a mammal is a kind of animal	gold
67	a fungus is a kind of organism	nongold
68	answering questions requires information	nongold
69	life means living things	nongold
70	living things eat their food source	nongold
71	a fish is a kind of predator	nongold
72	omnivores eat plants; animals	nongold
73	an ecosystem contains nonliving things	nongold
74	a plant; living thing requires food for survival	nongold
75	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
76	fur is a part of a mouse	nongold
77	if a living thing requires something then that something has a positive impact on that living thing	nongold
78	a chicken is a kind of bird	nongold
79	algae is found in bodies of water	nongold
80	an aquatic animal; aquatic plant requires great amounts of water to survive; thrive	nongold
81	location is a kind of information	nongold
82	organisms are a part of an environment	nongold
83	grass is green in color	nongold
84	vegetation means plants	nongold
85	a rabbit cannot fly; climb	nongold
86	being around something means surrounding  that something	nongold
87	a change in a food web can cause damage to an ecosystem	nongold
88	oceans are located on Earth	nongold
89	a role in the ecosystem is a role in the food chain process	nongold
90	animals; living things live and feed in their habitats; near their habitats	nongold
91	fish eat insects	nongold
92	a turtle is a kind of omnivore	nongold
93	a mouse births; gives birth to live young	nongold
94	organisms mean life	nongold
95	if something is located  in somewhere , then something can be found in somewhere	nongold
96	a living thing is made of cells	nongold
97	eating an animal; a plant means killing that animal; that plant	nongold
98	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
99	a part of a living thing is a natural structure	nongold
