Question	A company is designing a new laptop computer. The computer must not exceed a certain weight. Which of the following is the most likely reason to have a weight restriction for the computer?	question
Answer	to make it easier to transport the computer	answer
0	a restriction can be used to limit something; keep something low	gold
1	a laptop is a kind of computer	gold
2	a requirement is a kind of limitation	nongold
3	as the weight of an object decreases , the object will be transported more easily	gold
4	to transfer is similar to transport	nongold
5	transport means to move; to make travel	nongold
6	must have means require	nongold
7	a computer is a kind of tool	gold
8	an increase is the opposite of a decrease	nongold
9	to carry means to transport	nongold
10	to make something easier means to help	nongold
11	to reduce means to decrease	nongold
12	to be used for something means to be required by that something	nongold
13	certain is similar to specific	nongold
14	as the ability  to do something decreases , doing that something will be harder	nongold
15	transporting is a kind of function	nongold
16	to bring means to transport	nongold
17	a machine is a kind of  device	nongold
18	a weight is a kind of object	nongold
19	to limit means to decrease	nongold
20	helping something has a  positive impact on that something	nongold
21	to make possible means to be required	nongold
22	less is similar to decrease	nongold
23	a computer controls a robot	nongold
24	weight is a property of objects; matter	nongold
25	increase means more	nongold
26	hard is the opposite of easy	nongold
27	to lower means to decrease	nongold
28	low is similar to decrease	gold
29	high is similar to increase	nongold
30	to cause means to make	nongold
31	transportation technology is used for moving people; products	nongold
32	less is the opposite of more	nongold
33	a machine is a kind of object	nongold
34	a vehicle is a kind of tool for travel; transport	nongold
35	heavy means a large amount of weight	nongold
36	to add means to increase	nongold
37	harming something has a  negative impact on; effect on that something	nongold
38	weight is a kind of property	nongold
39	less means a reduced amount	nongold
40	to slow; to slow down decreases speed	nongold
41	an increase is a kind of change	nongold
42	person is synonymous with human	nongold
43	requiring is similar to needing help	nongold
44	an part of an object is smaller than the entire object	nongold
45	if a living thing requires something then that something has a positive impact on that living thing	nongold
46	a device is a kind of object	nongold
47	too much is similar to increase	nongold
48	negative impact is the opposite of positive impact	nongold
49	low is the opposite of high	nongold
50	requiring something means needing that something	nongold
51	a decrease is a kind of change	nongold
52	lower means less	nongold
53	if an object is made of a material then that object has the properties of that material	nongold
54	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
55	a vehicle is used for transportation	nongold
56	to be required means to be necessary	nongold
57	decreasing something negative has a positive impact on a thing	nongold
58	a human is a kind of animal	nongold
59	to ship means to transport	nongold
60	little is similar to decrease	nongold
61	faster means an increase; higher in speed	nongold
62	decreasing something positive has a negative impact on a thing	nongold
63	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
64	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
65	to carry means to move something	nongold
66	a living thing is a kind of object	nongold
67	greater means higher; more in value	nongold
68	transportation technology is a kind of system for moving people and products	nongold
69	durability is a property of materials; objects and includes ordered values of durable; not durable	nongold
70	Weight is  the  force of gravity acting on an object	nongold
71	lowest means least in value; amount; number	nongold
72	to transfer means to bring; to get something to	nongold
73	not is similar to the opposite of	nongold
74	to lack means to not have	nongold
75	extreme means very high in value	nongold
76	an animal is a kind of living thing	nongold
77	strong means high in strength	nongold
78	weight means the force of gravity acting on an object	nongold
79	carrying something means moving that something	nongold
80	if something is required for something else then that something allows that something else	nongold
81	lighter means lower; less in weight	nongold
82	a product is a kind of object	nongold
83	if a value decreases then that value may become; may reach zero; 0	nongold
84	limiting a source of something tht has a negative impact on something else has a  positive impact on that something else	nongold
85	small is the opposite of large	nongold
86	often is similar to likely	nongold
87	affected means changed	nongold
88	can be means able to be	nongold
89	to improve means to have a positive impact	nongold
90	to impact means to affect	nongold
91	counter means reduce; stop; resist	nongold
92	largest amount means most	nongold
93	solution is similar to a positive impact	nongold
94	smaller means less; lower in size	nongold
95	to depend on; to rely on; to need means to require	nongold
96	an organism is a living thing	nongold
97	a computer is used for communication; finding information	nongold
98	if something is transported to something else then that something else receives that something	nongold
99	mass; weight is a property of matter; objects; materials	nongold
