Question	Some types of trees are able to survive the heat of a forest fire. Which of the following characteristics would best help a tree survive a fire?	question
Answer	thick bark	answer
0	fire causes harm to trees; to forests; to living things	gold
1	helping something has a  positive impact on that something	gold
2	wildfire is when a forest catches fire	nongold
3	a forest fire is a kind of event	nongold
4	bark is a part of a tree	gold
5	a tree is a kind of living thing	gold
6	wildfire means forest fire	nongold
7	a type is synonymous with a kind	nongold
8	fire causes burning	nongold
9	bark is a protective covering around the trunk of; branches of a tree	gold
10	fire destroys plants in an environment	nongold
11	a tree is a kind of plant	nongold
12	a part of something means a characteristic of something	gold
13	a fire requires  oxygen to burn	nongold
14	trait is synonymous with characteristic	nongold
15	to combust means to catch fire	nongold
16	dying is the opposite of living; surviving	nongold
17	fire gives off light; heat; smoke	nongold
18	characteristic means property	nongold
19	harming something has a  negative impact on; effect on that something	nongold
20	a forest contains  lots of plants; trees	nongold
21	survival means to survive	nongold
22	a flame are a part of a fire	nongold
23	a structure of something is synonymous with a part of that something	nongold
24	an increase is the opposite of a decrease	nongold
25	bark is usually brown in color	nongold
26	to be used  for something means to help to do that something	nongold
27	a plant is a kind of living thing	nongold
28	can be means able to be	nongold
29	putting out a fire stops the burning of that fire	nongold
30	a forest is a kind of environment	nongold
31	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
32	burning a living thing usually causes harm to that living thing	nongold
33	an organism is a living thing	nongold
34	survive means live	nongold
35	survive means live	nongold
36	a structure is a kind of feature	nongold
37	protecting a living thing has a  positive impact on that living thing's survival; health	gold
38	an animal is a kind of living thing	nongold
39	trait means property	nongold
40	requiring is similar to needing help	nongold
41	a living thing is a kind of object	nongold
42	able is the opposite of unable	nongold
43	intense heat has a negative impact on an organism	nongold
44	what an object is made of is a kind of characteristic	nongold
45	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
46	as the oxygen a fire is exposed to increases the longer that fire will burn	nongold
47	a plant is a kind of organism	nongold
48	death means to die	nongold
49	a wildfire occurs over a period of days	nongold
50	low is similar to decrease	nongold
51	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
52	a tree is a kind of matter	nongold
53	if a living thing requires something then that something has a positive impact on that living thing	nongold
54	a part of a living thing is a natural structure	nongold
55	a forest is a kind of ecosystem	nongold
56	a wildfire is a kind of natural disaster	nongold
57	best means most positive	nongold
58	to reduce means to decrease	nongold
59	a tree is a source of shelter; food for birds; animals in an ecosystem	nongold
60	negative impact is the opposite of positive impact	nongold
61	to help means to aid	nongold
62	to lower means to decrease	nongold
63	structure is a property of an object; a material; a substance	nongold
64	the increase of something required by an organism has a positive impact on that organism's survival	nongold
65	feature is synonymous with characteristic	nongold
66	helping means something can be done; completed more easily; better	nongold
67	if a living thing dies then that living thing is dead	nongold
68	high is similar to increase	nongold
69	some species of tree are deciduous	nongold
70	if something has a positive impact on the survival of an organism then that organism is likely going to survive	nongold
71	a trunk is a part of a tree for supporting the tree	nongold
72	heat means heat energy	nongold
73	less is similar to decrease	nongold
74	an animal is a kind of organism	nongold
75	a property of something is a feature of that something	nongold
76	An example of an environment is a forest; a river; a grassland; an ocean	nongold
77	inherited characteristics are the opposite of learned characteristics; acquired characteristics	nongold
78	to help; to benefit means to be of use	nongold
79	dry conditions can cause fire	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	strong means high in strength	nongold
82	decreasing something negative has a positive impact on a thing	nongold
83	fanning a fire increases the oxygen near the fire	nongold
84	a firewood is a kind of object	nongold
85	more burning causes fire to be hotter	nongold
86	if something has a negative impact on the survival of an organism then that organism may be unable to survive	nongold
87	a plant; living thing requires food for survival	nongold
88	ability is a kind of characteristic	nongold
89	a branch is a part of a tree	nongold
90	combustion means fire converts chemical energy into light energy and heat energy	nongold
91	a type of something is a kind of property of that something	nongold
92	life means living things	nongold
93	wood burns	nongold
94	thickness is  a measure of how thick an object  is	gold
95	a campfire is a kind of fire	nongold
96	thickness is a property of an object and includes ordered  values of thin; thick	gold
97	a plant is a member of a plant species	nongold
98	if an animal lives under ground then that animal will be protected from a wild fire	nongold
99	person is synonymous with human	nongold
