Question	A company plants trees on a bare hillside. Which of these is the BEST reason for planting the trees?	question
Answer	The trees prevent soil from washing away.	answer
0	protecting something means preventing harm to that something	nongold
1	tree roots reduce soil erosion	nongold
2	to keep something from happening means to prevent that something	nongold
3	best means most positive	gold
4	soil erosion means soil loss through wind;water; animals	nongold
5	helping something has a  positive impact on that something	nongold
6	washing out means being moved from  by water	nongold
7	soil erosion is when wind; moving water; gravity move soil from fields; environments	gold
8	preventing something decreases the amount of that something	nongold
9	grass roots reduce soil erosion	nongold
10	to prevent means to make it not happen	nongold
11	a plant requires soil for survival; to grow	nongold
12	a hill is a kind of place	nongold
13	to inhibit means to prevent	gold
14	a tree is a kind of living thing	nongold
15	a cause of something is a reason for that something	nongold
16	a tree is a kind of plant	gold
17	overgrazing increases soil erosion	nongold
18	In the erosion process roots of plants are an inhibitor	gold
19	if a plant is planted; growing somewhere then that plant is located there	nongold
20	erosion of soil has a  negative impact on the environment; soil quality	gold
21	to wash away is a kind of movement by moving water	gold
22	being exposed to wind; water; animals; heat can cause erosion of soil; of rocks	nongold
23	protecting nature has a positive impact on the environment	nongold
24	roots hold soil in place	nongold
25	harming something has a  negative impact on; effect on that something	nongold
26	requiring is similar to needing help	nongold
27	An example of movement is washing away	nongold
28	negative impact is the opposite of positive impact	gold
29	erosion sometimes decreases the amount of nutrients in soil	nongold
30	avoiding is similar to preventing	nongold
31	soil is usually part of an environment	nongold
32	soil erosion is a kind of slow; natural process	nongold
33	planting is a kind of human action	nongold
34	inhibitor means something that prevents something from happening	nongold
35	to protect means to make safe	nongold
36	wind and rain; storms cause erosion	nongold
37	roots are a part of a plant; tree	gold
38	if something required for a process is not produced then that process is prevented from occurring; cannot occur	nongold
39	a plant is a kind of living thing	nongold
40	planting trees is the opposite of cutting down trees	nongold
41	soil is a part of the ground outside	nongold
42	people can plant trees	nongold
43	a tree contains wood	nongold
44	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
45	to help; to benefit means to be of use	nongold
46	damage means harm	nongold
47	crop rotation renews; protects soil	nongold
48	a plants; living things require water for survival; to grow	nongold
49	remove means decrease	nongold
50	a tree can be replaced by planting a new tree each time one is cut down	nongold
51	protection means resistance to damage increases	nongold
52	if a tree is cut down then that tree will die	nongold
53	decreasing something negative has a positive impact on a thing	nongold
54	fire causes harm to trees; to forests; to living things	nongold
55	good means positive	nongold
56	to hurt means to harm	nongold
57	a plant requires water to grow	nongold
58	adverse effect means negative impact	nongold
59	decreasing something positive has a negative impact on a thing	nongold
60	to prevent the occurence of an event means to decrease the occurence of the event	nongold
61	pouring water onto soil causes that soil to wash away	nongold
62	damage has a negative impact on a thing	nongold
63	something hard; something strong can be used for protection	nongold
64	soil contains nutrients for plants	nongold
65	erosion usually causes harm to the environment	nongold
66	loss is similar to removal	nongold
67	a plant is a kind of organism	nongold
68	an environment is a kind of place	nongold
69	a forest contains  lots of plants; trees	nongold
70	a lack of something that a living thing requires prevents the survival of that living thing	nongold
71	erosion is a kind of destructive force	nongold
72	place is synonymous with location	nongold
73	to protect means to defend	nongold
74	if something required by something else is in a place then that something else may be in that place	nongold
75	erosion is a kind of process	nongold
76	planting trees has a  positive impact on an ecosystem	nongold
77	a human is a kind of animal	nongold
78	saving an organism's life means preventing the death of that organism	nongold
79	to reduce means to decrease	nongold
80	a leaf is a part of a tree	nongold
81	death means to die	nongold
82	weathering is a kind of erosion	nongold
83	person is synonymous with human	nongold
84	helping means something can be done; completed more easily; better	nongold
85	a plant; living thing requires nutrients to grow	nongold
86	covering something is a kind of protection	nongold
87	soil erosion is a kind of event	nongold
88	rain causes erosion	nongold
89	something harmful can cause harm	nongold
90	often soil is found in an environment	nongold
91	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
92	absorbing something harmful has a negative impact on a thing	nongold
93	low quality soil has a small; a low number of nutrients	nongold
94	soil is a kind of material	nongold
95	roots anchor plants into the soil	nongold
96	moisture is a kind of environmental factor	nongold
97	to depend on; to rely on; to need means to require	nongold
98	an event is a kind of action	nongold
99	a tree requires sunlight to grow	nongold
