Question	Which of the following is most likely to cause water to change from one state of matter to another state of matter?	question
Answer	a change in air temperature	answer
0	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
1	water is a kind of liquid at room temperature	nongold
2	water is a kind of matter	nongold
3	temperature is a measure of heat energy	nongold
4	air temperature is a kind of temperature	nongold
5	liquid is a kind of state of matter	nongold
6	state of matter means physical state	nongold
7	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
8	heat means temperature increases	nongold
9	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
10	temperature changing can cause phase changes	gold
11	phase means state	nongold
12	gas is a kind of state of matter	nongold
13	solid is a kind of state of matter	nongold
14	water is a kind of substance	gold
15	physical state means state of matter	nongold
16	to change means to cause a change	nongold
17	air is a kind of matter	nongold
18	an increase is a kind of change	nongold
19	heat energy can change the state of matter	nongold
20	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
21	boiling is a kind of phase change	nongold
22	freezing is a kind of phase change	nongold
23	a decrease is a kind of change	nongold
24	a phase change is a kind of physical change	nongold
25	evaporating is a kind of phase change	nongold
26	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
27	heat means heat energy	nongold
28	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
29	to add means to increase	nongold
30	to cause means to result in	nongold
31	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
32	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
33	melting is a kind of phase change	nongold
34	to lower means to decrease	nongold
35	increase means more	nongold
36	moisture means liquid; liquid water	nongold
37	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
38	state of matter at room temperature is a kind of physical property	nongold
39	air is a kind of gas	nongold
40	matter; materials; substances are made of atoms; particles	nongold
41	often is similar to likely	nongold
42	heating means adding heat	nongold
43	water is an thermal; thermal energy conductor	nongold
44	variable means able to change	nongold
45	state means form	nongold
46	water is a kind of object	nongold
47	to give off means to be the source of	nongold
48	high is similar to increase	nongold
49	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
50	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
51	an increase is the opposite of a decrease	nongold
52	if the component of something changed , then the whole thing will change	nongold
53	state of matter is a kind of physical property	nongold
54	to change means to become different	nongold
55	the air is a kind of substance	nongold
56	to turn means to change	nongold
57	particles in objects are a kind of matter	nongold
58	to be a source of something means to cause that something	nongold
59	formation of a state of matter is a kind of process	nongold
60	vapor is synonymous with gas	nongold
61	a liquid is a kind of substance	nongold
62	temperature is a kind of condition	nongold
63	adding heat means increasing temperature	nongold
64	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
65	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
66	to reduce means to decrease	nongold
67	gas is a kind of substance	nongold
68	reducing is a kind of change	nongold
69	atmosphere means  air	nongold
70	An example of moisture is water vapor in the atmosphere	nongold
71	to change means to have an effect	nongold
72	affected means changed	nongold
73	to cause means to have an effect	nongold
74	to cause an event means to make that event more likely	nongold
75	a solid is a kind of substance	nongold
76	ability to undergo a phase change is a property of a substance; material	nongold
77	to give is similar to to cause	nongold
78	if something undergoes a physical change then the physical properties of that something will change	nongold
79	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
80	to vary means to change	nongold
81	causing means influencing	nongold
82	a source of something increases the amount of that something	nongold
83	material means substance	nongold
84	to slow; to slow down decreases speed	nongold
85	substances are made of matter	nongold
86	temperature  rise means temperature increase	nongold
87	due to means caused by	nongold
88	change is a kind of impact	nongold
89	to cause is similar to bring	nongold
90	water vapor is found in the atmosphere	nongold
91	to impact means to affect	nongold
92	colder; cooler means lower in temperature	nongold
93	becoming is similar to changing	nongold
94	boiling is when liquids are heated above their boiling point	nongold
95	movement is a kind of change	nongold
96	causing is a kind of affecting	nongold
97	change is a kind of process	nongold
98	to modify means to change	nongold
99	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
