Question	One evening as it is getting dark, Alex sits on the front porch and watches the sun slowly disappear behind the neighbor's house across the street. Which explains this observation?	question
Answer	The sun appears to move due to Earth's rotation.	answer
0	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
1	the Earth rotates on its axis	nongold
2	to disappear behind means to move behind	gold
3	a rotation is a kind of movement	nongold
4	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
5	rotation is a kind of motion	nongold
6	due to means caused by	gold
7	rotating is similar to moving	nongold
8	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	gold
9	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
10	the Earth revolves around the sun	nongold
11	a star is a kind of celestial object; celestial body	nongold
12	motion; movement means moving; to move	nongold
13	Earth is a kind of planet	nongold
14	a planet rotating causes cycles of day and night on that planet	nongold
15	motion is when moves an object; something to a direction	nongold
16	setting is a kind of motion	nongold
17	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
18	the Sun is a kind of star	nongold
19	rotate means turn	nongold
20	a planet is a kind of celestial object; body	nongold
21	Earth rotating on its axis occurs once per day	nongold
22	observe means see	nongold
23	revolving is a kind of motion	nongold
24	sunlight is a kind of light	nongold
25	to rotate means to complete a rotation	nongold
26	if something is caused by something else , then that something can be explained by that something else	nongold
27	the sun is a source of light; light energy called sunlight	nongold
28	occur is similar to appear	nongold
29	variable means able to change	nongold
30	sunlight is a kind of solar energy	nongold
31	the sun rises in the east	nongold
32	moving changes position	nongold
33	disappearing is similar to decreasing	nongold
34	movement is a kind of change	nongold
35	moving is similar to travelling	nongold
36	an increase is a kind of change	nongold
37	rising is a kind of motion	nongold
38	stars appear to move relative to the horizon during the night	nongold
39	to slow; to slow down decreases speed	nongold
40	how something  appears is how that something  looks	nongold
41	high is similar to increase	nongold
42	speed is a measure of how fast an object is moving	nongold
43	apparent motion  is when  an object appears to move relative to another object's perspective; another object's position	nongold
44	appearing is similar to seeming	nongold
45	distance moved; distance travelled is a measure of how far an object moves	nongold
46	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
47	a house is a kind of building	nongold
48	the sun rising and setting causes cycles of day and night	nongold
49	the sun is not a star in the night sky	nongold
50	if it is night then the sun has set	nongold
51	to reduce means to decrease	nongold
52	dark means a low amount of light	nongold
53	an increase is the opposite of a decrease	nongold
54	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
55	a motion is a kind of event; action	nongold
56	looking is similar to observing	nongold
57	the sun sets in the west	nongold
58	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
59	travel means to move	nongold
60	affected means changed	nongold
61	low is similar to decrease	nongold
62	Earth's rotation causes time zones	nongold
63	dark is the opposite of light	nongold
64	speed is a property of an object and includes values of slow; fast	nongold
65	lowering is a kind of motion	nongold
66	closer means lower; less; a decrease in distance	nongold
67	to lower means to decrease	nongold
68	to add means to increase	nongold
69	faster means an increase; higher in speed	nongold
70	constant means not changing	nongold
71	shift means move	nongold
72	being in the sun is synonymous with being in the sunlight	nongold
73	the sun rising; setting occurs once per day	nongold
74	when sunlight strikes something , that something receives sunlight	nongold
75	a home is a kind of building	nongold
76	the Sun is the  star that is closest to Earth	nongold
77	the moon rotates on its axis	nongold
78	a house is a kind of home	nongold
79	rising means height; altitude increases	nongold
80	Earth's angle of tilt causes the length of day and night to vary	nongold
81	a decrease is a kind of change	nongold
82	speed up means increase	nongold
83	the sunlight occurs during the day	nongold
84	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
85	to be in the sun means to be in the sunlight	nongold
86	the sun is the source of solar energy called sunlight	nongold
87	hot means high in heat energy; temperature	nongold
88	turning is a kind of motion	nongold
89	to see means to look	nongold
90	phase means state	nongold
91	rotate is similar to revolve	nongold
92	events occur at a specific place; at a specific time; with a specific frequency	nongold
93	extreme means very high in value	nongold
94	rotation  is  the  circular movement of an object around a center; axis	nongold
95	walking is a kind of motion	nongold
96	disappeared is similar to gone	nongold
97	a human is a kind of animal	nongold
98	solar energy is a kind of light	nongold
99	increase means more	nongold
