Question	Which object is made to reflect light?	question
Answer	mirror	answer
0	a mirror is used for reflecting light	nongold
1	a mirror reflects light	nongold
2	shiny things; objects reflect light	gold
3	a mirror is a kind of reflective object	gold
4	reflection is when light is reflected from one object; one place to  another object; another place	nongold
5	an image in a mirror is formed by reflecting light	nongold
6	reflection is a property of light	nongold
7	glass; objects made of glass cause refraction of light	nongold
8	glass is a kind of object	nongold
9	a reflector is used to reflect light especially on vehicles	nongold
10	light is made of photons	nongold
11	to reflect light means to scatter light	nongold
12	glass is a kind of material	nongold
13	objects are made of materials; substances; matter	nongold
14	reflection is when particles bounce off a surface	nongold
15	light is a kind of wave	nongold
16	a mirror has a shiny surface	gold
17	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
18	glass is a kind of medium	nongold
19	reflecting light; sound is the opposite of absorbing light; sound	nongold
20	light reflecting off of an object causes that object to be visible to the observer	nongold
21	a white object reflects all visible light	nongold
22	sunlight is a kind of light	nongold
23	a reflecting telescope is a kind of telescope	nongold
24	light means light energy	nongold
25	materials are made of matter	nongold
26	a star is a kind of celestial object; celestial body	nongold
27	a surface is a part of an object	nongold
28	to cause means to make	nongold
29	if an object reflects a light of a certain color then the object appears to be that color	nongold
30	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
31	glass is a kind of solid at room temperature	nongold
32	to illuminate means to light up	nongold
33	emit means produce	nongold
34	a wave is a kind of object	nongold
35	reflection is a kind of process	nongold
36	glass is made of sand	nongold
37	a blue object reflects only blue light	nongold
38	matter; materials; substances are made of atoms; particles	nongold
39	if an object is white then that object reflects all visible light	nongold
40	refraction is when light passes from one medium to another medium	nongold
41	make means produce	nongold
42	a surface is a part of a material	nongold
43	a glass contains water	nongold
44	planets reflect the light of the sun	nongold
45	if an object is made of a material then that object has the properties of that material	nongold
46	a surface is a kind of object	nongold
47	glass is a kind of open container	nongold
48	can be means able to be	nongold
49	to bounce back means to reflect	nongold
50	if an object is blue then that object reflects only blue light	nongold
51	if an object reflects light toward the eye then that object can be seen	nongold
52	refraction is a property of light	nongold
53	form means kind	nongold
54	a photon is a kind of  particles	nongold
55	to shine means to emit light	nongold
56	the ability to reflect off of a surface is a kind of characteristic	nongold
57	water causes refraction of light	nongold
58	substances are made of matter	nongold
59	a source of something emits; produces; generates; provides that something	nongold
60	an object is made of its parts	nongold
61	wavelength is a property of wave	nongold
62	emit means send out	nongold
63	absorbance is when a wave absorbs at; stops at a surface	nongold
64	brightness is a property of a light source	nongold
65	phase means state	nongold
66	the function of something is what that something  is used to do	nongold
67	an object has properties	nongold
68	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
69	a device is a kind of object	nongold
70	when light hits a reflective object , that light bounces off that object	nongold
71	if an object is made of something then the parts of that object are made of that something	nongold
72	some lenses are made of glass	nongold
73	light comes to the focal point after passing the convex lens	nongold
74	a piece of something is a kind of object	nongold
75	to give off means to be the source of	nongold
76	UV light is a kind of light	nongold
77	an object; material; substance comes from that object or material's source	nongold
78	eyes are used for seeing by animals by sensing light	nongold
79	an part of an object is smaller than the entire object	nongold
80	light is a kind of energy	nongold
81	light is a kind of energy	nongold
82	eyes are a part of a human for seeing	nongold
83	material means substance	nongold
84	as lightness in color of an object increases , the ability of that object to reflect light will increase	nongold
85	water is a kind of medium for light	nongold
86	frequency is a property of a wave; a particel of light; an event	nongold
87	the moon reflects sunlight towards the Earth	nongold
88	clear glass is transparent	nongold
89	lenses are a kind of object	nongold
90	a container contains objects; material; substances	nongold
91	water is a kind of matter	nongold
92	to make means to form	nongold
93	affected means changed	nongold
94	seeing requires light	nongold
95	if an object is translucent , then some light will shine through that object	nongold
96	to emit means to release	nongold
97	light enters the eye through the pupil	nongold
98	matter is made of molecules	nongold
99	room contains walls	nongold
