Question	Many natural rock formations change color over time. In Utah, for example, iron oxidized and formed red, orange, and yellow rock. Which of the following is the cause of this change?	question
Answer	chemical weathering	answer
0	orange is a kind of color	nongold
1	yellow is a kind of color	nongold
2	red is a kind of color	nongold
3	chemical weathering causes iron in rock to oxidize	gold
4	Utah is a state located in the United States of America	nongold
5	chemical weathering is a kind of weathering	nongold
6	sulfur is yellow in color	nongold
7	green is a kind of color	nongold
8	a landform is a kind of natural formation	nongold
9	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
10	iron is a kind of solid	nongold
11	to cause the formation of means to form	nongold
12	a rock is usually a solid	nongold
13	purple;violet;magenta is a kind of color	nongold
14	blue is a kind of color	nongold
15	iron is a kind of element	nongold
16	color is a kind of physical; visual property	nongold
17	if the color of a substance changes then a chemical change may have occurred	nongold
18	acid can cause chemical change	nongold
19	all minerals are formed by natural geological processes	nongold
20	forming something is a kind of change	nongold
21	chemical reactions cause chemical change	nongold
22	iron is a kind of metal	nongold
23	color is a property of  an object; a material	nongold
24	weathering; erosion usually occurs over a period of many years	nongold
25	products are formed; are produced; are created	nongold
26	weathering is a kind of erosion	nongold
27	to change means to cause a change	nongold
28	iron is a kind of mineral	nongold
29	chemical change is the opposite of physical change	nongold
30	to be made of something means to be formed of that something	nongold
31	to be formed by is similar to being produced by	nongold
32	an increase is a kind of change	nongold
33	chemical reactions cause new substances; different substances to form	nongold
34	rock is made of minerals	nongold
35	rock is a kind of material	nongold
36	a metal is a kind of element	nongold
37	organic is similar to natural	nongold
38	forming is similar to converting	nongold
39	to be a source of something means to cause that something	nongold
40	if an object undergoes chemical change then that object will have new chemical properties	nongold
41	metal is a kind of substance	nongold
42	coloration means a thing's color	nongold
43	an earthquake is a kind of natural; geological event	nongold
44	white is a kind of color	nongold
45	a mineral is a kind of solid; natural material	nongold
46	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
47	temperature changing does not cause color to change	nongold
48	to change into means to form	nongold
49	black is a kind of color	nongold
50	class is a measure of how a rock is formed	nongold
51	substances are made of matter	nongold
52	if the component of something changed , then the whole thing will change	nongold
53	a source of something emits; produces; generates; provides that something	nongold
54	when a metal rusts , that metal becomes orange; flaky on the surface	nongold
55	rocks often contain large amounts of metal	nongold
56	chemical change is a kind of chemical reaction	nongold
57	substances are made of elements	nongold
58	to cause means to make	nongold
59	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
60	to be formed by is to be the result of	nongold
61	materials are made of matter	nongold
62	weathering occurs at the surface of the Earth	nongold
63	carbon is a kind of element	nongold
64	solid is a kind of state of matter	nongold
65	different types of matter have different chemical properties	nongold
66	rock means stone	nongold
67	a decrease is a kind of change	nongold
68	rocks sometimes contain iron	nongold
69	brown is a kind of color	nongold
70	compound is a kind of chemical	nongold
71	chemicals means substances	nongold
72	a cheetah is a kind of animal	nongold
73	erosion is a kind of change	nongold
74	saturation of oxygen means oxidized	nongold
75	a rock is a kind of object	nongold
76	reducing is a kind of change	nongold
77	to convert means to change	nongold
78	color is an intensive property	nongold
79	composed of means made of	nongold
80	iron sulfide is made of iron and sulfur	nongold
81	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
82	an orange tree is a kind of tree	nongold
83	to create means to make	nongold
84	no longer means used to be	nongold
85	to form means to create	nongold
86	An example of a chemical change is acid breaking down substances	nongold
87	natural events usually cause changes to Earth's surface	nongold
88	a change is a kind of event	nongold
89	to turn means to change	nongold
90	high is similar to increase	nongold
91	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
92	the color of an environment means the color of the things that environment contains	nongold
93	metal is a kind of natural resource	nongold
94	substances have chemical properties	nongold
95	different classes of rocks are formed by different methods	nongold
96	phase changes do not change mass	nongold
97	sulfur is a kind of element	nongold
98	if something is made of something else then the formation of that something requires that something else	nongold
99	carbon dioxide is colorless	nongold
