Question	During which change of state do the particles of a substance move from being tightly packed together to having more freedom of movement?	question
Answer	a solid becoming a liquid	answer
0	a phase change is when matter; a substance changes from one state of matter into another state of matter	gold
1	matter; materials; substances are made of atoms; particles	gold
2	motion; movement means moving; to move	nongold
3	solid is a kind of state of matter	gold
4	a solid is a kind of substance	nongold
5	tightly packed is similar to close	gold
6	phase means state	nongold
7	liquid is a kind of state of matter	gold
8	temperature is a measure of heat energy	nongold
9	a particle is a kind of object	nongold
10	ability to undergo a phase change is a property of a substance; material	nongold
11	particles in objects are a kind of matter	nongold
12	increase means more	nongold
13	movement is a kind of change	nongold
14	becoming is similar to changing	nongold
15	particles in a solid are closer together than particles in a liquid	gold
16	atoms are made of particles	nongold
17	an increase is a kind of change	nongold
18	a liquid is a kind of substance	nongold
19	a phase change is a kind of physical change	nongold
20	an increase is the opposite of a decrease	nongold
21	particles in a liquid have more kinetic energy than particles in a solid	nongold
22	state of matter means physical state	nongold
23	physical state means state of matter	nongold
24	particles in a liquid flows past each other	nongold
25	shift means move	nongold
26	heat means heat energy	nongold
27	heat energy can change the state of matter	nongold
28	a decrease is a kind of change	nongold
29	to add means to increase	nongold
30	material means substance	nongold
31	high is similar to increase	nongold
32	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
33	to compact together means to squeeze together	nongold
34	substances are made of matter	nongold
35	freezing is a kind of phase change	nongold
36	gas is a kind of state of matter	nongold
37	objects are made of materials; substances; matter	nongold
38	evaporating is a kind of phase change	nongold
39	variable means able to change	nongold
40	particles in a liquid are close to each other	nongold
41	particles in a liquid are closer together than particles in a gas	nongold
42	to turn means to change	nongold
43	less is similar to decrease	nongold
44	to lower means to decrease	nongold
45	state means form	nongold
46	moving is similar to travelling	nongold
47	a motion is a kind of event; action	nongold
48	a living thing is a kind of object	nongold
49	temperature is a measure of kinetic energy of molecules	nongold
50	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
51	to change means to become different	nongold
52	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
53	becoming is a kind of action	nongold
54	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
55	heat means temperature increases	nongold
56	to slow; to slow down decreases speed	nongold
57	particles in a gas have more kinetic energy than particles in a liquid	nongold
58	revolving is a kind of motion	nongold
59	if something undergoes a physical change then the physical properties of that something will change	nongold
60	as the amount of heat energy of a substance; of an object increases , the amount of kinetic energy will increase	nongold
61	pulling is a kind of motion	nongold
62	stay the same means not changing	nongold
63	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
64	flowing is a kind of motion	nongold
65	heat is a kind of energy	nongold
66	particles in a solid are slower than particles in a liquid	gold
67	boiling is a kind of phase change	nongold
68	a source of something increases the amount of that something	nongold
69	less is the opposite of more	nongold
70	rotation is a kind of motion	nongold
71	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
72	state of matter at room temperature is a kind of physical property	nongold
73	as the  amount of heat energy of a substance; of an object decreases , the amount of kinetic energy will decrease	nongold
74	faster means an increase; higher in speed	nongold
75	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
76	turning is a kind of motion	nongold
77	to reduce means to decrease	nongold
78	speed is a measure of how fast an object is moving	nongold
79	becoming is similar to forming	nongold
80	formation of a state of matter is a kind of process	nongold
81	phase changes do not change mass	nongold
82	less means a reduced amount	nongold
83	motion is a source of kinetic energy in an object	nongold
84	a molecule is a kind of particle	nongold
85	if a substance is mixed with another substance then those substances will undergo physical change	nongold
86	to limit means to decrease	nongold
87	motion is when moves an object; something to a direction	nongold
88	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
89	change is a kind of process	nongold
90	to happen means to occur	nongold
91	low is similar to decrease	nongold
92	a rotation is a kind of movement	nongold
93	water is a kind of liquid at room temperature	nongold
94	temperature changing can cause phase changes	nongold
95	affected means changed	nongold
96	state of matter is a kind of physical property	nongold
97	as state of matter changes , mass will not change	nongold
98	to change means to cause a change	nongold
99	changed is the opposite of unchanged	nongold
