Question	Which of these best defines communicable diseases?	question
Answer	They are spread to others.	answer
0	a communicable disease can be spread from one person to  other people through contact	gold
1	disease means illness	nongold
2	best means most positive	nongold
3	an animal is a kind of organism	nongold
4	a human is a kind of animal	nongold
5	virus is a kind of living thing	nongold
6	an animal is a kind of living thing	nongold
7	an organism is a living thing	nongold
8	answering questions requires information	nongold
9	a fungus is a kind of organism	nongold
10	better means good	nongold
11	human is a kind of organism	nongold
12	a fungus is a kind of living thing	nongold
13	pathogens can cause disease	nongold
14	a plant is a kind of organism	nongold
15	good means positive	nongold
16	commensalism has a positive impact on one organism while not harming the other organism	nongold
17	the properties of something are used for describing that something	nongold
18	a type is synonymous with a kind	nongold
19	death means to die	nongold
20	spreading is a kind of motion	nongold
21	an autoimmune disease is when the body attacks its own tissues	nongold
22	an event is a kind of action	nongold
23	a living thing is a kind of object	nongold
24	life means living things	nongold
25	disease has a negative impact on an organism	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	human is similar to individual	nongold
28	a bacterium is a kind of organism	nongold
29	to give is similar to to cause	nongold
30	high is similar to increase	nongold
31	a description sometimes provides information	nongold
32	can be means able to be	nongold
33	a kind of something is classified as that something	nongold
34	classifying is when one sorts something by kind; type	nongold
35	a disperser disperses	nongold
36	form means kind	nongold
37	a mushroom is a kind of fungus	nongold
38	a process is a kind of event	nongold
39	information is used to describe something	nongold
40	a component means a part of	nongold
41	increase means more	nongold
42	a component of something means a part of that something	nongold
43	emit means produce	nongold
44	a plant is a kind of living thing	nongold
45	dysentery is a kind of illness	nongold
46	person is synonymous with human	nongold
47	usually means most of the time	nongold
48	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
49	causing is a kind of affecting	nongold
50	harming something has a  negative impact on; effect on that something	nongold
51	to be formed by is similar to being produced by	nongold
52	a part of a process means a stage in a process	nongold
53	commuting is a kind of activity	nongold
54	state means form	nongold
55	to be a source of something means to cause that something	nongold
56	food poisoning is a kind of illness	nongold
57	if something is caused by something else , then that something can be explained by that something else	nongold
58	events occur at a specific place; at a specific time; with a specific frequency	nongold
59	affected means changed	nongold
60	something's function can be used to describe; identify that something	nongold
61	a structure of something is synonymous with a part of that something	nongold
62	most means over 50% of something	nongold
63	to cause an event is similar to being involved in that event	nongold
64	due to means caused by	nongold
65	bacteria; viruses cause food poisoning	nongold
66	producing is similar to discharging	nongold
67	aspect of something is similar to part of something	nongold
68	an environment means an area	nongold
69	nonliving; non-living; die is the opposite of living; alive; live	nongold
70	system means a set of objects	nongold
71	to enable is similar to cause	nongold
72	out is synonymous with outside	nongold
73	impact means effect	nongold
74	producing is similar to causing	nongold
75	bacteria is a kind of living thing	nongold
76	to help; to benefit means to be of use	nongold
77	material means substance	nongold
78	dead organisms are a source of disease	nongold
79	denser means more dense	nongold
80	to tell the difference between things means to classify those things	nongold
81	something that happens is a kind of event	nongold
82	made up of means contains; made of	nongold
83	a law is a kind of scientific term	nongold
84	negative impact is the opposite of positive impact	nongold
85	to be made of something means to be formed of that something	nongold
86	all the other means the rest of	nongold
87	pathogen is similar to harmful substance	nongold
88	not is similar to the opposite of	nongold
89	a theory is a kind of scientific term	nongold
90	if something is made by something else then that something is affected by that something else	nongold
91	causing means influencing	nongold
92	a hypothesis is a kind of scientific term	nongold
93	both means two	nongold
94	a process usually requires all of the stages in that process	nongold
95	if something causes an increase in something else then that something produces that something else	nongold
96	a motion is a kind of event; action	nongold
97	to cause means to have an effect	nongold
98	a kind of something is an example of that something	nongold
99	determine is similar to cause	nongold
