Question	Which of the following best explains how stems transport water to other parts of the plant?	question
Answer	through a system of tubes	answer
0	a plant stem contains a system of tubes for transporting water and nutrients to other parts of the plant	gold
1	a tube is a vehicle for transporting liquids	nongold
2	a tube is used for transporting liquids	nongold
3	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	gold
4	to transfer is similar to transport	nongold
5	transport means to move; to make travel	nongold
6	a stem is used to store water by some plants	nongold
7	to carry means to transport	nongold
8	a stem is often a part of plant	nongold
9	arteries; veins transport nutrients; water; minerals throughout the body	nongold
10	transportation technology is used for moving people; products	nongold
11	to bring means to transport	nongold
12	sending a fluid; a liquid through a channel; through a pipe causes that fluid; that liquid to flow through that channel; through that pipe	nongold
13	transporting is a kind of function	nongold
14	plant parts are made of plants	nongold
15	if something is transported to something else then that something else receives that something	nongold
16	transporting materials through a plant is a kind of function	nongold
17	transportation technology is a kind of system for moving people and products	nongold
18	a column is a kind of tube	nongold
19	vegetation means plants	nongold
20	to ship means to transport	nongold
21	water is a kind of substance	nongold
22	xylem carries water from the roots of a plant to the leaves of a plant	nongold
23	to flow is similar to to transfer	nongold
24	special tissues in plants transport food; water; minerals throughout the plant	nongold
25	a plant is a kind of living thing	nongold
26	a channel contains moving water	nongold
27	if something transfers something else then that something is a source of something else	nongold
28	a body of water is a source of water	nongold
29	to run through means to transfer	nongold
30	to transfer means to bring; to get something to	nongold
31	plants control the amount of water in their leaves through transpiration	nongold
32	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
33	xylem transports materials through the plant	nongold
34	a tree is a kind of plant	nongold
35	a leaf is a part of a  green plant	nongold
36	a tube is a kind of hollow object	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	a vehicle is a kind of tool for travel; transport	nongold
39	a tube-like body has a positive impact on moving through soil	nongold
40	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
41	phloem transports materials through the plant	nongold
42	roots are a part of a plant; tree	nongold
43	transferring is moving from one place to another place	nongold
44	if something transports something else then that something removes that something else from a place	nongold
45	In the water cycle , transportation can follow condensation	nongold
46	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
47	a leaf is a kind of plant	nongold
48	if something is caused by something else , then that something can be explained by that something else	nongold
49	a part of a process means a stage in a process	nongold
50	the function of something is what that something  is used to do	nongold
51	a body of water contains water	nongold
52	water is a kind of liquid at room temperature	nongold
53	a plants; living things require water for survival; to grow	nongold
54	a river is a kind of channel for water	nongold
55	an organism is a living thing	nongold
56	travel means to move	nongold
57	water is a part of an environment	nongold
58	to carry means to move something	nongold
59	answering questions requires information	nongold
60	transferring is similar to supplying	nongold
61	water is a kind of water phase	nongold
62	a leaf is a part of a tree	nongold
63	a plant is a kind of organism	nongold
64	a cactus stem is used for storing water	nongold
65	animals; living things require water for survival	nongold
66	system means a set of objects	nongold
67	a source of something supplies that something	nongold
68	a worm has a tube-like body	nongold
69	media; medium means the material something travel through	nongold
70	transporting nutrients, water, and minerals is a kind of function	nongold
71	an object; material; substance comes from that object or material's source	nongold
72	a supply of something is a source of that something	nongold
73	green plants are a kind of producer	nongold
74	water is a kind of object	nongold
75	ground water is a kind of water	nongold
76	something that contains water is similar to a body of water	nongold
77	the properties of something are used for describing that something	nongold
78	transfer is a kind of process	nongold
79	a pipe is a kind of object	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	a stem is a source of support for a plant	nongold
82	aquatic animals; plants live in bodies of water	nongold
83	a tree is a kind of living thing	nongold
84	if something releases something else then that something is the source of that something else	nongold
85	rainwater is a kind of water	nongold
86	affected means changed	nongold
87	a branch is a part of a tree	nongold
88	a mechanism is a kind of system that performs a function	nongold
89	if an object is made of something then the parts of that object are made of that something	nongold
90	water is a kind of matter	nongold
91	a vehicle is used for transportation	nongold
92	a process is a kind of event	nongold
93	soil contains water; humus; weathered rocks; organic matter	nongold
94	a living thing is a kind of object	nongold
95	an animal is a kind of living thing	nongold
96	a component of something means a part of that something	nongold
97	best means most positive	nongold
98	a vine is a kind of stem	nongold
99	heat means heat energy	nongold
