Question	In making a pizza, which process involves a chemical change?	question
Answer	baking the dough to form the crust	answer
0	chemical reactions cause chemical change	gold
1	acid can cause chemical change	nongold
2	bread is a kind of food	nongold
3	to make means to form	nongold
4	dough is a kind of food	nongold
5	chemical reactions cause new substances; different substances to form	nongold
6	chemical change is the opposite of physical change	nongold
7	chemicals means substances	nongold
8	to change into means to form	nongold
9	cooking causes a chemical reaction	gold
10	a cake is a kind of baked product	nongold
11	to be made of something means to be formed of that something	nongold
12	to convert means to change	nongold
13	forming something is a kind of change	nongold
14	change is a kind of process	nongold
15	cooking is a kind of process	gold
16	to change means to cause a change	nongold
17	baking is when a human makes food by adding heat	nongold
18	combining; mixing two substances chemically causes chemical reactions	nongold
19	baking is similar to cooking	gold
20	flour is a kind of substance	nongold
21	pasteurization is a kind of process	nongold
22	adding something is a kind of change	nongold
23	chemical change is a kind of chemical reaction	nongold
24	An example of a chemical change is acid breaking down substances	nongold
25	photosynthesis is a kind of chemical  process	nongold
26	a dessert is a kind of food	nongold
27	substances have chemical properties	nongold
28	photosynthesis is a kind of chemical reaction	nongold
29	make means produce	nongold
30	the formation of something is a kind of process	nongold
31	to cause the formation of means to form	nongold
32	forming is similar to converting	nongold
33	to cause means to make	nongold
34	most chemical reactions release or absorb heat energy	nongold
35	decomposition is a kind of process	nongold
36	a chemical reaction is a kind of process	nongold
37	producing is a kind of process	nongold
38	products are formed; are produced; are created	nongold
39	form means kind	nongold
40	if an object undergoes chemical change then that object will have new chemical properties	nongold
41	food is a kind of substance	nongold
42	adding heat to an object sometimes causes chemical reactions	nongold
43	affected means changed	nongold
44	a part of a process means a stage in a process	nongold
45	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
46	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
47	a process is a kind of event	gold
48	if something causes a process then that something is required for that process	nongold
49	a producer is a kind of living thing	nongold
50	substances are made of elements	nongold
51	dough is a kind of mixture of sugar, butter, flour and salt	nongold
52	a change is a kind of event	nongold
53	cooking is a kind of action	nongold
54	if the component of something changed , then the whole thing will change	nongold
55	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
56	combustion is a kind of chemical change	nongold
57	a vegetable is a kind of food	nongold
58	a  chemical property is a kind of  property	nongold
59	food is what an animal eats	nongold
60	objects are made of materials; substances; matter	nongold
61	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
62	material composition is a kind of chemical property	nongold
63	material means substance	nongold
64	alteration means change	nongold
65	if something undergoes physical change then the chemical properties of that something will remain unchanged	nongold
66	a source of something emits; produces; generates; provides that something	nongold
67	if something is made of something; a material then that something contains that something; that material	nongold
68	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
69	chemical composition is a kind of property	nongold
70	composed of means made of	nongold
71	to form means to create	nongold
72	an increase is a kind of change	nongold
73	heat means heat energy	nongold
74	conversion is a kind of process	nongold
75	composition is a property of an object; matter	nongold
76	chemical reaction means chemical bonds change	nongold
77	made up of means contains; made of	nongold
78	all elements are a kind of pure substance	nongold
79	action can cause change	nongold
80	a chemical property is the opposite of a physical property	nongold
81	a reaction is a kind of process	nongold
82	to be formed by is similar to being produced by	nongold
83	melting is a kind of process	nongold
84	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
85	a food contains nutrients for living things	nongold
86	converting is similar to producing	nongold
87	nutrients are a kind of matter	nongold
88	formation of a state of matter is a kind of process	nongold
89	an event is a kind of action	nongold
90	to modify means to change	nongold
91	to eat means to consume food	nongold
92	to be made of means to consist of	nongold
93	food is a kind of object	nongold
94	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
95	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
96	cheese is a kind of food	nongold
97	An example of a chemical property is how a material reacts chemically	nongold
98	synthesize means to make	nongold
99	production is similar to making	nongold
