Question	What is the relationship between tissues and organs?	question
Answer	Organs are made from different types of tissues.	answer
0	a type is synonymous with a kind	nongold
1	organs are made of different types of  cellular tissues	gold
2	if two things are made from the same objects; material then those two things are similar	nongold
3	the body is a part of an organism	nongold
4	composed of means made of	nongold
5	an animal is a kind of living thing	nongold
6	an organism is a living thing	nongold
7	to change means to become different	nongold
8	different is the opposite of the same	nongold
9	if an object is made of something then the parts of that object are made of that something	nongold
10	a living thing is a kind of object	nongold
11	made of is similar to is built from	nongold
12	if something comes from something else then that something else is a source of that something	nongold
13	a relationship occurs when two or more things interact with one another	nongold
14	different cellular tissues are made of different types of  somatic cells	nongold
15	an organ system is made of different parts of the body working together	nongold
16	a structure of something is synonymous with a part of that something	nongold
17	an object; material; substance comes from that object or material's source	nongold
18	where something  comes from is a source of that something	nongold
19	variety means different kinds; different types	nongold
20	organ system means body system	nongold
21	providing something means making;delivering something	nongold
22	a component of something means a part of that something	nongold
23	an animal is a kind of organism	nongold
24	objects are made of materials; substances; matter	nongold
25	an object is made of its parts	nongold
26	classifying is when one sorts something by kind; type	nongold
27	a component means a part of	nongold
28	make means produce	nongold
29	to be made of something means to be formed of that something	nongold
30	opposite is a kind of different	nongold
31	internal organs are a part of the body	nongold
32	a body system is a part of the body; an animal	nongold
33	organs are a smaller level of organization than organ systems in living things	nongold
34	tissues are a smaller level of organization than organs in living things	nongold
35	different materials usually have different properties	nongold
36	if something is made of something else , then that something else will be the component of that something	nongold
37	a body part is a kind of object	nongold
38	an part of an object is smaller than the entire object	nongold
39	can be means able to be	nongold
40	if something is made of something else then that something can be broken down into that something else	nongold
41	form means kind	nongold
42	made of is similar to contains	nongold
43	category means kind	nongold
44	made up of means contains; made of	nongold
45	answering questions requires information	nongold
46	classifying means grouping objects; materials by their properties	nongold
47	a producer is a kind of living thing	nongold
48	location is a kind of relationship	nongold
49	if something is made of something; a material then that something contains that something; that material	nongold
50	to belong to a class means to be a kind of something	nongold
51	to be formed by is similar to being produced by	nongold
52	if two objects are made of similar materials then one of those objects may be formed from material from the other object	nongold
53	the stomach is a kind of organ	nongold
54	to vary means to differ	nongold
55	the endocrine system is a kind of body; organ system	nongold
56	a living thing is made of cells	nongold
57	identical is the opposite of different	nongold
58	a kind of something is an example of that something	nongold
59	if something is made by something else then that something is affected by that something else	nongold
60	the digestive system is a kind of body; organ system	nongold
61	cells are a part of the body	nongold
62	creating means making	nongold
63	trait is synonymous with characteristic	nongold
64	if two or more things are in a relationship then those things impact each other	nongold
65	a part of something means a characteristic of something	nongold
66	structure is a property of an object; a material; a substance	nongold
67	the integumentary system is a kind of body; organ system	nongold
68	a liver is a kind of organ	nongold
69	to be made of means to consist of	nongold
70	if two objects are composed of similar materials then those objects may have come from the same source	nongold
71	products are formed; are produced; are created	nongold
72	a human is a kind of animal	nongold
73	provide is similar to give; make	nongold
74	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
75	life means living things	nongold
76	materials are made of matter	nongold
77	another means different	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	composition means the (materials, substances) of which something is composed	nongold
80	a brain is a kind of internal organ	nongold
81	developing means making	nongold
82	to vary means to change	nongold
83	affected means changed	nongold
84	to create means to make	nongold
85	the muscular system is a kind of body; organ system	nongold
86	a body system is a kind of object	nongold
87	converting is similar to producing	nongold
88	not is similar to the opposite of	nongold
89	if something is not the same as something else then that something is different from that something else	nongold
90	if two objects are apart from each other then matter is between those two objects	nongold
91	to contain means to have inside	nongold
92	unit is similar to part	nongold
93	a heart is a kind of organ	nongold
94	to be made of is similar to collection	nongold
95	to cause means to make	nongold
96	high is similar to increase	nongold
97	usually means most of the time	nongold
98	if something is a part of something else then that something else contains that something	nongold
99	variable means able to change	nongold
