Question	Which fact about water is an example of a chemical property?	question
Answer	Water can separate into hydrogen and oxygen.	answer
0	a  chemical property is a kind of  property	nongold
1	water is made of hydrogen and oxygen	nongold
2	a kind of something is an example of that something	nongold
3	to group means to separate	nongold
4	to disperse means to separate	nongold
5	oxygen  is a kind of element	gold
6	hydrogen is a kind of element	gold
7	to decompose means to separate	nongold
8	a compound can be chemically separated into the elements that it is made of	gold
9	water is a kind of compound	gold
10	water is a kind of matter	nongold
11	decomposing is similar to separating	nongold
12	water is a kind of substance	nongold
13	water is a kind of liquid at room temperature	nongold
14	if something is insoluble in something , then they will remain separated	nongold
15	a chemical property is the opposite of a physical property	nongold
16	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
17	a bonding property is a kind of chemical property	nongold
18	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
19	water contains dissolved oxygen	nongold
20	separating is similar to breaking	nongold
21	An example of a chemical property is the elements a compound is made of	gold
22	hydrogen is a kind of gas at room temperature	nongold
23	substances have chemical properties	nongold
24	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
25	nitrogen is a kind of gas	nongold
26	when two substances together form a compound then those substances cannot be physically separated	nongold
27	oxygen is a part of many organic molecules	nongold
28	nitrogen is a kind of element	nongold
29	oxygen is a kind of gas at room temperature	nongold
30	chemical composition is a kind of property	nongold
31	separate is similar to break down	nongold
32	a molecule is made of atoms chemically combined; bonded	nongold
33	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
34	water exists in three states on Earth	nongold
35	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
36	hydrogen contains chemical energy	nongold
37	substances are made of matter	nongold
38	chemical compounds contain chemical bonds between atoms; between elements	nongold
39	a physical property is a kind of property	nongold
40	a mixture of solids can be easily separated	nongold
41	carbon is a kind of element	nongold
42	material composition is a kind of chemical property	nongold
43	atom cannot be divided into smaller substances	nongold
44	combining; mixing two substances chemically causes chemical reactions	nongold
45	a hydrocarbon molecule is made of hydrogen and carbon by being chemically combined	nongold
46	liquid is a kind of state of matter	nongold
47	a body of water contains water	nongold
48	an  element is a kind of atom	nongold
49	gas is a kind of state of matter	nongold
50	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
51	substances are made of molecules	nongold
52	if something is made of something else then that something can be broken down into that something else	nongold
53	the nitrogen family is a kind of group in periodic table	nongold
54	matter is made of molecules	nongold
55	combustibility is a kind of  chemical property	nongold
56	oxygen gas is made of only  oxygen element	nongold
57	oxygen; selenium; sulfur; tellurium; polonium is located in group 16; oxygen family on the periodic table	nongold
58	an element is made of one kind of atoms	nongold
59	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
60	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
61	matter; materials; substances are made of atoms; particles	nongold
62	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
63	materials are made of matter	nongold
64	an atom is a kind of object	nongold
65	state means form	nongold
66	composed of means made of	nongold
67	composition is a property of an object; matter	nongold
68	chlorine is a kind of element	nongold
69	compound is a kind of chemical	nongold
70	the Earth's atmosphere is made of 78 percent nitrogen by mass	nongold
71	flammability is a kind of chemical property	nongold
72	chemical reactions cause new substances; different substances to form	nongold
73	a compound is made of two or more elements that have been chemically combined	nongold
74	a  gas is a kind of  element	nongold
75	can be means able to be	nongold
76	to split means to break down	nongold
77	solid is a kind of state of matter	nongold
78	chemical reactions cause chemical change	nongold
79	gas is a kind of substance	nongold
80	state of matter is a kind of physical property	nongold
81	the chemistry of something is similar to what that something is made of	nongold
82	all elements are a kind of pure substance	nongold
83	reaction to light is a kind of chemical property	nongold
84	to be characterized by  a property means to have that property	nongold
85	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
86	An example of a chemical property is how a material reacts chemically	nongold
87	structure is a property of an object; a material; a substance	nongold
88	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
89	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	electron configuration is a property of elements	nongold
92	state of matter at room temperature is a kind of physical property	nongold
93	N means nitrogen	nongold
94	a pure substance is made of only one kind of atom; molecule	nongold
95	both means two	nongold
96	approximately means about	nongold
97	nitrogen; arsenic; phosphorus; antimony is found in the nitrogen family on the periodic table	nongold
98	ammonia is made of nitrogen and hydrogen	nongold
99	elements in the same group on the Periodic Table of Elements have similar chemical properties	nongold
