Question	Which event is the best example of mechanical energy?	question
Answer	a wagon rolling down a hill	answer
0	rolling is a kind of motion	gold
1	An example of mechanical energy is an object in motion	gold
2	a wagon is a kind of vehicle	gold
3	mechanical energy is a kind of energy	nongold
4	a roll is a kind of movement	nongold
5	mechanical energy can  cause objects to move	nongold
6	a motion is a kind of event; action	gold
7	rolling down a ramp is a kind of rolling	nongold
8	an event is a kind of action	nongold
9	mechanical energy is used to move something by animals	nongold
10	a hill is a kind of incline	nongold
11	a kind of something is an example of that something	nongold
12	a hill is a kind of place	nongold
13	rolling over is a kind of action	nongold
14	kinetic energy is a kind of mechanical energy	nongold
15	rolling down is similar to falling	nongold
16	a vehicle is a kind of object	gold
17	something that happens is a kind of event	nongold
18	mechanical force is a kind of mechanical energy	nongold
19	An example of an object with kinetic energy is an object in motion	nongold
20	a change is a kind of event	nongold
21	a vehicle is used for transportation	nongold
22	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
23	motion; movement means moving; to move	nongold
24	transport means to move; to make travel	nongold
25	a road is a kind of object	nongold
26	heat is a kind of energy	nongold
27	an automobile is a kind of vehicle	nongold
28	as an object is moving down , the speed of the object  will increase	nongold
29	an animal requires energy to move	nongold
30	mechanical energy exerted by an object can be used to push or pull another object	nongold
31	rising is a kind of motion	nongold
32	wheels are a part of a car	nongold
33	gravity accelerates an object while that object falls by pulling on it	nongold
34	a vehicle is used for travel	nongold
35	events occur at a specific place; at a specific time; with a specific frequency	nongold
36	sound is a kind of energy	nongold
37	a simple machine requires mechanical energy to function	nongold
38	a vehicle is a kind of tool for travel; transport	nongold
39	speed is a measure of how fast an object is moving	nongold
40	a process is a kind of event	nongold
41	electrical energy is a kind of energy	nongold
42	hills are a kind of small mountain	nongold
43	motion is a source of kinetic energy in an object	nongold
44	to travel up means to rise	nongold
45	lowering is a kind of motion	nongold
46	travel means to move	nongold
47	a wheel is a kind of object	nongold
48	a mountain; hill is taller than the land around it	nongold
49	a cart is a kind of object	nongold
50	vibration is a kind of motion	nongold
51	downhill means down	nongold
52	event is similar to occurrence	nongold
53	a human is a kind of animal	nongold
54	downward means down	nongold
55	sound is a kind of sound energy	nongold
56	low means down	nongold
57	distance moved; distance travelled is a measure of how far an object moves	nongold
58	a car is a kind of object	nongold
59	to happen means to occur	nongold
60	rising means elevation	nongold
61	a car is a kind of vehicle	nongold
62	an animal is a kind of living thing	nongold
63	a machine is a kind of object	nongold
64	moving is similar to travelling	nongold
65	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
66	sliding is a kind of motion	nongold
67	raising is a kind of motion	nongold
68	if an object is at rest at the top of an incline then that object's mechanical energy is all potential	nongold
69	to slow; to slow down decreases speed	nongold
70	a mountain is taller than a hill	nongold
71	resources sometimes are used for energy	nongold
72	a car moves on a road	nongold
73	a living thing is a kind of object	nongold
74	a tire moves against the road	nongold
75	friction converts mechanical energy into heat energy	nongold
76	a load is a kind of object	nongold
77	a hill is more rounded than a mountain	nongold
78	a velocity is a measure of a speed in a direction	nongold
79	up means upward	nongold
80	affected means changed	nongold
81	sound is produced when mechanical energy is transformed into sound energy	nongold
82	riding something is a kind of movement	nongold
83	a horse is a kind of animal	nongold
84	skidding is a kind of motion	nongold
85	a source of something emits; produces; generates; provides that something	nongold
86	sound means sound energy	nongold
87	force requires energy	nongold
88	rising means moving upward	nongold
89	falling means moving downward	nongold
90	an engine is a part of an automobile	nongold
91	carrying something means moving that something	nongold
92	railroad tracks are a kind of object	nongold
93	an increase is a kind of change	nongold
94	a wheel and axle is a kind of simple machine	nongold
95	mechanical weathering is a kind of weathering	nongold
96	riding is a kind of motion	nongold
97	thermal energy is a kind of energy	nongold
98	if an event occurs by adding something then that event requires that something	nongold
99	heat means heat energy	nongold
