Question	Earth's rotation	question
Answer	the Moon to appear as different shapes.	answer
0	a moon is a kind of celestial object; body	nongold
1	the moon rotates on its axis	nongold
2	the Moon is Earth's moon	nongold
3	Earth is a kind of planet	gold
4	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
5	rotation is a kind of motion	nongold
6	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
7	the Earth rotates on its axis	nongold
8	rotate means turn	nongold
9	moons are large; solid; spherical	nongold
10	the moon orbits the Earth	nongold
11	a Rotation of the Earth on Earth's axis; itself takes 1; one day	gold
12	rotating is similar to moving	nongold
13	a rotation is a kind of movement	nongold
14	to change means to become different	nongold
15	type of moon; kind of moon means moon phase	nongold
16	occur is similar to appear	nongold
17	to rotate means to complete a rotation	nongold
18	a planet is a kind of celestial object; body	nongold
19	a rotation of the moon takes 1; one month	nongold
20	structure is similar to shape	nongold
21	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
22	appearing is similar to seeming	nongold
23	the phases of the Moon change the appearance of the Moon	nongold
24	how something  appears is how that something  looks	nongold
25	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
26	a full moon is a kind of phase of the moon	nongold
27	Earth rotating on its axis occurs once per day	nongold
28	revolving is a kind of motion	nongold
29	different celestial body has different gravity	nongold
30	the Earth revolves around the sun	nongold
31	a revolution of the moon around the Earth takes 1; one month	nongold
32	the moon is the celestial object that is closest to the  Earth	nongold
33	shape is a kind of physical property	nongold
34	shape of the parts of something is a property of that something	nongold
35	another means different	nongold
36	shape is a kind of characteristic	nongold
37	shape is a property of an object	nongold
38	two objects are usually different in size	nongold
39	some celestial bodies rotate in space	nongold
40	a revolution occurs when something revolves around something else	nongold
41	the earth has more mass than the moon	nongold
42	refraction causes something to appear; to look different	nongold
43	Earth's revolution is a kind of cycle	nongold
44	appear is similar to apparent	nongold
45	different is the opposite of the same	nongold
46	a motion is a kind of event; action	nongold
47	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	gold
48	a circle is a kind of shape	nongold
49	the moon reflects sunlight towards the Earth	nongold
50	a planet's  moon is smaller than that planet	nongold
51	the new moon is when the lighted half of the moon faces the Sun	nongold
52	a new moon is a kind of phase of the moon	nongold
53	to look like means to have the visual properties of	nongold
54	a planet rotating causes cycles of day and night on that planet	gold
55	rotate is similar to revolve	nongold
56	turning is a kind of motion	nongold
57	a full moon occurs after a waxing gibbous moon	nongold
58	motion; movement means moving; to move	nongold
59	moons; comets; planets are part of the solar system	nongold
60	irregular is a kind of shape	nongold
61	can be means able to be	nongold
62	the Moon completes a lunar cycle over a period of 29 days	nongold
63	the moon's orbit is elliptical	nongold
64	a phase of the moon is a kind of state	nongold
65	rotation  is  the  circular movement of an object around a center; axis	nongold
66	round means circular in shape	nongold
67	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
68	to turn means to change	nongold
69	the new moon is when the dark half of the moon faces the Earth	nongold
70	the Moon is closer to the Earth than the Sun	nongold
71	lunar phase is synonymous with moon phase	nongold
72	circular means having the shape of a circle	nongold
73	setting is a kind of motion	gold
74	a moon phase is a kind of natural event	nongold
75	definite shape means the shape of an object stays the same when moved to different spot	nongold
76	shape is an extensive property	nongold
77	a landform is a kind of object	nongold
78	a type is synonymous with a kind	nongold
79	an increase is a kind of change	nongold
80	an animal is a kind of living thing	nongold
81	a waning crescent is a kind of phase of the moon	nongold
82	to create means to make	nongold
83	a kind of something is an example of that something	nongold
84	to vary means to differ	nongold
85	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
86	classifying means grouping objects; materials by their properties	nongold
87	identical is the opposite of different	nongold
88	opposite is a kind of different	nongold
89	a waxing gibbous is a kind of phase of the moon	nongold
90	the moon rising occurs once per day	nongold
91	each of the moon's phases occurs once per month	nongold
92	spin means rotate	nongold
93	to match means to be the same	nongold
94	form means kind	nongold
95	a living thing is a kind of object	nongold
96	the solar system contains the moon	nongold
97	objects are made of materials; substances; matter	nongold
98	moons orbit planets	nongold
99	Earth's rotation causes time zones	nongold
