Question	Perfume sprayed from a bottle spreads more easily in a warm room of 25°C than in a cool room of 15°C. Which of the following correctly compares perfume molecules at 25°C to those at 15°C?	question
Answer	At 25°C, they are moving faster.	answer
0	faster means an increase; higher in speed	gold
1	faster means increased rate	nongold
2	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	nongold
3	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
4	fastest means greatest in  speed	nongold
5	as temperature increases , the speed of molecules will increase	gold
6	to slow; to slow down decreases speed	nongold
7	fast is the opposite of slow	nongold
8	fast means quickly	nongold
9	comparing requires measuring	nongold
10	temperature is a measure of heat energy	nongold
11	speed is a property of an object and includes values of slow; fast	nongold
12	high speed means fast	nongold
13	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
14	temperature is a measure of kinetic energy of molecules	nongold
15	heat means temperature increases	nongold
16	comparing requires observing that something	nongold
17	motion; movement means moving; to move	nongold
18	perfume is a kind of volatile substance	nongold
19	an increase is the opposite of a decrease	nongold
20	speed is a measure of how fast an object is moving	gold
21	warm up means increase temperature	nongold
22	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
23	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
24	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
25	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
26	adding heat means increasing temperature	nongold
27	cool means cold	nongold
28	warm means medium heat energy; temperature	nongold
29	heat means heat energy	nongold
30	chemicals means substances	nongold
31	increase means more	gold
32	high is similar to increase	nongold
33	a bottle is a kind of object	nongold
34	cooling means temperature decreases	nongold
35	to lower means to decrease	nongold
36	to reduce means to decrease	nongold
37	heating means adding heat	nongold
38	keeping cool means not increasing temperature	nongold
39	substances are made of molecules	nongold
40	warm is the opposite of cool	nongold
41	warmer means greater; higher in temperature; warmth	nongold
42	distance moved; distance travelled is a measure of how far an object moves	nongold
43	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
44	low is similar to decrease	nongold
45	smell is a property of an object; a material; a substance	nongold
46	as an object moves faster , the kinetic energy of that object will increase	nongold
47	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
48	a molecule is a kind of object	gold
49	warm means warm temperature	nongold
50	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
51	reducing is similar to slowing	nongold
52	warm; becoming warm means heat is added	nongold
53	slowest means lowest in  speed	nongold
54	a room is a kind of object	nongold
55	to add means to increase	nongold
56	rate is similar to speed	nongold
57	if an object accelerates then that object will go faster	nongold
58	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
59	a bottle is a kind of container	nongold
60	perfume has a strong odor	nongold
61	spreading is a kind of motion	nongold
62	less is similar to decrease	nongold
63	a liquid is a kind of substance	nongold
64	An example of an adaptation is moving fast	nongold
65	a molecule is a kind of particle	nongold
66	as the kinetic energy of a molecule increases , the temperature will increase	nongold
67	variable means able to change	nongold
68	as an object is moving down , the speed of the object  will increase	nongold
69	an increase is a kind of change	nongold
70	if one surface; one substance; one object touches something then one is exposed to that something	nongold
71	speed up means increase	nongold
72	a human is a kind of animal	nongold
73	speed is  a measure of how fast the wave passes the medium	nongold
74	fragrance means smell	nongold
75	as the heat of matter increases , the  average molecular speed in that matter increases	nongold
76	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
77	heat energy is synonymous with thermal energy	nongold
78	a source of something emits; produces; generates; provides that something	nongold
79	a decrease is a kind of change	nongold
80	affected means changed	nongold
81	water is a kind of liquid at room temperature	nongold
82	if an object is touching a warmer object , then the  cooler  object will increase in temperature until two objects reach the same temperature	nongold
83	objects are made of materials; substances; matter	nongold
84	a source of something increases the amount of that something	nongold
85	force causes the speed of an object to increase; to decrease	nongold
86	if heat is added to a substance then that substance absorbs that heat	nongold
87	moisture means liquid; liquid water	nongold
88	a glass bottle is a kind of bottle	nongold
89	twice the speed of is simiar to  faster	nongold
90	a room is a kind of container	nongold
91	as kinetic energy of an object increases , that object will travel faster	nongold
92	moving is similar to travelling	nongold
93	absorbing sunlight causes objects to heat	nongold
94	friction causes speed to decrease	nongold
95	substances have chemical properties	nongold
96	moist means high in moisture	nongold
97	colder; cooler means lower in temperature	nongold
98	a container contains objects; material; substances	nongold
99	if something emits something else then that something increases the amount of that something else	nongold
