Question	Katia was listening to music on the radio. In order for the sound to be produced, the electrical energy must be converted into which type of energy?	question
Answer	mechanical energy	answer
0	sound is produced when mechanical energy is transformed into sound energy	nongold
1	a type is synonymous with a kind	gold
2	mechanical energy is a kind of energy	gold
3	a type of something is a kind of property of that something	nongold
4	electrical energy is a kind of energy	nongold
5	generate means produce	nongold
6	make means produce	nongold
7	a radio converts electrical energy into vibrations; sound energy	nongold
8	converting is similar to producing	nongold
9	sound is a kind of sound energy	nongold
10	sound means sound energy	nongold
11	electricity means electrical energy	nongold
12	sound is a kind of energy	nongold
13	electrical devices convert from electrical energy; electricity into other forms of energy	gold
14	must have means require	nongold
15	the radio converts radio waves into mechanical waves in the speaker	nongold
16	a source of something emits; produces; generates; provides that something	gold
17	playing music causes sound to be produced	nongold
18	if something generates energy for something else then that something powers that something else	nongold
19	a radio is a kind of electrical device	gold
20	converting is similar to generating	nongold
21	to transform means to convert	nongold
22	a simple machine requires mechanical energy to function	nongold
23	musical instruments make sound when they are played	nongold
24	emit means produce	nongold
25	an electric motor converts electrical energy into mechanical energy	nongold
26	when an animal moves , chemical energy is converted to mechanical energy	nongold
27	products are formed; are produced; are created	nongold
28	if something causes a process then that something is required for that process	nongold
29	a producer is a kind of living thing	nongold
30	speaker converts electrical energy; electricity into vibrations; sound energy	gold
31	to produce means to create	nongold
32	electric devices require electrical energy to function	nongold
33	producing is a kind of process	nongold
34	a radio is used for communication	nongold
35	to convert means to change	nongold
36	a human is a kind of animal	nongold
37	a radio contains a speaker	gold
38	electricity is used as an energy source by electrical devices	nongold
39	if something is powered by something else then that something requires a source of that something else	nongold
40	if something requires something else then that something requires a source of that something else	nongold
41	to generate means to create	nongold
42	energy conversion is similar to energy transformation	nongold
43	conversion is a kind of process	nongold
44	heat is a kind of energy	nongold
45	to produce means to provide	nongold
46	if something comes from something else then that something else is a source of that something	nongold
47	the formation of lightning converts mechanical energy into electrical energy	nongold
48	an object; material; substance comes from that object or material's source	nongold
49	to be formed by is similar to being produced by	nongold
50	friction converts mechanical energy into heat energy	nongold
51	mechanical energy is used to move something by animals	nongold
52	kinetic energy is a kind of mechanical energy	nongold
53	if something transfers something else then that something is a source of something else	nongold
54	if something is a raw material in a process then that something is required for that process	nongold
55	a musical instrument is a kind of object	nongold
56	to create means to make	nongold
57	a heat engine converts heat energy into mechanical energy	nongold
58	energy transformation means one kind of energy changes into another kind of energy	nongold
59	can be means able to be	nongold
60	if an event is required for a process then that event must occur before that process can occur	nongold
61	classifying is when one sorts something by kind; type	nongold
62	a portable radio is a kind of radio	nongold
63	to power means to provide energy for	nongold
64	sound wave is a kind of mechanical wave	nongold
65	electrical signals are made of electrical energy	nongold
66	forming is similar to converting	nongold
67	person is synonymous with human	nongold
68	a machine is a kind of object	nongold
69	a complete electrical circuit is a source of  electrical energy	nongold
70	where something  comes from is a source of that something	nongold
71	material means substance	nongold
72	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
73	to be made of something means to be formed of that something	nongold
74	waves contain mechanical energy	nongold
75	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
76	green plants are a kind of producer	nongold
77	to be used for something means to be required by that something	nongold
78	all elements are a kind of pure substance	nongold
79	creating means making	nongold
80	chemical energy is a kind of energy	nongold
81	to depend on; to rely on; to need means to require	nongold
82	mechanical energy can  cause objects to move	nongold
83	objects are made of materials; substances; matter	nongold
84	a machine is a kind of  device	nongold
85	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
86	an event is a kind of action	nongold
87	an animal is a kind of living thing	nongold
88	synthesize means to make	nongold
89	vibrating matter can produce sound	nongold
90	to generate means to form	nongold
91	if something is required then that something must be provided	nongold
92	a process is a kind of event	nongold
93	composed of means made of	nongold
94	if an event occurs by adding something then that event requires that something	nongold
95	heat means heat energy	nongold
96	to contribute is similar to produce	nongold
97	the radio receives radio waves	nongold
98	if something causes an increase in something else then that something produces that something else	nongold
99	electromagnetic wave is not a mechanical wave	nongold
