Question	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because	question
Answer	light energy can be reflected from one object to another	answer
0	a mirror reflects light	nongold
1	reflection is when light is reflected from one object; one place to  another object; another place	gold
2	a mirror is used for reflecting light	nongold
3	a girl is a kind of animal	gold
4	a mirror is a kind of reflective object	gold
5	if an object reflects light toward the eye then that object can be seen	gold
6	a girl is a kind of organism	nongold
7	a girl is a kind of young; female human	nongold
8	light means light energy	gold
9	seeing is used for sensing visual things	nongold
10	reflecting light; sound is the opposite of absorbing light; sound	nongold
11	an image in a mirror is formed by reflecting light	nongold
12	eyes can sense;detect light energy for seeing	nongold
13	light reflecting off of an object causes that object to be visible to the observer	nongold
14	to shine means to emit light	gold
15	sight means to see	nongold
16	if an object reflects more light then that object is more easily seen	nongold
17	a mirror has a shiny surface	gold
18	visible means able to be seen	nongold
19	sunlight is a kind of light	nongold
20	reflection is a property of light	nongold
21	light is a kind of energy	nongold
22	light is a kind of energy	nongold
23	a flashlight converts electrical energy; electricity into light energy	nongold
24	a flashlight emits light	gold
25	seeing requires light	nongold
26	to reflect light means to scatter light	nongold
27	an object; material; substance comes from that object or material's source	nongold
28	a living thing is a kind of object	nongold
29	a person is a kind of animal	nongold
30	a flashlight is a kind of electrical device	nongold
31	visible light is a kind of  light	nongold
32	a human is a kind of animal	nongold
33	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
34	an animal is a kind of living thing	nongold
35	shiny things; objects reflect light	gold
36	to view means to see	nongold
37	human eyes can only see light in the range of visible light	nongold
38	if something comes from something else then that something else is a source of that something	nongold
39	refraction is when light passes from one medium to another medium	nongold
40	where something  comes from is a source of that something	nongold
41	a white object reflects all visible light	nongold
42	to see means to look	nongold
43	an animal is a kind of organism	nongold
44	can be means able to be	nongold
45	a flashlight is a kind of battery-operated device	nongold
46	refracting sunlight; light causes sunlight; light to split into different colors	nongold
47	a reflector is used to reflect light especially on vehicles	nongold
48	observe means see	nongold
49	eyes are used for seeing by animals by sensing light	gold
50	eyes are a part of a human for seeing	nongold
51	objects are made of materials; substances; matter	nongold
52	a flashlight requires a source of electricity to produce light	nongold
53	reflection is a kind of process	nongold
54	light is a kind of electromagnetic radiation	nongold
55	metal is reflective	nongold
56	a boy is a kind of young male human	nongold
57	electromagnetic energy is a kind of energy	nongold
58	if something is outside during the day , then that something will reflect enough light to be seen	nongold
59	visible light is able to be seen without using equipment	nongold
60	if an object reflects a light of a certain color then the object appears to be that color	nongold
61	a device is a kind of object	nongold
62	reflection is when particles bounce off a surface	nongold
63	light is a kind of wave	gold
64	a source of something emits; produces; generates; provides that something	nongold
65	eyes are usually part of an animal for seeing	nongold
66	electrical signals are made of electrical energy	nongold
67	person is synonymous with human	nongold
68	refractions of light can be used to help a person see	nongold
69	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	gold
70	electrical energy is a kind of energy	nongold
71	answering questions requires information	nongold
72	if an object is white then that object reflects all visible light	nongold
73	sight is a kind of sense	nongold
74	viewing means observing light	nongold
75	a flashlight is a kind of tool	nongold
76	when light hits a reflective object , that light bounces off that object	nongold
77	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
78	material means substance	nongold
79	if something is visible , then that something can be observed	nongold
80	refraction causes something to appear; to look different	nongold
81	sound is a kind of energy	nongold
82	if two objects are apart from each other then matter is between those two objects	nongold
83	the function of something is what that something  is used to do	nongold
84	to bounce back means to reflect	gold
85	an part of an object is smaller than the entire object	nongold
86	to illuminate means to light up	nongold
87	a wall is a kind of object	nongold
88	length is a measure of distance from one end of an object to the other end of that object	nongold
89	radiation is when electromagnetic waves transfers heat and light energy	nongold
90	different types of light have different wavelengths	nongold
91	sunlight can shine through a window	nongold
92	sunlight is a kind of solar energy	nongold
93	particles in objects are a kind of matter	nongold
94	a wall is a kind of surface	nongold
95	can means having the ability to	nongold
96	a blue object reflects only blue light	nongold
97	if an object is made of a material then that object has the properties of that material	nongold
98	heat is a kind of energy	nongold
99	room contains walls	nongold
