Question	A volcano under the ocean slowly releases lava over time. As the lava is released, it cools and hardens on the ocean floor. Which feature will most likely form from the release and cooling of the lava on the ocean floor over time?	question
Answer	an island	answer
0	an island is formed by lava being released; cooling on the ocean floor over time	gold
1	an island is a kind of landform	gold
2	landform means surface feature; physical feature; land feature	gold
3	a body of water is a kind of land feature	nongold
4	a volcano is a source of magma; lava	nongold
5	if lava is on Earth's surface then that lava will cool	nongold
6	an ocean is a kind of body of water	nongold
7	a volcano is a kind of landform	nongold
8	volcanoes are often found under oceans	nongold
9	form means kind	nongold
10	a volcanic eruption is a kind of change	nongold
11	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
12	new land can be formed by volcanoes erupting by lava cooling	nongold
13	a mountain is a kind of land feature	nongold
14	a volcano is a kind of geological event	nongold
15	a structure is a kind of feature	nongold
16	a shore is the land found at the edge of a body of water	nongold
17	an ocean contains waves	nongold
18	seafloor spreading causes cooled magma to form on the edges of tectonic plates on Earth	nongold
19	lava is a kind of matter	nongold
20	land is a kind of landform	nongold
21	an increase is a kind of change	nongold
22	to cause the formation of means to form	nongold
23	to emit means to release	nongold
24	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	nongold
25	a body of water is a kind of environment	nongold
26	if something releases something else then that something is the source of that something else	nongold
27	if something releases something else then that something else decreases in that something	nongold
28	sea means ocean	nongold
29	to lower means to decrease	nongold
30	bodies of water are located on Earth's surface	nongold
31	lava is found above the ground	nongold
32	the surface of the Earth is made of 70% ocean	nongold
33	Navassa Island (US) is located in the northern hemisphere	nongold
34	to add means to increase	nongold
35	cooling means temperature decreases	nongold
36	oceans are located on Earth	nongold
37	an environment is a kind of place	nongold
38	oceans cover 70% of the surface of the earth	nongold
39	a volcanic eruption is a kind of quick process	nongold
40	to change into means to form	nongold
41	volcanoes are most common along tectonic plate boundaries	nongold
42	an ocean is a kind of habitat	nongold
43	a decrease is a kind of change	nongold
44	land is a kind of environment	nongold
45	a coast is where land meets the edge of a body of water	nongold
46	high is similar to increase	nongold
47	a volcano changes the environment around it by covering the environment in ash	nongold
48	if something exists on a surface then that surface contains that something	nongold
49	produce is similar to release	nongold
50	converting is similar to releasing	nongold
51	under water means covered by water; in water	nongold
52	to make means to form	nongold
53	to reduce means to decrease	nongold
54	oceans contains most of  earth's water	nongold
55	a body of water contains water	nongold
56	colder; cooler means lower in temperature	nongold
57	aquatic animals; plants live in bodies of water	nongold
58	to form means to create	nongold
59	to be formed by is similar to being produced by	nongold
60	a landform is a kind of place	nongold
61	a landform is a kind of place	nongold
62	producing is similar to releasing	nongold
63	the ocean transfers more heat than the continent	nongold
64	where something  comes from is a source of that something	nongold
65	Earth's surface is made of rock	nongold
66	ground means floor	nongold
67	oceans regulate the temperature of nearby land	nongold
68	forming something is a kind of change	nongold
69	if something emits something else then that something increases the amount of that something else	nongold
70	a land feature is a kind of physical characteristic	nongold
71	below means lower down	nongold
72	to be made of something means to be formed of that something	nongold
73	if something returns to a place then that something increases in that place	nongold
74	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
75	an environment means an area	nongold
76	upwelling is when the water from deep ocean; the ocean floor rises to the ocean's surface	nongold
77	heat means heat energy	nongold
78	if something comes from something else then that something else is a source of that something	nongold
79	weathering; erosion usually occurs over a period of many years	nongold
80	to give off means to be the source of	nongold
81	the floor is a kind of object	nongold
82	oceans are the source of most of water vapor in the atmosphere	nongold
83	Bouvet Island (Norway) is located in the southern hemisphere	nongold
84	a source of something emits; produces; generates; provides that something	nongold
85	the ocean   stores more heat than the continent	nongold
86	increase means more	nongold
87	a source of something increases the amount of that something	nongold
88	a planet is a kind of place	nongold
89	a continent is a kind of large land mass	nongold
90	underwater means below water	nongold
91	temperature is a measure of heat energy	nongold
92	a whole is formed by its parts	nongold
93	to be formed by is to be the result of	nongold
94	oceans are unevenly heated	nongold
95	if something transfers something else then that something is a source of something else	nongold
96	water level is similar to ocean level	nongold
97	a process is a kind of event	nongold
98	to create means to make	nongold
99	to change means to cause a change	nongold
