Question	Nicole was studying different ecosystems. She compared the number of plants living in a forest to those in a desert. Which factor best explains why more plants may survive in a forest?	question
Answer	There is more rain in the forest.	answer
0	a forest environment receives more rainfall than a desert	gold
1	a desert environment receives low rainfall	nongold
2	a rain forest is a kind of forest	nongold
3	a forest is a kind of environment	gold
4	a desert is a kind of environment	gold
5	a grassland environment receives more rainfall than a desert	nongold
6	a forest is a kind of ecosystem	nongold
7	rain is a kind of precipitation	nongold
8	a forest contains  lots of plants; trees	nongold
9	less is similar to decrease	nongold
10	rainfall means precipitation	nongold
11	rainfall means the amount of precipitation	nongold
12	a desert environment is dry	nongold
13	rainfall is the amount of rain an area receives	gold
14	rain is a kind of water	gold
15	precipitation is a kind of natural occurrence; cause	nongold
16	a desert environment usually has a lot of sunlight	nongold
17	some animals live in forests	nongold
18	a desert environment is low in availability of water; availability of food	nongold
19	an ecosystem is a kind of habitat	nongold
20	rain is a source of water	nongold
21	an increase is the opposite of a decrease	gold
22	precipitation is when water falls from the sky	nongold
23	if something required by something else is in a place then that something else may be in that place	nongold
24	less is the opposite of more	nongold
25	a plant requires a habitat for survival	nongold
26	increase means more	gold
27	population increase means more survive	gold
28	to reduce means to decrease	nongold
29	organisms; living things live in their habitat; their home	nongold
30	as the amount of rain increases in an environment , available sunlight will decrease in that environment	nongold
31	as the amount of rainfall increases in an area , the amount of available water in that area will increase	gold
32	to lower means to decrease	nongold
33	a plant is a kind of organism	nongold
34	amount is similar to number	nongold
35	a plant; living thing requires food for survival	nongold
36	a plant is a kind of living thing	nongold
37	An example of an environment is a forest; a river; a grassland; an ocean	nongold
38	an area receiving rain means rain falling in that area	nongold
39	an environment means an area	gold
40	an animal is a kind of living thing	nongold
41	animals; living things live and feed in their habitats; near their habitats	nongold
42	dying is the opposite of living; surviving	nongold
43	plants are a part of the environment	nongold
44	a factor impacts something	nongold
45	habitat is similar to environment	nongold
46	an ecosystem contains a large community of; large numbers of living organisms	nongold
47	a plants; living things require water for survival; to grow	gold
48	an organism is a living thing	nongold
49	a cactus lives in the desert	nongold
50	an environment is similar to an ecosystem	nongold
51	precipitation is a kind of weather	nongold
52	an animal requires a habitat for survival	nongold
53	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
54	an environment is a kind of place	nongold
55	less means a reduced amount	nongold
56	an animal; living thing requires nutrients for survival	nongold
57	cutting down trees in a forest causes the number of trees to decrease in that forest	nongold
58	organisms are a part of an environment	nongold
59	precipitation is a kind of  natural process	nongold
60	a decrease is a kind of change	nongold
61	low is similar to decrease	nongold
62	if a living thing requires something then that something has a positive impact on that living thing	nongold
63	high is similar to increase	nongold
64	rain; snow falls	nongold
65	a rainforest is a kind of ecosystem	nongold
66	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
67	precipitation is a property of weather	nongold
68	raining is when rain falls from clouds to the Earth;ground as a liquid	nongold
69	fewer means lower; less in number	nongold
70	survive means live	nongold
71	survive means live	nongold
72	lack of moisture in the air causes low amounts of rainfall	nongold
73	killing a living thing decreases the number; population size of that living thing	nongold
74	an increase is a kind of change	nongold
75	an animal is a kind of organism	nongold
76	a plant requires a specific climate to grow and survive	nongold
77	negative impact is the opposite of positive impact	nongold
78	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
79	a source of something increases the amount of that something	nongold
80	as the cause of something decreases , that something will decrease	nongold
81	comparing requires observing that something	nongold
82	forest is synonymous with wooded area	nongold
83	population is a measure of the number of a species in an environment	nongold
84	woodland means forest	nongold
85	as the amount of a source of something decreases , the amount of that something will decrease	nongold
86	reproduction increases the number; population of a living thing	nongold
87	a tree is a kind of habitat	nongold
88	best means most positive	nongold
89	when a habitat can support living things , living things can live in that habitat	nongold
90	a desert is a kind of land feature	nongold
91	nonliving; non-living; die is the opposite of living; alive; live	nongold
92	average amount of precipitation is a property of climate	nongold
93	storms;rain cause bodies of water to increase amount of water they contain	nongold
94	how many means what number	nongold
95	a property is similar to a factor	nongold
96	Antarctica is a kind of desert	nongold
97	moisture is a kind of environmental factor	nongold
98	little is similar to decrease	nongold
99	fire causes harm to trees; to forests; to living things	nongold
