Question	During science class, students combined 1 kg of iron filings with 1 kg of sand to create a mixture. Which of the following methods would be best for separating the iron filings from the sand?	question
Answer	Drag a magnet through the mixture to attract the iron filings.	answer
0	magnet can be  used for separating a magnetic material from a mixture of a magnetic and nonmagnetic material	gold
1	magnetic separation is using a magnet to attract magnetic material from the mixture of magnetic and nonmagnetic material	gold
2	a magnet attracts magnetic metals; ferromagnetic metals through magnetism	nongold
3	a magnet will not attract nonmagnetic metals; nonmagnetic materials	gold
4	iron filings are made of small pieces of iron	nongold
5	a magnet is often made of magnetic metals; ferromagnetic metals	nongold
6	a magnet is a kind of object	nongold
7	if something contains a large amount of magnetic material then that something will attract magnets	nongold
8	filings are a kind of object	nongold
9	if a magnet is attracted to a metal then that magnet will stick to that metal	nongold
10	sand  is a kind of mixture	nongold
11	sand is always nonmagnetic	gold
12	sand  is a kind of material	nongold
13	sand  is a kind of substance	nongold
14	a mixture is a kind of substance	nongold
15	soft iron; iron is always ferromagnetic; magnetic	gold
16	An example of a mixture is sand; clay; soil mixed together	nongold
17	process is similar to method	nongold
18	pull is similar to attract	nongold
19	an mixture is formed by two or more substances combined together physically	nongold
20	attract means move closer	nongold
21	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
22	a student is a kind of human	nongold
23	sand is made of very small rocks; minerals	nongold
24	metal is a kind of material	nongold
25	sand  is a kind of solid	nongold
26	sand is made of small particles	nongold
27	pulling away is similar to separating	nongold
28	magnetism is a property of materials; objects and includes ordered values of nonmagnetic; magnetic	nongold
29	kilograms ( kg ) are a  metric; SI unit used for measuring mass; weight generally used for values between 1.0 and 50000000.0	nongold
30	metal is a kind of substance	nongold
31	best means most positive	nongold
32	rock is a kind of material	nongold
33	evaporation can be used for separating a mixture of a liquid and a solid	nongold
34	iron is always magnetic	nongold
35	decomposing is similar to separating	nongold
36	if something is insoluble in something , then they will remain separated	nongold
37	pulling is a kind of motion	nongold
38	metal is sometimes magnetic	nongold
39	to disperse means to separate	nongold
40	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
41	iron is a kind of metal	nongold
42	Magnetite is always magnetic	nongold
43	magnetic attraction pulls two objects together	nongold
44	steel; carbon steel is always ferromagnetic; magnetic	nongold
45	attracting is a kind of function; activity	nongold
46	material means substance	nongold
47	transferring a section of something requires separating the section of something	nongold
48	to create means to make	nongold
49	a mixture of solids can be easily separated	nongold
50	a rock is a kind of object	nongold
51	if an object is made of a material then that object has the properties of that material	nongold
52	magnetic force means magnetism	nongold
53	a solution is a kind of mixture	nongold
54	better means good	nongold
55	counter means reduce; stop; resist	nongold
56	a container contains objects; material; substances	nongold
57	class is a measure of how a rock is formed	nongold
58	magnetism can cause objects to repel each other	nongold
59	a tool is a kind of object	nongold
60	helping means something can be done; completed more easily; better	nongold
61	to form means to create	nongold
62	objects are made of materials; substances; matter	nongold
63	a device is a kind of object	nongold
64	remove means decrease	nongold
65	a magnet contains a north pole; south pole	nongold
66	filtration can be used for separating a mixture of a liquid and a solid	nongold
67	creating means making	nongold
68	a mixture usually is made of objects with different physical properties	nongold
69	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
70	metals are made of metal	nongold
71	to slow; to slow down decreases speed	nongold
72	to increase is similar to to create	nongold
73	high is similar to increase	nongold
74	helping something has a  positive impact on that something	nongold
75	media; medium means the material something travel through	nongold
76	heat means heat energy	nongold
77	can be means able to be	nongold
78	iron is a kind of solid	nongold
79	motion; movement means moving; to move	nongold
80	a rock is usually a solid	nongold
81	to produce means to create	nongold
82	a surface is a part of a material	nongold
83	form means kind	nongold
84	a machine is a kind of  device	nongold
85	grams ( g ) are a  metric unit used for measuring mass; weight generally used for values between 1.0 and 2000.0	nongold
86	passing a magnet through a closed loop of wire generates an electric current	nongold
87	separate is similar to break down	nongold
88	magnetism can affect objects that are not touching	nongold
89	kg means kilograms	nongold
90	solution is similar to a positive impact	nongold
91	a container is a kind of object	nongold
92	to reduce means to decrease	nongold
93	a sieve can be used for separating a mixture of different sized solids	nongold
94	metal is a thermal; thermal energy conductor	nongold
95	temperature is a measure of heat energy	nongold
96	mixture means solids combined together that maintain their physical properties	nongold
97	a machine is a kind of object	nongold
98	to be used for something means to be required by that something	nongold
99	to add means to increase	nongold
