Question	During winter months, Amina sometimes notices ice covering the hoods of parked cars. Once the engine of the car runs for a while, the ice on the hood begins to melt. What form of energy is released from the car engine to melt the ice?	question
Answer	heat	answer
0	a car is a kind of vehicle	nongold
1	form means kind	gold
2	a car engine is a source of heat	gold
3	a car engine is a part of a car	nongold
4	a car is a kind of object	nongold
5	a car is a kind of automobile	nongold
6	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
7	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
8	temperature is a measure of heat energy	nongold
9	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
10	to emit means to release	nongold
11	converting is similar to releasing	nongold
12	heat is a kind of energy	gold
13	a covering is a kind of object	nongold
14	thermal energy is a kind of energy	nongold
15	heat energy is synonymous with thermal energy	nongold
16	heating means adding heat	nongold
17	heat means heat energy	gold
18	absorbing energy causes objects; materials; substances to heat	nongold
19	an engine is a part of an automobile	nongold
20	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
21	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
22	a internal combustion engine; car engine; automobile engine usually converts fuel into kinetic energy and heat energy through combustion	nongold
23	a heat engine converts heat energy into mechanical energy	nongold
24	winter means environmental; outdoor temperature decreases	nongold
25	heat means temperature increases	nongold
26	a vehicle is a kind of object	nongold
27	producing is similar to releasing	nongold
28	melting is when solids are heated above their melting point	nongold
29	water is a kind of liquid at room temperature	nongold
30	ice is a kind of solid	gold
31	if the surface of an object contains something then that object is covered with that something	nongold
32	if something releases something else then that something is the source of that something else	gold
33	adding heat means increasing temperature	nongold
34	temperature is a property of weather	nongold
35	ice is colder than water in temperature	nongold
36	winter is a kind of season	nongold
37	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
38	winter is a part of the year	nongold
39	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
40	to add means to increase	gold
41	an increase is a kind of change	nongold
42	ice is cold in temperature	nongold
43	high is similar to increase	nongold
44	water is a kind of substance	nongold
45	an increase is the opposite of a decrease	nongold
46	icy means made of ice	nongold
47	melting is a kind of phase change	nongold
48	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
49	ice is a kind of object	nongold
50	winter is the opposite of summer	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	state means form	nongold
53	winter has cold temperatures;weather	nongold
54	to give off means to be the source of	nongold
55	a liquid is a kind of substance	nongold
56	to run on means to use as an energy source	nongold
57	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
58	heat means the transfer of thermal energy	nongold
59	snow is a kind of ice	nongold
60	to reduce means to decrease	nongold
61	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
62	heat has a great impact on weather	nongold
63	to slow; to slow down decreases speed	nongold
64	produce is similar to release	nongold
65	under water means covered by water; in water	nongold
66	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
67	releasing energy is a kind of function	nongold
68	water is an thermal; thermal energy conductor	nongold
69	running requires a lot of energy	nongold
70	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
71	if a  car is being driven , then the car will be moving	nongold
72	to lower means to decrease	nongold
73	if something comes from something else then that something else is a source of that something	nongold
74	cycles of freezing and thawing water cause ice wedging	nongold
75	freezing is a kind of phase change	nongold
76	something in a cold place becomes cold	nongold
77	winter is when a hemisphere is tilted away from the sun	nongold
78	metal is a thermal; thermal energy conductor	nongold
79	if one surface; one substance; one object touches something then one is exposed to that something	nongold
80	a decrease is a kind of change	nongold
81	an automobile is a kind of vehicle	nongold
82	melting is a kind of process	nongold
83	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
84	liquid water cooling causes that liquid water to freeze	nongold
85	warm means medium heat energy; temperature	nongold
86	conductivity is a property of a material; substance	nongold
87	a human is a kind of animal	nongold
88	solar energy is a kind of heat energy	nongold
89	summer is a kind of season	nongold
90	snow falls during the winter in some environments	nongold
91	if vehicle is parked then that vehicle is stationary	nongold
92	cold means low in temperature	nongold
93	low is similar to decrease	nongold
94	heating is the opposite of cooling	nongold
95	colder; cooler means lower in temperature	nongold
96	convert is similar to transfer	nongold
97	freezing means cold temperatures	nongold
98	running is a kind of movement	nongold
99	water is a kind of object	nongold
