Question	The action that results when waves made in a pond strike the edges and bounce back is known as	question
Answer	reflection.	answer
0	reflection is when particles bounce off a surface	nongold
1	a pond is a kind of body of water	nongold
2	bouncing something back means reflecting that something	nongold
3	edge of a pond is a kind of surface	gold
4	a pond is a kind of environment	nongold
5	to bounce back means to reflect	nongold
6	a pond is smaller; shallower than a lake	nongold
7	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	gold
8	reflection is when light is reflected from one object; one place to  another object; another place	nongold
9	waves are made of moving water	nongold
10	if something strikes an object then that something may bounce off of that object	nongold
11	a motion is a kind of event; action	nongold
12	to cause means to result in	nongold
13	to hit means to strike	nongold
14	reflection is a kind of process	nongold
15	a wave is a kind of object	nongold
16	reflection is a property of light	nongold
17	striking is a kind of movement	nongold
18	action means activity	nongold
19	a lake is a kind of body of water	nongold
20	actions mean behavior	nongold
21	an event is a kind of action	nongold
22	a surface is a part of an object	nongold
23	to cause means to make	nongold
24	water is a kind of object	nongold
25	action can cause change	nongold
26	water is a kind of matter	nongold
27	a body of water is a kind of environment	nongold
28	a surface is a kind of object	nongold
29	a pond is a kind of habitat	nongold
30	the ability to reflect is a property of sound wave	nongold
31	a pool is a kind of body of water	nongold
32	a wall is a kind of surface	nongold
33	when light hits a reflective object , that light bounces off that object	nongold
34	water is a kind of substance	nongold
35	reflecting light; sound is the opposite of absorbing light; sound	nongold
36	motion is when moves an object; something to a direction	nongold
37	objects are made of materials; substances; matter	nongold
38	water is a part of an environment	nongold
39	waves can travel through matter	nongold
40	an aquatic animal is a kind of animal	nongold
41	becoming is a kind of action	nongold
42	motion; movement means moving; to move	nongold
43	a surface is a part of a material	nongold
44	hitting is a kind of motion	nongold
45	a living thing is a kind of object	nongold
46	diffraction is when the waves bends as they pass an edge or opening	nongold
47	result means outcome	nongold
48	a body of water is a source of water	nongold
49	absorbance is when a wave absorbs at; stops at a surface	nongold
50	to make means to form	nongold
51	particles in objects are a kind of matter	nongold
52	forming is a kind of action	nongold
53	surfaces sometimes cause objects to break	nongold
54	a particle is a kind of object	nongold
55	flowing is a kind of action	nongold
56	a shore is the land found at the edge of a body of water	nongold
57	objects in an environment are a part of that environment	nongold
58	an ocean contains waves	nongold
59	aquatic animals; plants live in bodies of water	nongold
60	sound wave is a kind of wave	nongold
61	waves travel outward from the source	nongold
62	an object is made of its parts	nongold
63	dissolving is a kind of action	nongold
64	to be formed by is to be the result of	nongold
65	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
66	a fish is a kind of aquatic animal	nongold
67	an part of an object is smaller than the entire object	nongold
68	movement is a kind of change	nongold
69	slipping is a kind of motion	nongold
70	to produce means to result in	nongold
71	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
72	a wave is formed by the vibration of the source spreading around from the source	nongold
73	aquatic animal means water animal	nongold
74	to happen means to occur	nongold
75	if someone walks on a surface then that someone touches that surface	nongold
76	pulling is a kind of motion	nongold
77	a body of water contains water	nongold
78	a wall is a kind of object	nongold
79	echo is when sound reflects off of a surface	nongold
80	a tide is a kind of natural event	nongold
81	length is a measure of distance from one end of an object to the other end of that object	nongold
82	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
83	concluding is a kind of action	nongold
84	an environment means an area	nongold
85	answering questions requires information	nongold
86	can be means able to be	nongold
87	revolving is a kind of action	nongold
88	light is a kind of wave	nongold
89	if something exists on a surface then that surface contains that something	nongold
90	a landform is a kind of object	nongold
91	something that happens is a kind of event	nongold
92	form means kind	nongold
93	high is similar to increase	nongold
94	frequency is a property of a wave; a particel of light; an event	nongold
95	sliding is a kind of motion	nongold
96	composed of means made of	nongold
97	passing is a kind of action	nongold
98	a vibration is similar to a wave	nongold
99	if something moves then that something is in a different location	nongold
