Question	Which best represents the use of mechanical energy?	question
Answer	a nail being hammered	answer
0	a nail is a kind of object	gold
1	mechanical energy is used to move something by animals	nongold
2	nails are often made of iron	nongold
3	mechanical energy is a kind of energy	nongold
4	iron nails are made of iron	nongold
5	mechanical energy can  cause objects to move	nongold
6	An example of mechanical energy is an object in motion	gold
7	best means most positive	nongold
8	kinetic energy is a kind of mechanical energy	nongold
9	a hammer is a kind of object	nongold
10	hammering an object requires movement	gold
11	a hammer often is made of metal	nongold
12	a simple machine requires mechanical energy to function	nongold
13	mechanical energy exerted by an object can be used to push or pull another object	nongold
14	friction converts mechanical energy into heat energy	nongold
15	mechanical force is a kind of mechanical energy	nongold
16	to use means to utilize	nongold
17	sound is produced when mechanical energy is transformed into sound energy	nongold
18	when an animal moves , chemical energy is converted to mechanical energy	nongold
19	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
20	something is used for that something's purpose	nongold
21	to be used for something means to be required by that something	gold
22	better means good	nongold
23	the function of something is what that something  is used to do	nongold
24	a living thing is a kind of object	nongold
25	a wax crayon is made of wax	nongold
26	a tool is a kind of object	nongold
27	cutting an object requires mechanical force	nongold
28	good means positive	nongold
29	waves contain mechanical energy	nongold
30	material means substance	nongold
31	a screw is a kind of simple machine	nongold
32	active transport converts chemical energy into mechanical energy	nongold
33	a machine is a kind of object	nongold
34	sound is a kind of energy	nongold
35	to help; to benefit means to be of use	nongold
36	objects are made of materials; substances; matter	nongold
37	to scrape means to scratch	nongold
38	resources sometimes are used for energy	nongold
39	answering questions requires information	nongold
40	a machine is a kind of  device	nongold
41	the formation of lightning converts mechanical energy into electrical energy	nongold
42	to depend on; to rely on; to need means to require	nongold
43	heat is a kind of energy	nongold
44	a screw is a kind of object	nongold
45	if an object is made of a material then that object has the properties of that material	nongold
46	an animal is a kind of living thing	nongold
47	An example of a physical change is breaking an object	nongold
48	a device is a kind of object	nongold
49	a surface is a part of a material	nongold
50	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
51	a surface is a part of an object	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	a human is a kind of animal	nongold
54	substances are made of matter	nongold
55	striking is a kind of movement	nongold
56	metal is a kind of material	nongold
57	sound is a kind of sound energy	nongold
58	cracking something usually has a negative impact on that something	nongold
59	an event is a kind of action	nongold
60	An example of an object with kinetic energy is an object in motion	nongold
61	motion is a source of kinetic energy in an object	nongold
62	can be means able to be	nongold
63	joules ( J ) are an  SI unit used for measuring mechanical energy; work generally used for values between 1.0 and 1000.0	nongold
64	a motion is a kind of event; action	nongold
65	tearing is a kind of damage	nongold
66	conductivity is a property of a material; substance	nongold
67	device means tool	nongold
68	electrical energy is a kind of energy	nongold
69	particles in objects are a kind of matter	nongold
70	to be good for means to have a positive impact on	nongold
71	an animal is a kind of organism	nongold
72	a simple machine is a kind of tool	nongold
73	an automobile engine converts chemical energy into mechanical energy and heat energy	nongold
74	a piece of something is a kind of object	nongold
75	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
76	sound means sound energy	nongold
77	a crayon is a kind of solid	nongold
78	a component of something means a part of that something	nongold
79	conductivity is a kind of physical property	nongold
80	materials are made of matter	nongold
81	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
82	mechanical weathering is when rocks are broken down by mechanical means	nongold
83	an instrument is a piece of equipment	nongold
84	instrument means tool	nongold
85	an part of an object is smaller than the entire object	nongold
86	thermal energy is a kind of energy	nongold
87	chemical energy is a kind of energy	nongold
88	shredding is similar to tearing	nongold
89	an animal requires energy to move	nongold
90	an earlobe is a kind of body part	nongold
91	a component means a part of	nongold
92	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
93	cracking something may cause that something  to break apart	nongold
94	food is a kind of chemical energy	nongold
95	a hand is a kind of object	nongold
96	form means kind	nongold
97	if an object is at rest at the top of an incline then that object's mechanical energy is all potential	nongold
98	an object; material; substance comes from that object or material's source	nongold
99	an organism is a living thing	nongold
