Question	Which type of rock is formed when hot lava cools?	question
Answer	igneous	answer
0	igneous rocks; minerals are formed by magma; lava cooling; crystallizing	gold
1	igneous is a kind of rock	gold
2	a type is synonymous with a kind	gold
3	lava is a kind of matter	nongold
4	form means kind	nongold
5	hot means high in heat energy; temperature	nongold
6	granite is a kind of igneous rock	nongold
7	if lava is on Earth's surface then that lava will cool	nongold
8	heating means adding heat	nongold
9	temperature is a measure of heat energy	nongold
10	a type of something is a kind of property of that something	nongold
11	pumice is a kind of igneous rock	nongold
12	heat means heat energy	nongold
13	heat means temperature increases	nongold
14	magma is a kind of hot rock	nongold
15	to be made of something means to be formed of that something	nongold
16	class is a property of a rock and includes values of sedimentary; metamorphic; igneous	nongold
17	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
18	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
19	a volcano is a source of magma; lava	nongold
20	classifying is when one sorts something by kind; type	nongold
21	metamorphic is a kind of rock	nongold
22	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
23	igneous intrusion is a kind of geologic process	nongold
24	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
25	a hot substance is a source of heat	nongold
26	metamorphic rock is a kind of rock	nongold
27	cooling means temperature decreases	nongold
28	to lower means to decrease	nongold
29	lava is found above the ground	nongold
30	if liquid is boiling then that liquid is hot	nongold
31	answering questions requires information	nongold
32	rock is a kind of material	nongold
33	metamorphosed rock is a kind of rock	nongold
34	to make means to form	nongold
35	extreme heat and pressure change; metamorphose rock into metamorphic rock	nongold
36	to add means to increase	nongold
37	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
38	a rock is a kind of object	nongold
39	to form means to create	nongold
40	a volcano is a kind of landform	nongold
41	a hot; warm something is a source of heat	nongold
42	composed of means made of	nongold
43	cool means cold	nongold
44	thermal conduction is when heat flows from warmer object to cooler object	nongold
45	to cause the formation of means to form	nongold
46	heat energy is synonymous with thermal energy	nongold
47	to be formed by is similar to being produced by	nongold
48	hot is the opposite of  cold	nongold
49	a source of something emits; produces; generates; provides that something	nongold
50	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
51	to be formed means to be originated	nongold
52	to give off means to be the source of	nongold
53	high is similar to increase	nongold
54	boiling is when liquids are heated above their boiling point	nongold
55	warm is similar to hot	nongold
56	a component means a part of	nongold
57	a volcanic eruption is a kind of change	nongold
58	a component of something means a part of that something	nongold
59	colder; cooler means lower in temperature	nongold
60	melting is when solids are heated above their melting point	nongold
61	increase means more	nongold
62	cooling is a kind of process	nongold
63	intense means extreme	nongold
64	to change into means to form	nongold
65	a rock is usually a solid	nongold
66	extreme means very high in value	nongold
67	to reduce means to decrease	nongold
68	a plateau  is formed by a buildup of cooled lava	nongold
69	a whole is formed by its parts	nongold
70	adding heat means increasing temperature	nongold
71	made up of means contains; made of	nongold
72	a volcanic eruption is a kind of quick process	nongold
73	if heat is absorbed from a source then that heat source will cool	nongold
74	water is a kind of liquid at room temperature	nongold
75	to get hot means become hot	nongold
76	breaking down is a kind of forming	nongold
77	material means substance	nongold
78	warm up means increase temperature	nongold
79	cooler means colder	nongold
80	an object is made of its parts	nongold
81	phase means state	nongold
82	to increase is similar to to create	nongold
83	a volcano is a kind of geological event	nongold
84	an increase is a kind of change	nongold
85	state means form	nongold
86	class is a measure of how a rock is formed	nongold
87	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
88	an event is a kind of action	nongold
89	a process is a kind of event	nongold
90	a part of a process means a stage in a process	nongold
91	becoming is similar to forming	nongold
92	different classes of rocks are formed by different methods	nongold
93	emit means produce	nongold
94	an increase is the opposite of a decrease	nongold
95	Earth is made of rock	nongold
96	to split means to break down	nongold
97	to cause means to make	nongold
98	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
99	variety means different kinds; different types	nongold
